,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,J.B. Holmes,71,153.4,4827304.0,874
1,2,2,John Daly,59,153.5,3647232.0,660
2,3,3,Bubba Watson,80,157.7,5064216.0,892
3,4,4,Robert Garrigus,95,159.5,6780683.0,1181
4,5,5,Brett Wetterich,88,161.7,5622652.0,966
5,6,6,Jeff Overton,60,162.9,4397672.0,750
6,7,7,Harrison Frazar,88,164.4,5953419.0,1006
7,8,8,Geoff Ogilvy,84,165.3,5319203.0,894
8,9,9,Tag Ridings,52,165.8,3659645.0,613
9,10,10,Chris Couch,76,166.0,6005279.0,1005
10,11,11,Scott Gutschewski,67,166.1,4764480.0,797
11,T12,T12,Bubba Dickerson,51,166.2,3524382.0,589
12,T12,T12,Phil Mickelson,73,166.2,4276984.0,715
13,T14,T14,Davis Love III,66,166.5,4416412.0,737
14,T14,T14,Nick Watney,87,166.5,5755316.0,960
15,T16,T16,Anthony Kim,93,166.6,6616177.0,1103
16,T16,T16,Boo Weekley,101,166.6,6501720.0,1084
17,T18,T18,Jason Gore,86,166.8,6465924.0,1077
18,T18,T18,Adam Scott,69,166.8,4509703.0,751
19,T18,T18,Henrik Stenson,52,166.8,2972094.0,495
20,21,21,Charles Warren,101,166.9,7691760.0,1280
21,22,22,Vijay Singh,102,167.0,6854162.0,1140
22,23,23,Ernie Els,59,167.2,3671866.0,610
23,24,24,Bill Haas,93,167.6,6835889.0,1133
24,T25,T25,Greg Owen,81,167.8,5870458.0,972
25,T25,T25,D.J. Trahan,99,167.8,7502461.0,1242
