,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Tiger Woods,63,-.049
1,2,2,Jeff Overton,60,-.037
2,3,3,Brett Wetterich,88,-.024
3,4,4,Ernie Els,59,-.019
4,5,5,Padraig Harrington,64,-.014
5,T6,T6,Tommy Armour III,81,E
6,T6,T6,Phil Mickelson,73,E
7,T6,T6,Geoff Ogilvy,84,E
8,9,9,Paul Stankowski,52,+.020
9,10,10,Ken Duke,112,+.021
10,11,11,John Daly,59,+.023
11,12,12,Billy Mayfair,98,+.033
12,13,13,John Senden,97,+.034
13,14,14,Davis Love III,66,+.036
14,15,15,Bubba Watson,80,+.042
15,16,16,J.J. Henry,86,+.043
16,T17,T17,Brian Davis,101,+.047
17,T17,T17,Carl Pettersson,111,+.047
18,19,19,Aaron Baddeley,83,+.052
19,20,20,Joe Ogilvie,102,+.053
20,T21,T21,Anthony Kim,93,+.054
21,T21,T21,Rory Sabbatini,81,+.054
22,T23,T23,Robert Garrigus,95,+.056
23,T23,T23,David Toms,80,+.056
24,T25,T25,Chris Riley,59,+.058
25,T25,T25,Vijay Singh,102,+.058
26,27,27,Stewart Cink,91,+.060
27,T28,T28,Mark Calcavecchia,93,+.061
28,T28,T28,Stephen Leaney,82,+.061
29,T30,T30,Nick O'Hern,72,+.063
30,T30,T30,Bob Tway,103,+.063
31,32,32,J.B. Holmes,71,+.064
32,T33,T33,Brian Bateman,55,+.065
33,T33,T33,Ted Purdy,102,+.065
34,35,35,Daniel Chopra,106,+.067
35,36,36,Ian Poulter,63,+.068
36,37,37,Steve Allan,63,+.070
37,T38,T38,Bubba Dickerson,51,+.074
38,T38,T38,Arron Oberholser,69,+.074
39,T38,T38,Kenny Perry,83,+.074
40,41,41,Jesper Parnevik,88,+.075
41,T42,T42,Jim Furyk,84,+.078
42,T42,T42,Jeff Maggert,79,+.078
43,T44,T44,Gavin Coles,87,+.080
44,T44,T44,Sean O'Hair,98,+.080
45,46,46,Jerry Kelly,101,+.082
46,T47,T47,D.J. Brigman,67,+.083
47,T47,T47,Joe Durant,88,+.083
