,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Jeff Overton,60,58.84,173,294
1,2,2,Kevin Stadler,95,57.4,291,507
2,3,3,John Senden,97,57.11,265,464
3,4,4,Mathew Goggin,97,56.69,250,441
4,5,5,Robert Garrigus,95,56.55,354,626
5,6,6,Cameron Beckman,96,56.39,234,415
6,7,7,Steve Marino,106,56.15,315,561
7,8,8,Charles Warren,101,55.98,262,468
8,9,9,J.B. Holmes,71,55.64,222,399
9,10,10,Brett Wetterich,88,55.58,284,511
10,11,11,Bo Van Pelt,104,55.54,306,551
11,12,12,Greg Owen,81,55.53,221,398
12,13,13,Tiger Woods,63,55.46,188,339
13,14,14,John Merrick,92,55.37,263,475
14,15,15,Tommy Armour III,81,55.14,177,321
15,16,16,Daniel Chopra,106,55.07,364,661
16,17,17,Chris Tidland,59,54.95,161,293
17,T18,T18,John Daly,59,54.77,264,482
18,T18,T18,Jason Gore,86,54.77,241,440
19,T20,T20,Jesper Parnevik,88,54.65,241,441
20,T20,T20,Michael Putnam,96,54.65,282,516
21,22,22,Nick Watney,87,54.43,258,474
22,23,23,Joey Sindelar,75,54.42,197,362
23,24,24,Mathias Grönberg,95,54.12,289,534
24,25,25,Bill Haas,93,53.91,248,460
25,26,26,Alex Cejka,80,53.89,187,347
26,27,27,Chris Couch,76,53.8,248,461
27,28,28,Sergio Garcia,68,53.71,217,404
28,29,29,Jeff Maggert,79,53.56,203,379
29,30,30,Steve Lowery,74,53.54,204,381
30,31,31,Steve Wheatcroft,73,53.23,173,325
31,32,32,Kyle Reifers,71,53.16,210,395
32,33,33,Sean O'Hair,98,53.09,258,486
33,T34,T34,Steve Allan,63,53.05,174,328
34,T34,T34,Ken Duke,112,53.05,270,509
35,36,36,Robert Allenby,90,52.97,259,489
36,T37,T37,Charley Hoffman,97,52.92,308,582
37,T37,T37,Ryan Moore,92,52.92,245,463
38,39,39,Vijay Singh,102,52.83,299,566
39,40,40,Craig Bowden,78,52.8,151,286
40,41,41,Jeff Gove,103,52.74,260,493
41,42,42,Kenny Perry,83,52.7,215,408
42,43,43,Jarrod Lyle,77,52.63,210,399
43,44,44,Jeff Brehaut,59,52.59,142,270
44,45,45,D.J. Trahan,99,52.51,251,478
45,46,46,Joe Durant,88,52.48,169,322
46,47,47,Heath Slocum,101,52.39,197,376
47,48,48,Will MacKenzie,100,52.36,277,529
48,49,49,Bubba Watson,80,52.23,258,494
49,50,50,Rory Sabbatini,81,52.2,237,454
50,51,51,Pat Perez,84,52.18,227,435
51,52,52,Briny Baird,115,52.01,272,523
52,53,53,George McNeill,95,51.97,264,508
53,54,54,Anthony Kim,93,51.87,263,507
54,55,55,Tom Byrum,50,51.85,98,189
55,56,56,Jason Bohn,57,51.81,143,276
56,57,57,Duffy Waldorf,69,51.76,176,340
57,58,58,Michael Boyd,61,51.71,106,205
58,59,59,Jason Schultz,63,51.69,168,325
59,60,60,Charlie Wi,90,51.46,211,410
60,61,61,Woody Austin,95,51.44,250,486
61,62,62,Brandt Snedeker,105,51.41,291,566
62,63,63,Freddie Jacobson,70,51.4,184,358
63,64,64,Harrison Frazar,88,51.39,278,541
64,65,65,Charles Howell III,89,51.32,311,606
65,66,66,Stewart Cink,91,51.3,276,538
66,67,67,Bart Bryant,87,51.27,181,353
67,68,68,Craig Barlow,52,51.24,145,283
68,69,69,Tim Petrovic,106,51.19,301,588
69,70,70,Jason Dufner,100,51.09,280,548
70,71,71,Scott Gutschewski,67,51.03,198,388
71,72,72,Boo Weekley,101,50.83,244,480
72,73,73,Billy Mayfair,98,50.75,203,400
73,74,74,Ted Purdy,102,50.72,248,489
74,75,75,Ernie Els,59,50.71,178,351
75,76,76,J.J. Henry,86,50.7,218,430
76,77,77,Jim Furyk,84,50.68,150,296
77,78,78,Bob Heintz,85,50.63,201,397
78,79,79,Paul Stankowski,52,50.56,135,267
79,80,80,Cliff Kresge,107,50.52,293,580
80,T81,T81,Tag Ridings,52,50.5,151,299
81,T81,T81,Justin Rose,63,50.5,151,299
82,T83,T83,Frank Lickliter II,95,50.44,230,456
83,T83,T83,Geoff Ogilvy,84,50.44,227,450
84,85,85,Lucas Glover,98,50.41,246,488
85,86,86,Ryan Armour,107,50.35,215,427
86,87,87,Rich Barcelo,80,50.33,230,457
87,88,88,Steve Flesch,100,50.29,256,509
88,89,89,Padraig Harrington,64,50.27,186,370
89,90,90,Stephen Leaney,82,50.26,196,390
90,T91,T91,Marco Dawson,73,50.25,200,398
91,T91,T91,Shaun Micheel,91,50.25,200,398
92,93,93,Jonathan Byrd,73,50.24,206,410
93,94,94,Brian Davis,101,50.13,199,397
94,T95,T95,Rod Pampling,92,50.11,233,465
95,T95,T95,Kevin Sutherland,85,50.11,234,467
96,97,97,Carl Pettersson,111,50.0,314,628
97,98,98,Camilo Villegas,82,49.89,226,453
98,99,99,Arron Oberholser,69,49.86,182,365
99,T100,T100,Paul Gow,70,49.69,158,318
100,T100,T100,Troy Matteson,87,49.69,242,487
101,102,102,Henrik Stenson,52,49.64,138,278
102,103,103,David Branshaw,83,49.49,196,396
