,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Jay Williamson,50,155.9,3086396.0,550
1,2,2,Bubba Dickerson,51,156.2,2631737.0,468
2,3,3,Michael Sim,52,156.4,3321897.0,590
3,4,4,Daniel Chopra,106,156.7,6104273.0,1082
4,T5,T5,Tommy Armour III,81,156.8,4537760.0,804
5,T5,T5,Jason Schultz,63,156.8,3341749.0,592
6,T7,T7,Jarrod Lyle,77,157.0,4284711.0,758
7,T7,T7,Jim Rutledge,59,157.0,3109436.0,550
8,9,9,Harrison Frazar,88,157.1,4446201.0,786
9,10,10,Tag Ridings,52,157.6,2830936.0,499
10,11,11,Steve Lowery,74,157.8,4357753.0,767
11,T12,T12,Mark Brooks,53,158.1,2925679.0,514
12,T12,T12,Bubba Watson,80,158.1,4127248.0,725
13,T14,T14,Tim Clark,66,158.4,3518006.0,617
14,T14,T14,Todd Hamilton,76,158.4,3622123.0,635
15,16,16,Bryce Molder,56,158.6,3151550.0,552
16,T17,T17,Craig Barlow,52,158.7,2793492.0,489
17,T17,T17,Jeff Overton,60,158.7,3604366.0,631
18,T17,T17,Chris Tidland,59,158.7,3312700.0,580
19,20,20,Joe Durant,88,158.9,4827047.0,844
20,21,21,Michael Allen,74,159.0,4041919.0,706
21,T22,T22,Ryan Armour,107,159.1,6094045.0,1064
22,T22,T22,Jeff Brehaut,59,159.1,3265271.0,570
23,T22,T22,Freddie Jacobson,70,159.1,4266214.0,745
24,T25,T25,Marco Dawson,73,159.2,4270201.0,745
25,T25,T25,Glen Day,85,159.2,4927731.0,860
26,T25,T25,Darron Stiles,65,159.2,3272106.0,571
27,T28,T28,Michael Boyd,61,159.3,3492639.0,609
28,T28,T28,John Merrick,92,159.3,5172773.0,902
29,T28,T28,Chris Riley,59,159.3,3361290.0,586
30,T31,T31,Stuart Appleby,74,159.4,3804655.0,663
31,T31,T31,Davis Love III,66,159.4,3430574.0,598
32,T31,T31,Chris Stroud,66,159.4,3655440.0,637
33,T34,T34,Chris Couch,76,159.5,4638400.0,808
34,T34,T34,John Daly,59,159.5,2830557.0,493
35,T34,T34,Dicky Pride,71,159.5,4064388.0,708
36,T37,T37,Andrew Buckle,77,159.6,4286449.0,746
37,T37,T37,Kevin Stadler,95,159.6,5048970.0,879
38,39,39,Greg Owen,81,159.7,4468000.0,777
39,T40,T40,Justin Leonard,95,159.8,5527083.0,961
40,T40,T40,Jeff Maggert,79,159.8,5120480.0,890
41,T42,T42,J.P. Hayes,89,159.9,5127788.0,891
42,T42,T42,Geoff Ogilvy,84,159.9,4097975.0,712
43,T44,T44,Ryan Palmer,91,160.0,5367101.0,932
44,T44,T44,Kyle Reifers,71,160.0,4061480.0,705
45,T46,T46,Brian Bateman,55,160.1,2859029.0,496
46,T46,T46,Tom Byrum,50,160.1,2788856.0,484
47,T46,T46,Lee Janzen,66,160.1,3447300.0,598
48,T46,T46,Joey Sindelar,75,160.1,4402535.0,764
49,T50,T50,Matt Hendrix,63,160.2,3540336.0,614
50,T50,T50,Matt Kuchar,85,160.2,4943090.0,857
51,T50,T50,Joe Ogilvie,102,160.2,5489526.0,952
52,T50,T50,Paul Stankowski,52,160.2,2646541.0,459
53,T50,T50,D.J. Trahan,99,160.2,6061003.0,1051
54,T55,T55,Duffy Waldorf,69,160.3,3947695.0,684
55,T55,T55,Brett Wetterich,88,160.3,4242798.0,735
56,57,57,Bo Van Pelt,104,160.4,6508221.0,1127
57,T58,T58,Mark Hensby,81,160.5,4730920.0,819
58,T58,T58,Shaun Micheel,91,160.5,4730854.0,819
59,T58,T58,Kirk Triplett,77,160.5,4525283.0,783
60,T61,T61,Brendon de Jonge,76,160.8,4023923.0,695
61,T61,T61,Shigeki Maruyama,84,160.8,5256796.0,908
62,T61,T61,Steve Wheatcroft,73,160.8,3914198.0,676
63,T64,T64,David Branshaw,83,160.9,4951424.0,855
64,T64,T64,Alex Cejka,80,160.9,5011370.0,865
65,T66,T66,Brian Gay,107,161.0,6507111.0,1123
66,T66,T66,Retief Goosen,50,161.0,2266307.0,391
67,T66,T66,Bob Heintz,85,161.0,4666721.0,805
68,T69,T69,Briny Baird,115,161.1,6973258.0,1202
69,T69,T69,Paul Goydos,60,161.1,3039633.0,524
70,T69,T69,Mathias Grönberg,95,161.1,5656149.0,975
71,T69,T69,Scott Gutschewski,67,161.1,3619167.0,624
72,T73,T73,Chad Campbell,96,161.2,4671867.0,805
73,T73,T73,Fred Funk,65,161.2,3562267.0,614
74,T73,T73,Hunter Mahan,91,161.2,4672064.0,805
75,76,76,J.J. Henry,86,161.3,4482499.0,772
76,T77,T77,Kent Jones,97,161.4,5741247.0,988
77,T77,T77,Rod Pampling,92,161.4,4945544.0,851
78,T77,T77,Vijay Singh,102,161.4,5386763.0,927
79,T80,T80,Rory Sabbatini,81,161.5,4214921.0,725
80,T80,T80,Mark Wilson,87,161.5,4971451.0,855
81,T82,T82,Craig Bowden,78,161.6,4507402.0,775
82,T82,T82,Ben Curtis,80,161.6,4218691.0,725
83,T82,T82,Kenny Perry,83,161.6,4980569.0,856
84,T85,T85,Jeff Gove,103,161.7,6294137.0,1081
85,T85,T85,Paul Gow,70,161.7,3806847.0,654
86,T85,T85,Tim Herron,98,161.7,5513397.0,947
87,T85,T85,Charles Howell III,89,161.7,4319829.0,742
88,T85,T85,Frank Lickliter II,95,161.7,5425208.0,932
89,T85,T85,Parker McLachlin,83,161.7,4767646.0,819
90,T85,T85,George McNeill,95,161.7,5356799.0,920
91,T85,T85,John Rollins,102,161.7,5670514.0,974
92,T85,T85,Vaughn Taylor,91,161.7,4581850.0,787
93,T94,T94,Aaron Baddeley,83,161.8,4274932.0,734
94,T94,T94,Rich Barcelo,80,161.8,4489600.0,771
95,T94,T94,D.J. Brigman,67,161.8,3564784.0,612
96,T94,T94,Charley Hoffman,97,161.8,5235413.0,899
97,T94,T94,Craig Kanada,109,161.8,6365414.0,1093
98,T94,T94,Daisuke Maruyama,86,161.8,4980848.0,855
99,T94,T94,Carl Pettersson,111,161.8,5890614.0,1011
100,T94,T94,Ted Purdy,102,161.8,5755090.0,988
101,T94,T94,Boo Weekley,101,161.8,5266354.0,904
102,T103,T103,Bob Estes,88,161.9,5171234.0,887
103,T103,T103,Richard Johnson,93,161.9,5805788.0,996
104,T105,T105,David Toms,80,162.0,4221997.0,724
105,T105,T105,Bob Tway,103,162.0,5891003.0,1010
106,T107,T107,Ken Duke,112,162.1,6494776.0,1113
107,T107,T107,Trevor Immelman,74,162.1,3764129.0,645
108,T109,T109,Robert Gamez,88,162.2,4991008.0,855
109,T109,T109,Bill Haas,93,162.2,5396064.0,924
110,T109,T109,Troy Matteson,87,162.2,4992490.0,855
111,T109,T109,Jeff Quinney,95,162.2,5576566.0,955
112,T113,T113,Jason Dufner,100,162.3,5719400.0,979
113,T113,T113,Tom Lehman,62,162.3,3283632.0,562
114,T113,T113,Arron Oberholser,69,162.3,3674088.0,629
115,T116,T116,Stephen Ames,81,162.4,4344113.0,743
116,T116,T116,Peter Lonard,85,162.4,5179013.0,886
117,T116,T116,Henrik Stenson,52,162.4,2455366.0,420
118,T119,T119,Brian Davis,101,162.5,5815164.0,994
119,T119,T119,Nick Watney,87,162.5,4562283.0,780
120,T121,T121,Jason Gore,86,162.6,5126867.0,876
121,T121,T121,Doug LaBelle II,104,162.6,6372640.0,1089
122,T121,T121,John Mallinger,96,162.6,5764819.0,985
123,T121,T121,Kevin Na,84,162.6,5133343.0,877
124,T121,T121,Brandt Snedeker,105,162.6,5980712.0,1022
