,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Tiger Woods,63,71.02,767,1080,-0.32
1,2,2,John Senden,97,70.33,1228,1746,-0.22
2,3,3,Jeff Gove,103,70.17,1301,1854,-0.22
3,4,4,Cameron Beckman,96,69.87,1157,1656,-0.24
4,5,5,Tommy Armour III,81,69.84,968,1386,-0.24
5,T6,T6,Alex Cejka,80,69.44,975,1404,-0.25
6,T6,T6,Jim Furyk,84,69.44,1025,1476,-0.24
7,8,8,Briny Baird,115,69.27,1384,1998,-0.24
8,9,9,John Merrick,92,69.13,1095,1584,-0.22
9,10,10,Jeff Overton,60,68.87,719,1044,-0.26
10,11,11,Mathew Goggin,97,68.84,1202,1746,-0.22
11,12,12,Joe Durant,88,68.52,1073,1566,-0.19
12,13,13,Stephen Leaney,82,68.43,1010,1476,-0.22
13,14,14,Charles Warren,101,68.37,1243,1818,-0.26
14,15,15,Robert Allenby,90,68.29,1094,1602,-0.24
15,16,16,Tom Lehman,62,68.19,761,1116,-0.22
16,17,17,Greg Owen,81,68.14,969,1422,-0.22
17,18,18,Billy Mayfair,98,68.08,1201,1764,-0.23
18,19,19,Johnson Wagner,97,67.75,1183,1746,-0.24
19,20,20,Kenny Perry,83,67.54,1009,1494,-0.22
20,21,21,Ted Purdy,102,67.23,1186,1764,-0.22
21,22,22,Craig Barlow,52,67.2,629,936,-0.24
22,23,23,Sean O'Hair,98,67.12,1184,1764,-0.25
23,24,24,Michael Putnam,96,67.03,1110,1656,-0.24
24,25,25,Robert Garrigus,95,67.02,1146,1710,-0.27
25,26,26,Duffy Waldorf,69,66.99,832,1242,-0.24
26,T27,T27,Kent Jones,97,66.95,1169,1746,-0.25
27,T27,T27,D.J. Trahan,99,66.95,1193,1782,-0.21
28,29,29,Hunter Mahan,91,66.91,1096,1638,-0.25
29,T30,T30,J.J. Henry,86,66.67,1020,1530,-0.23
30,T30,T30,Joey Sindelar,75,66.67,900,1350,-0.22
31,32,32,Michael Allen,74,66.59,839,1260,-0.26
32,T33,T33,Jeff Maggert,79,66.53,946,1422,-0.24
33,T33,T33,Jesper Parnevik,88,66.53,1006,1512,-0.29
34,35,35,Nick Watney,87,66.48,1041,1566,-0.24
35,36,36,Heath Slocum,101,66.45,1208,1818,-0.28
36,37,37,Bo Van Pelt,104,66.4,1243,1872,-0.26
37,38,38,Charlie Wi,90,66.35,1051,1584,-0.26
38,39,39,Bart Bryant,87,66.34,1027,1548,-0.25
39,40,40,Jay Williamson,50,66.33,597,900,-0.27
40,T41,T41,Ryan Armour,107,66.29,1229,1854,-0.25
41,T41,T41,Steve Lowery,74,66.29,883,1332,-0.26
42,43,43,Brett Wetterich,88,66.28,1038,1566,-0.24
43,44,44,Lucas Glover,98,66.27,1157,1746,-0.28
44,45,45,Vijay Singh,102,66.22,1192,1800,-0.27
45,46,46,Freddie Jacobson,70,66.19,834,1260,-0.3
46,47,47,Will MacKenzie,100,66.17,1191,1800,-0.25
47,48,48,Stewart Cink,91,66.16,1048,1584,-0.26
48,49,49,Chris Stroud,66,66.15,762,1152,-0.23
49,50,50,Steve Marino,106,66.07,1213,1836,-0.25
50,51,51,D.J. Brigman,67,66.05,749,1134,-0.23
51,52,52,Shaun Micheel,91,66.04,1046,1584,-0.22
