,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,T1,T1,Eric Axley,107,150.8,1715945.0,316
1,T1,T1,John Daly,59,150.8,1042316.0,192
2,3,3,Ryan Palmer,91,151.0,1429832.0,263
3,4,4,Vaughn Taylor,91,151.2,1202624.0,221
4,5,5,Charles Howell III,89,151.4,1161070.0,213
5,6,6,Charley Hoffman,97,151.5,1505668.0,276
6,7,7,Bryce Molder,56,151.7,961179.0,176
7,T8,T8,J.P. Hayes,89,151.8,1388201.0,254
8,T8,T8,Henrik Stenson,52,151.8,584878.0,107
9,10,10,Anthony Kim,93,152.3,1239179.0,226
10,T11,T11,Rich Barcelo,80,152.5,1300789.0,237
11,T11,T11,Padraig Harrington,64,152.5,724810.0,132
12,13,13,Chris Stroud,66,152.6,928661.0,169
13,14,14,Steve Stricker,81,152.9,814491.0,148
14,15,15,Tag Ridings,52,153.1,755319.0,137
15,16,16,Brett Quigley,79,153.4,1204114.0,218
16,T17,T17,Jeff Brehaut,59,153.6,840461.0,152
17,T17,T17,Brett Wetterich,88,153.6,1382141.0,250
18,19,19,Retief Goosen,50,153.8,658943.0,119
19,T20,T20,Scott Gutschewski,67,154.1,1187038.0,214
20,T20,T20,J.B. Holmes,71,154.1,1281706.0,231
21,22,22,D.J. Brigman,67,154.2,976855.0,176
22,23,23,Ernie Els,59,154.3,650017.0,117
23,T24,T24,John Mallinger,96,154.4,1556781.0,280
24,T24,T24,Geoff Ogilvy,84,154.4,1056025.0,190
25,26,26,Adam Scott,69,154.6,918488.0,165
26,27,27,Anders Hansen,55,154.9,596769.0,107
27,28,28,Robert Garrigus,95,155.1,1574892.0,282
28,T29,T29,Freddie Jacobson,70,155.3,1090368.0,195
29,T29,T29,Jesper Parnevik,88,155.3,1218626.0,218
30,T31,T31,David Toms,80,155.4,967885.0,173
31,T31,T31,Mark Wilson,87,155.4,1230578.0,220
32,33,33,Luke Donald,69,155.7,862924.0,154
33,T34,T34,Carl Pettersson,111,155.8,1525824.0,272
34,T34,T34,Kirk Triplett,77,155.8,1233965.0,220
35,36,36,Heath Slocum,101,155.9,1330153.0,237
36,T37,T37,Bubba Dickerson,51,156.0,898359.0,160
37,T37,T37,Ken Duke,112,156.0,1415181.0,252
38,T37,T37,Bob Heintz,85,156.0,1201650.0,214
39,T37,T37,Michael Sim,52,156.0,769501.0,137
40,T41,T41,Mark Brooks,53,156.1,601171.0,107
41,T41,T41,John Rollins,102,156.1,1326312.0,236
42,43,43,Todd Hamilton,76,156.4,1317787.0,234
43,T44,T44,Greg Owen,81,156.6,1392049.0,247
44,T44,T44,Charlie Wi,90,156.6,1268347.0,225
45,T46,T46,Rich Beem,89,156.7,1342474.0,238
46,T46,T46,Chris Couch,76,156.7,1438137.0,255
47,T46,T46,Peter Lonard,85,156.7,1314627.0,233
48,T49,T49,Stuart Appleby,74,156.9,1028073.0,182
49,T49,T49,Davis Love III,66,156.9,982791.0,174
50,51,51,Rod Pampling,92,157.0,1187180.0,210
51,T52,T52,Mark Calcavecchia,93,157.3,1353557.0,239
52,T52,T52,Brandt Snedeker,105,157.3,1268825.0,224
53,54,54,Brendon de Jonge,76,157.4,1365636.0,241
54,55,55,Alex Cejka,80,157.6,1077928.0,190
55,T56,T56,Bob Estes,88,157.7,1357238.0,239
56,T56,T56,Justin Leonard,95,157.7,1294786.0,228
57,T58,T58,Mark Hensby,81,157.8,1272465.0,224
58,T58,T58,Tim Herron,98,157.8,1363813.0,240
59,T60,T60,Jim Furyk,84,157.9,852476.0,150
60,T60,T60,Steve Marino,106,157.9,1563101.0,275
61,T60,T60,Billy Mayfair,98,157.9,1307735.0,230
62,T60,T60,Nick Watney,87,157.9,1210598.0,213
63,64,64,Daniel Chopra,106,158.0,1513484.0,266
64,T65,T65,Cliff Kresge,107,158.1,1752674.0,308
65,T65,T65,Nick O'Hern,72,158.1,996242.0,175
66,T65,T65,Vijay Singh,102,158.1,1263910.0,222
67,68,68,Kevin Stadler,95,158.2,1555172.0,273
68,T69,T69,Aaron Baddeley,83,158.3,1037220.0,182
69,T69,T69,Trevor Immelman,74,158.3,871642.0,153
70,T69,T69,Craig Lile,77,158.3,1145354.0,201
71,T69,T69,Jarrod Lyle,77,158.3,1157138.0,203
72,T73,T73,Billy Andrade,88,158.4,1608232.0,282
73,T73,T73,J.J. Henry,86,158.4,1186193.0,208
74,T73,T73,Duffy Waldorf,69,158.4,1055116.0,185
75,76,76,Arron Oberholser,69,158.5,787422.0,138
76,T77,T77,Lucas Glover,98,158.6,1238987.0,217
77,T77,T77,Ian Poulter,63,158.6,668075.0,117
78,79,79,Joe Ogilvie,102,158.7,1559479.0,273
79,T80,T80,Craig Barlow,52,158.8,823225.0,144
80,T80,T80,Kenny Perry,83,158.8,1263728.0,221
81,T80,T80,Darron Stiles,65,158.8,1120498.0,196
82,T80,T80,Jaco Van Zyl,51,158.8,857605.0,150
83,T84,T84,Jonathan Byrd,73,158.9,1098053.0,192
84,T84,T84,Sean O'Hair,98,158.9,1310048.0,229
85,T84,T84,Jeff Quinney,95,158.9,1584481.0,277
86,T87,T87,Brian Bateman,55,159.0,864128.0,151
87,T87,T87,Matt Kuchar,85,159.0,1053314.0,184
88,T89,T89,Stewart Cink,91,159.1,1185538.0,207
89,T89,T89,Mike Weir,82,159.1,1014024.0,177
90,T91,T91,Andrew Buckle,77,159.2,1261255.0,220
91,T91,T91,Joe Durant,88,159.2,1335731.0,233
92,T91,T91,Jason Gore,86,159.2,1426710.0,249
93,T91,T91,Tom Lehman,62,159.2,802223.0,140
94,T95,T95,Chris DiMarco,79,159.3,1140982.0,199
95,T95,T95,Richard Johnson,93,159.3,1514214.0,264
96,97,97,Kevin Sutherland,85,159.4,1147913.0,200
97,T98,T98,Tom Byrum,50,159.5,712174.0,124
98,T98,T98,Steve Lowery,74,159.5,1240486.0,216
99,T98,T98,Pat Perez,84,159.5,1193972.0,208
100,101,101,Shaun Micheel,91,159.6,1149298.0,200
101,T102,T102,Tommy Armour III,81,159.8,1104199.0,192
102,T102,T102,Kent Jones,97,159.8,1559192.0,271
103,T104,T104,Sergio Garcia,68,159.9,828930.0,144
104,T104,T104,José María Olazábal,52,159.9,800371.0,139
105,T104,T104,Ted Purdy,102,159.9,1571257.0,273
106,107,107,Jeff Gove,103,160.0,1687748.0,293
107,T108,T108,Steve Flesch,100,160.1,1573314.0,273
108,T108,T108,Robert Gamez,88,160.1,1441163.0,250
109,T108,T108,Kyle Reifers,71,160.1,1308468.0,227
110,T108,T108,Boo Weekley,101,160.1,1314390.0,228
111,112,112,Steve Allan,63,160.2,1026344.0,178
112,T113,T113,Michael Allen,74,160.3,1200142.0,208
113,T113,T113,José Coceres,50,160.3,738706.0,128
114,T113,T113,Will MacKenzie,100,160.3,1679361.0,291
115,116,116,Bubba Watson,80,160.4,1149174.0,199
116,T117,T117,Steve Elkington,87,160.5,1109241.0,192
117,T117,T117,Lee Janzen,66,160.5,999860.0,173
118,T119,T119,Tom Johnson,74,160.6,1341343.0,232
119,T119,T119,Jeff Overton,60,160.6,809644.0,140
120,T119,T119,Tom Pernice Jr.,104,160.6,1427836.0,247
121,T119,T119,Chris Tidland,59,160.6,971240.0,168
122,T123,T123,Bill Haas,93,160.7,1498256.0,259
123,T123,T123,Troy Matteson,87,160.7,1371202.0,237
124,T123,T123,Phil Mickelson,73,160.7,717158.0,124
125,T126,T126,Marco Dawson,73,160.8,1111477.0,192
126,T126,T126,Jay Williamson,50,160.8,775595.0,134
127,T126,T126,Dean Wilson,92,160.8,1233067.0,213
128,129,129,Robert Allenby,90,160.9,1297112.0,224
129,T130,T130,Matt Hendrix,63,161.0,1130002.0,195
130,T130,T130,Doug LaBelle II,104,161.0,1553298.0,268
131,T130,T130,Joey Sindelar,75,161.0,1280614.0,221
132,133,133,Kevin Na,84,161.1,1316912.0,227
133,T134,T134,Chad Campbell,96,161.4,1470114.0,253
134,T134,T134,Frank Lickliter II,95,161.4,1563165.0,269
135,T136,T136,Jim Rutledge,59,161.5,901310.0,155
136,T136,T136,D.J. Trahan,99,161.5,1534421.0,264
137,T138,T138,Zach Johnson,76,161.6,889914.0,153
138,T138,T138,Parker McLachlin,83,161.6,1431367.0,246
139,T140,T140,Craig Kanada,109,161.7,1665090.0,286
140,T140,T140,Jeff Sluman,60,161.7,873415.0,150
141,142,142,K.J. Choi,87,161.8,1019094.0,175
142,T143,T143,Paul Goydos,60,161.9,932803.0,160
143,T143,T143,Paul Stankowski,52,161.9,868239.0,149
144,145,145,Mathew Goggin,97,162.0,1452591.0,249
145,T146,T146,Paul Gow,70,162.2,1068718.0,183
146,T146,T146,Mathias Grönberg,95,162.2,1664448.0,285
147,T146,T146,Tiger Woods,63,162.2,472855.0,81
148,149,149,George McNeill,95,162.3,1379263.0,236
149,150,150,Bart Bryant,87,162.4,1239669.0,212
150,T151,T151,Harrison Frazar,88,162.6,1522196.0,260
151,T151,T151,Daisuke Maruyama,86,162.6,1509802.0,258
152,T153,T153,Brian Davis,101,162.7,1475710.0,252
153,T153,T153,Camilo Villegas,82,162.7,1089152.0,186
154,155,155,Glen Day,85,162.9,1389639.0,237
155,156,156,John Senden,97,163.3,1458354.0,248
156,157,157,Tripp Isenhour,86,163.4,1417310.0,241
157,T158,T158,Cameron Beckman,96,163.5,1406543.0,239
158,T158,T158,John Merrick,92,163.5,1530362.0,260
159,160,160,Briny Baird,115,163.6,1772365.0,301
160,T161,T161,Ryuji Imada,104,163.7,1573374.0,267
161,T161,T161,Michael Putnam,96,163.7,1591037.0,270
162,163,163,Tim Petrovic,106,163.8,1710276.0,290
163,164,164,Johnson Wagner,97,164.0,1540844.0,261
164,T165,T165,Stephen Ames,81,164.1,992263.0,168
165,T165,T165,Michael Boyd,61,164.1,986415.0,167
166,T167,T167,Jason Bohn,57,164.2,969249.0,164
167,T167,T167,Nathan Green,103,164.2,1448163.0,245
168,T169,T169,David Branshaw,83,164.3,1579532.0,267
169,T169,T169,Jerry Kelly,101,164.3,1330582.0,225
170,171,171,Charles Warren,101,164.4,1752070.0,296
171,172,172,Justin Rose,63,164.6,687413.0,116
172,173,173,Jason Schultz,63,164.8,1049851.0,177
173,174,174,Dicky Pride,71,164.9,1110211.0,187
174,T175,T175,Craig Bowden,78,165.0,1140331.0,192
175,T175,T175,Jason Dufner,100,165.0,1651332.0,278
176,T175,T175,Brian Gay,107,165.0,1639196.0,276
177,T175,T175,Scott Verplank,82,165.0,902640.0,152
178,T179,T179,Ryan Armour,107,165.1,1765696.0,297
179,T179,T179,Tim Clark,66,165.1,772806.0,130
180,181,181,Bo Van Pelt,104,165.8,1540086.0,258
181,T182,T182,Fred Funk,65,165.9,1015258.0,170
182,T182,T182,Jeff Maggert,79,165.9,1391571.0,233
183,T182,T182,Ryan Moore,92,165.9,1313956.0,220
184,185,185,Shigeki Maruyama,84,166.5,1540277.0,257
185,186,186,Bob Tway,103,166.7,1692218.0,282
186,T187,T187,Gavin Coles,87,166.9,1340011.0,223
187,T187,T187,Steve Wheatcroft,73,166.9,1274074.0,212
188,189,189,Hunter Mahan,91,167.0,1292810.0,215
189,T190,T190,Ben Curtis,80,167.1,1371601.0,228
190,T190,T190,Rocco Mediate,72,167.1,1323679.0,220
191,192,192,Chris Riley,59,167.2,878684.0,146
192,193,193,Woody Austin,95,167.4,1530464.0,254
193,194,194,Corey Pavin,81,167.9,1348201.0,223
194,195,195,Rory Sabbatini,81,170.7,921672.0,150
195,196,196,Stephen Leaney,82,171.1,1207183.0,196
