,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,Tom Byrum,50,-.857
1,2,2,Aaron Baddeley,83,-.833
2,3,3,Ernie Els,59,-.800
3,T4,T4,D.J. Brigman,67,-.778
4,T4,T4,Todd Hamilton,76,-.778
5,T4,T4,Freddie Jacobson,70,-.778
6,7,7,J.J. Henry,86,-.769
7,8,8,John Rollins,102,-.762
8,9,9,Vaughn Taylor,91,-.722
9,T10,T10,Zach Johnson,76,-.714
10,T10,T10,Nick O'Hern,72,-.714
11,T10,T10,Steve Stricker,81,-.714
12,13,13,Anthony Kim,93,-.700
13,T14,T14,K.J. Choi,87,-.692
14,T14,T14,Trevor Immelman,74,-.692
15,T16,T16,Jason Bohn,57,-.667
16,T16,T16,Andrew Buckle,77,-.667
17,T16,T16,Jonathan Byrd,73,-.667
18,T16,T16,Jarrod Lyle,77,-.667
19,T16,T16,Phil Mickelson,73,-.667
20,T16,T16,Justin Rose,63,-.667
21,22,22,Jeff Quinney,95,-.650
22,23,23,Brett Wetterich,88,-.647
23,24,24,Kevin Na,84,-.640
24,T25,T25,Charles Howell III,89,-.636
25,T25,T25,Stephen Leaney,82,-.636
26,T25,T25,Chris Tidland,59,-.636
27,T28,T28,Brian Bateman,55,-.625
28,T28,T28,Michael Sim,52,-.625
29,T30,T30,Jim Furyk,84,-.615
30,T30,T30,Brandt Snedeker,105,-.615
31,32,32,Charlie Wi,90,-.609
32,T33,T33,Mark Calcavecchia,93,-.600
33,T33,T33,Pat Perez,84,-.600
34,35,35,Brendon de Jonge,76,-.588
35,T36,T36,Charley Hoffman,97,-.583
36,T36,T36,Hunter Mahan,91,-.583
37,T36,T36,D.J. Trahan,99,-.583
38,T36,T36,Jay Williamson,50,-.583
39,T36,T36,Tiger Woods,63,-.583
40,41,41,Vijay Singh,102,-.579
41,T42,T42,Bob Heintz,85,-.563
42,T42,T42,Shaun Micheel,91,-.563
43,44,44,Anders Hansen,55,-.556
44,45,45,Steve Lowery,74,-.550
