,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Mark Brooks,53,157.3,4144282.0,732
1,2,2,Bryce Molder,56,157.6,4977181.0,877
2,3,3,Michael Sim,52,157.7,5086211.0,896
3,4,4,Tommy Armour III,81,158.3,7028010.0,1233
4,5,5,Jarrod Lyle,77,158.8,6858002.0,1200
5,6,6,Darron Stiles,65,159.2,5444874.0,950
6,T7,T7,Chris Stroud,66,159.3,5733306.0,1000
7,T7,T7,Jay Williamson,50,159.3,4941906.0,862
8,T9,T9,Craig Bowden,78,159.5,6898004.0,1201
9,T9,T9,Bubba Dickerson,51,159.5,4375206.0,762
10,T9,T9,Jim Rutledge,59,159.5,4718699.0,822
11,T12,T12,Tim Clark,66,159.6,5457523.0,950
12,T12,T12,Glen Day,85,159.6,7708913.0,1342
13,T14,T14,Todd Hamilton,76,159.7,5967766.0,1038
14,T14,T14,J.P. Hayes,89,159.7,8263013.0,1437
15,16,16,Justin Leonard,95,160.0,8445445.0,1466
16,17,17,Chris Riley,59,160.1,5280681.0,916
17,18,18,Tag Ridings,52,160.2,4635656.0,804
18,T19,T19,Michael Boyd,61,160.3,5366684.0,930
19,T19,T19,Fred Funk,65,160.3,5489228.0,951
20,21,21,Bob Heintz,85,160.4,7413484.0,1284
21,22,22,Kirk Triplett,77,160.5,7047790.0,1220
22,T23,T23,Daniel Chopra,106,160.6,9821334.0,1699
23,T23,T23,Ryan Palmer,91,160.6,8494103.0,1469
24,T25,T25,Tom Byrum,50,160.7,4241658.0,733
25,T25,T25,Geoff Ogilvy,84,160.7,6623679.0,1145
26,27,27,Brian Gay,107,160.9,10047863.0,1735
27,T28,T28,Bob Estes,88,161.1,8282340.0,1428
28,T28,T28,Mark Wilson,87,161.1,7588156.0,1308
29,30,30,Rich Barcelo,80,161.2,7265294.0,1252
30,T31,T31,Stuart Appleby,74,161.3,6033628.0,1039
31,T31,T31,Jeff Brehaut,59,161.3,5104778.0,879
32,T33,T33,Freddie Jacobson,70,161.4,7078728.0,1218
33,T33,T33,Lee Janzen,66,161.4,5408845.0,931
34,T35,T35,Dicky Pride,71,161.5,6356003.0,1093
