,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,T1,T1,Tim Clark,66,"37' 1""",76,2816.083,9.0
1,T1,T1,Bob Estes,88,"37' 1""",108,4004.667,9.0
2,3,3,Ernie Els,59,"37' 6""",73,2737.083,11.0
3,4,4,Robert Gamez,88,"37' 8""",84,3165.25,22.0
4,5,5,Ken Duke,112,"38' 2""",114,4354.5,-3.0
5,6,6,Craig Bowden,78,"38' 3""",98,3750.25,8.0
6,7,7,Kyle Reifers,71,"38' 4""",99,3797.167,17.0
7,8,8,John Rollins,102,"38' 6""",117,4509.167,13.0
8,T9,T9,Bob Heintz,85,"38' 9""",132,5111.75,19.0
9,T9,T9,Jason Schultz,63,"38' 9""",78,3020.5,9.0
10,11,11,Luke Donald,69,"38' 10""",70,2720.833,8.0
11,12,12,Steve Wheatcroft,73,"39' 2""",91,3562.583,22.0
12,13,13,Charles Howell III,89,"39' 3""",149,5847.1669999999995,18.0
13,14,14,Henrik Stenson,52,"39' 4""",63,2477.583,6.0
14,15,15,David Toms,80,"39' 5""",94,3707.5,12.0
15,T16,T16,Andrew Buckle,77,"39' 9""",119,4731.75,21.0
16,T16,T16,Kevin Stadler,95,"39' 9""",159,6320.4169999999995,25.0
17,18,18,José Coceres,50,"40' 1""",45,1802.5829999999999,12.0
18,T19,T19,Jarrod Lyle,77,"40' 2""",112,4502.333,13.0
19,T19,T19,D.J. Trahan,99,"40' 2""",134,5381.5,27.0
20,21,21,Scott Verplank,82,"40' 3""",69,2779.75,3.0
21,22,22,Jason Bohn,57,"40' 4""",89,3591.0,5.0
22,23,23,Tommy Armour III,81,"40' 5""",95,3842.917,15.0
23,24,24,Anders Hansen,55,"40' 6""",57,2308.167,17.0
24,T25,T25,Todd Hamilton,76,"40' 10""",91,3718.75,21.0
25,T25,T25,Heath Slocum,101,"40' 10""",118,4821.75,5.0
26,T27,T27,Michael Putnam,96,"41' 1""",155,6364.6669999999995,23.0
27,T27,T27,Vijay Singh,102,"41' 1""",147,6043.5830000000005,16.0
28,T29,T29,J.P. Hayes,89,"41' 2""",132,5432.1669999999995,8.0
29,T29,T29,J.B. Holmes,71,"41' 2""",142,5840.9169999999995,16.0
30,T29,T29,Richard Johnson,93,"41' 2""",142,5843.4169999999995,28.0
31,32,32,Chris Stroud,66,"41' 4""",76,3142.25,15.0
32,T33,T33,David Branshaw,83,"41' 5""",118,4889.833,40.0
33,T33,T33,Steve Flesch,100,"41' 5""",140,5801.25,20.0
34,T33,T33,Frank Lickliter II,95,"41' 5""",119,4927.583,19.0
35,36,36,Dicky Pride,71,"41' 6""",87,3607.583,25.0
36,T37,T37,Sergio Garcia,68,"41' 8""",133,5545.75,4.0
37,T37,T37,Paul Gow,70,"41' 8""",83,3457.583,17.0
38,T37,T37,Craig Lile,77,"41' 8""",108,4502.583,22.0
39,T37,T37,Jeff Quinney,95,"41' 8""",110,4584.917,27.0
40,T37,T37,Jaco Van Zyl,51,"41' 8""",83,3455.25,20.0
41,T42,T42,Ryan Armour,107,"41' 10""",124,5188.5,27.0
42,T42,T42,Michael Boyd,61,"41' 10""",82,3431.333,11.0
43,T42,T42,Padraig Harrington,64,"41' 10""",111,4645.5,-4.0
44,T42,T42,Boo Weekley,101,"41' 10""",133,5561.1669999999995,24.0
45,T46,T46,Mark Brooks,53,"41' 11""",59,2475.417,20.0
46,T46,T46,Kenny Perry,83,"41' 11""",127,5319.3330000000005,17.0
47,T46,T46,Charlie Wi,90,"41' 11""",125,5239.417,16.0
48,49,49,Pat Perez,84,"42' 0""",118,4955.417,24.0
49,T50,T50,Robert Allenby,90,"42' 1""",136,5722.6669999999995,12.0
50,T50,T50,Brian Davis,101,"42' 1""",99,4167.333,13.0
51,T52,T52,Daniel Chopra,106,"42' 2""",192,8093.0830000000005,13.0
52,T52,T52,Carl Pettersson,111,"42' 2""",168,7087.5830000000005,16.0
53,T54,T54,Cameron Beckman,96,"42' 3""",121,5110.0,10.0
54,T54,T54,Shaun Micheel,91,"42' 3""",100,4224.417,18.0
55,T54,T54,Nick O'Hern,72,"42' 3""",114,4813.417,25.0
56,T54,T54,Joey Sindelar,75,"42' 3""",102,4309.917,13.0
57,T54,T54,Chris Tidland,59,"42' 3""",79,3338.667,9.0
58,T59,T59,Tim Herron,98,"42' 4""",104,4406.5,25.0
59,T59,T59,John Senden,97,"42' 4""",128,5418.6669999999995,17.0
60,61,61,Bob Tway,103,"42' 5""",198,8403.583,13.0
61,62,62,Joe Durant,88,"42' 7""",87,3701.75,14.0
62,63,63,Mike Weir,82,"42' 8""",87,3710.167,6.0
63,64,64,Michael Sim,52,"42' 9""",83,3549.167,13.0
64,T65,T65,Mathias Grönberg,95,"42' 10""",177,7580.1669999999995,10.0
65,T65,T65,Kevin Na,84,"42' 10""",137,5863.0,22.0
66,T67,T67,Stuart Appleby,74,"42' 11""",84,3607.333,14.0
67,T67,T67,Chris Couch,76,"42' 11""",145,6228.9169999999995,24.0
68,T67,T67,Mark Hensby,81,"42' 11""",123,5281.75,25.0
69,70,70,Brett Wetterich,88,"43' 0""",115,4947.0,26.0
70,T71,T71,Harrison Frazar,88,"43' 1""",132,5684.9169999999995,26.0
71,T71,T71,George McNeill,95,"43' 1""",128,5516.0,13.0
72,T71,T71,Ryan Palmer,91,"43' 1""",168,7241.25,42.0
73,T71,T71,Ted Purdy,102,"43' 1""",117,5039.25,22.0
74,T75,T75,Michael Allen,74,"43' 2""",90,3884.583,22.0
75,T75,T75,Jim Furyk,84,"43' 2""",60,2588.0,7.0
76,T75,T75,Charles Warren,101,"43' 2""",160,6911.6669999999995,31.0
77,78,78,Tom Lehman,62,"43' 3""",81,3505.0,21.0
78,T79,T79,Craig Barlow,52,"43' 4""",68,2947.083,12.0
79,T79,T79,Greg Owen,81,"43' 4""",99,4287.917,17.0
80,T79,T79,Jay Williamson,50,"43' 4""",64,2775.833,4.0
81,82,82,Briny Baird,115,"43' 5""",151,6560.8330000000005,22.0
82,T83,T83,Brendon de Jonge,76,"43' 7""",116,5054.083,20.0
83,T83,T83,Tim Petrovic,106,"43' 7""",156,6803.1669999999995,22.0
84,T85,T85,Parker McLachlin,83,"43' 8""",101,4413.5,14.0
85,T85,T85,Joe Ogilvie,102,"43' 8""",147,6419.3330000000005,27.0
86,T85,T85,Duffy Waldorf,69,"43' 8""",82,3578.917,16.0
87,T88,T88,Will MacKenzie,100,"43' 10""",157,6883.1669999999995,29.0
88,T88,T88,Jesper Parnevik,88,"43' 10""",151,6619.5,4.0
89,T88,T88,Brandt Snedeker,105,"43' 10""",146,6404.6669999999995,18.0
90,T91,T91,Jeff Brehaut,59,"44' 0""",73,3212.75,23.0
91,T91,T91,J.J. Henry,86,"44' 0""",100,4402.417,19.0
92,T93,T93,Kirk Triplett,77,"44' 1""",91,4015.0,36.0
93,T93,T93,Camilo Villegas,82,"44' 1""",110,4852.0,9.0
94,T95,T95,Steve Allan,63,"44' 2""",89,3933.25,4.0
95,T95,T95,José María Olazábal,52,"44' 2""",66,2914.667,13.0
96,T95,T95,Tag Ridings,52,"44' 2""",84,3706.583,3.0
97,98,98,D.J. Brigman,67,"44' 3""",94,4155.583,27.0
98,T99,T99,Bubba Dickerson,51,"44' 4""",87,3858.333,22.0
99,T99,T99,John Mallinger,96,"44' 4""",116,5147.167,12.0
100,T99,T99,Ryan Moore,92,"44' 4""",121,5363.4169999999995,-4.0
101,T99,T99,Sean O'Hair,98,"44' 4""",129,5718.5830000000005,9.0
102,T99,T99,Nick Watney,87,"44' 4""",131,5811.75,27.0
103,T104,T104,Alex Cejka,80,"44' 6""",135,6012.75,19.0
104,T104,T104,Charley Hoffman,97,"44' 6""",146,6499.25,28.0
105,T104,T104,Daisuke Maruyama,86,"44' 6""",116,5163.5,20.0
106,T104,T104,Brett Quigley,79,"44' 6""",133,5913.75,19.0
107,T108,T108,Trevor Immelman,74,"44' 7""",74,3300.417,15.0
