,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Anders Hansen,55,"14' 4""",200.083,14,+4
1,2,2,Scott Verplank,82,"16' 5""",394.083,24,-3
2,3,3,Justin Leonard,95,"17' 3""",430.833,25,+1
3,4,4,Nick O'Hern,72,"17' 9""",442.917,25,+8
4,5,5,Stephen Ames,81,"17' 11""",448.167,25,-1
5,6,6,Jaco Van Zyl,51,"18' 10""",622.25,33,+6
6,7,7,Mark Brooks,53,"19' 0""",417.667,22,+5
7,8,8,Kevin Stadler,95,"19' 2""",883.5,46,+13
8,9,9,Justin Rose,63,"19' 3""",192.417,10,+1
9,10,10,Aaron Baddeley,83,"19' 4""",618.1669999999999,32,+4
10,11,11,Paul Gow,70,"19' 5""",621.0830000000001,32,E
11,12,12,Craig Lile,77,"19' 6""",720.0830000000001,37,+5
12,13,13,Chris Riley,59,"19' 7""",490.333,25,+2
13,T14,T14,Craig Bowden,78,"19' 9""",691.25,35,-6
14,T14,T14,José Coceres,50,"19' 9""",217.0,11,E
15,T14,T14,Joe Durant,88,"19' 9""",751.8330000000001,38,+3
16,T14,T14,Hunter Mahan,91,"19' 9""",355.667,18,-2
17,18,18,Shigeki Maruyama,84,"19' 10""",832.1669999999999,42,+2
18,19,19,Joey Sindelar,75,"19' 11""",438.75,22,+3
19,20,20,Jerry Kelly,101,"20' 0""",660.6669999999999,33,-1
20,T21,T21,Glen Day,85,"20' 2""",868.9169999999999,43,+1
21,T21,T21,J.B. Holmes,71,"20' 2""",1148.833,57,+4
22,T21,T21,Jeff Quinney,95,"20' 2""",765.5830000000001,38,+10
23,24,24,Tom Byrum,50,"20' 3""",303.5,15,+3
24,25,25,Cliff Kresge,107,"20' 10""",708.9169999999999,34,+3
25,26,26,Tiger Woods,63,"21' 1""",380.083,18,E
26,27,27,Jeff Gove,103,"21' 2""",656.1669999999999,31,+1
27,28,28,Charlie Wi,90,"21' 6""",558.5,26,+9
28,29,29,Phil Mickelson,73,"21' 7""",754.5,35,+2
29,T30,T30,Brian Davis,101,"21' 8""",737.0830000000001,34,-7
30,T30,T30,Ken Duke,112,"21' 8""",1214.0,56,+5
31,T30,T30,George McNeill,95,"21' 8""",736.5830000000001,34,+2
32,T30,T30,Arron Oberholser,69,"21' 8""",520.75,24,+10
33,T30,T30,Heath Slocum,101,"21' 8""",735.5,34,+5
34,T35,T35,Fred Funk,65,"21' 9""",369.667,17,+1
35,T35,T35,Shaun Micheel,91,"21' 9""",716.75,33,+7
36,T35,T35,D.J. Trahan,99,"21' 9""",1108.667,51,+9
37,T38,T38,Steve Flesch,100,"21' 10""",634.0,29,+8
38,T38,T38,José María Olazábal,52,"21' 10""",459.333,21,+3
39,40,40,Duffy Waldorf,69,"21' 11""",612.9169999999999,28,+4
40,T41,T41,Briny Baird,115,"22' 0""",988.25,45,+11
41,T41,T41,Kenny Perry,83,"22' 0""",857.9169999999999,39,+2
42,T41,T41,John Senden,97,"22' 0""",681.3330000000001,31,+4
43,T44,T44,Jonathan Byrd,73,"22' 1""",574.4169999999999,26,-3
44,T44,T44,Nick Watney,87,"22' 1""",752.0,34,+9
45,T46,T46,Steve Marino,106,"22' 2""",976.1669999999999,44,E
46,T46,T46,Rory Sabbatini,81,"22' 2""",864.0830000000001,39,-4
47,48,48,Jarrod Lyle,77,"22' 3""",889.5,40,+5
48,49,49,Ian Poulter,63,"22' 4""",334.5,15,E
49,50,50,Ted Purdy,102,"22' 5""",1053.167,47,+3
50,51,51,Steve Wheatcroft,73,"22' 6""",698.75,31,+2
51,52,52,Mathias Grönberg,95,"22' 8""",815.75,36,+2
52,53,53,Tommy Armour III,81,"22' 9""",567.9169999999999,25,+8
53,T54,T54,Michael Allen,74,"22' 11""",572.5830000000001,25,+4
54,T54,T54,Tim Clark,66,"22' 11""",459.0,20,+1
55,T54,T54,Bob Tway,103,"22' 11""",870.1669999999999,38,+2
56,T57,T57,Woody Austin,95,"23' 0""",873.5830000000001,38,-2
57,T57,T57,Bo Van Pelt,104,"23' 0""",782.25,34,+10
58,59,59,Vijay Singh,102,"23' 1""",1387.0829999999999,60,+9
59,60,60,Kent Jones,97,"23' 3""",371.583,16,+6
60,61,61,Steve Elkington,87,"23' 4""",653.5,28,+2
61,62,62,Brian Gay,107,"23' 5""",865.75,37,+10
62,T63,T63,Robert Gamez,88,"23' 6""",634.3330000000001,27,+16
63,T63,T63,Robert Garrigus,95,"23' 6""",1055.917,45,+2
64,T63,T63,Stephen Leaney,82,"23' 6""",493.75,21,+4
65,66,66,Craig Barlow,52,"23' 7""",495.083,21,+7
66,T67,T67,Bart Bryant,87,"23' 8""",710.6669999999999,30,-1
67,T67,T67,Mark Calcavecchia,93,"23' 8""",734.25,31,+11
68,69,69,Daisuke Maruyama,86,"23' 11""",669.5830000000001,28,+3
69,T70,T70,Anthony Kim,93,"24' 0""",1177.583,49,+4
70,T70,T70,Kevin Na,84,"24' 0""",1032.667,43,+2
71,72,72,Chris Couch,76,"24' 1""",1301.167,54,+4
72,73,73,Eric Axley,107,"24' 2""",1787.25,74,+9
73,T74,T74,J.P. Hayes,89,"24' 3""",994.9169999999999,41,+3
74,T74,T74,Ryuji Imada,104,"24' 3""",1090.5,45,-1
75,T74,T74,Steve Stricker,81,"24' 3""",581.4169999999999,24,+2
76,T77,T77,Billy Andrade,88,"24' 4""",923.4169999999999,38,+10
77,T77,T77,Lucas Glover,98,"24' 4""",802.3330000000001,33,+2
78,T79,T79,Steve Allan,63,"24' 6""",563.1669999999999,23,+6
79,T79,T79,Tim Petrovic,106,"24' 6""",1296.75,53,+6
80,T81,T81,Tom Johnson,74,"24' 7""",687.9169999999999,28,+9
81,T81,T81,Billy Mayfair,98,"24' 7""",687.5,28,+1
82,T81,T81,Bryce Molder,56,"24' 7""",664.75,27,+5
83,T84,T84,Daniel Chopra,106,"24' 8""",1457.25,59,+12
84,T84,T84,Craig Kanada,109,"24' 8""",961.3330000000001,39,+6
85,T84,T84,Charles Warren,101,"24' 8""",961.5,39,+12
86,T87,T87,Rich Barcelo,80,"24' 9""",1040.167,42,+15
87,T87,T87,Joe Ogilvie,102,"24' 9""",1211.5,49,+5
88,89,89,Carl Pettersson,111,"24' 10""",1042.333,42,E
89,T90,T90,Alex Cejka,80,"25' 1""",951.75,38,+4
90,T90,T90,Richard Johnson,93,"25' 1""",851.75,34,+10
91,T90,T90,Ryan Palmer,91,"25' 1""",1153.667,46,+13
92,T90,T90,Chris Stroud,66,"25' 1""",777.8330000000001,31,+8
93,94,94,Jason Bohn,57,"25' 2""",453.5,18,+3
94,T95,T95,Stuart Appleby,74,"25' 3""",758.0,30,+3
95,T95,T95,Mark Hensby,81,"25' 3""",882.9169999999999,35,+8
96,T95,T95,Tom Pernice Jr.,104,"25' 3""",781.9169999999999,31,+10
97,T98,T98,Rich Beem,89,"25' 4""",938.4169999999999,37,+9
98,T98,T98,K.J. Choi,87,"25' 4""",734.9169999999999,29,+2
99,T98,T98,Bill Haas,93,"25' 4""",1165.25,46,+10
100,T98,T98,Will MacKenzie,100,"25' 4""",1140.167,45,E
101,102,102,Ryan Armour,107,"25' 5""",1040.833,41,+10
102,103,103,Geoff Ogilvy,84,"25' 6""",865.8330000000001,34,E
103,T104,T104,Nathan Green,103,"25' 7""",1203.667,47,+13
104,T104,T104,Jeff Maggert,79,"25' 7""",1098.417,43,+2
105,106,106,Jeff Sluman,60,"25' 8""",384.833,15,-1
106,107,107,Boo Weekley,101,"25' 9""",1261.25,49,-2
107,108,108,John Rollins,102,"25' 11""",1320.5,51,+12
108,T109,T109,Bob Estes,88,"26' 0""",1119.25,43,+8
109,T109,T109,Sergio Garcia,68,"26' 0""",780.3330000000001,30,+8
110,T109,T109,Todd Hamilton,76,"26' 0""",962.0,37,+8
111,T112,T112,Jason Gore,86,"26' 1""",860.6669999999999,33,+11
