,Approach_175-200_yards_RTP_Score_RANK THIS WEEK,Approach_175-200_yards_RTP_Score_RANK LAST WEEK,Approach_175-200_yards_RTP_Score_PLAYER NAME,Approach_175-200_yards_RTP_Score_ROUNDS,Approach_175-200_yards_RTP_Score_AVG RTP
0,1,1,Tiger Woods,63,-.101
1,2,2,Ernie Els,59,-.098
2,3,3,K.J. Choi,87,-.092
3,4,4,Rory Sabbatini,81,-.086
4,5,5,Stephen Leaney,82,-.069
5,6,6,Steve Stricker,81,-.065
6,7,7,Jonathan Byrd,73,-.061
7,8,8,Phil Mickelson,73,-.053
8,9,9,J.P. Hayes,89,-.052
9,10,10,Craig Lile,77,-.041
10,11,11,Stephen Ames,81,-.035
11,T12,T12,Bob Heintz,85,-.033
12,T12,T12,Matt Hendrix,63,-.033
13,14,14,Freddie Jacobson,70,-.031
14,15,15,Michael Allen,74,-.030
15,T16,T16,Tim Clark,66,-.027
16,T16,T16,Rod Pampling,92,-.027
17,18,18,Heath Slocum,101,-.026
18,19,19,Henrik Stenson,52,-.024
19,20,20,Charley Hoffman,97,-.021
20,T21,T21,Aaron Baddeley,83,-.020
21,T21,T21,Peter Lonard,85,-.020
22,23,23,Kenny Perry,83,-.019
23,T24,T24,Steve Marino,106,-.018
24,T24,T24,Jay Williamson,50,-.018
25,26,26,Sergio Garcia,68,-.014
26,27,27,Vijay Singh,102,-.011
27,28,28,Tag Ridings,52,-.010
28,T29,T29,Joe Ogilvie,102,-.009
29,T29,T29,Dean Wilson,92,-.009
30,T31,T31,Jeff Overton,60,-.008
31,T31,T31,Carl Pettersson,111,-.008
32,T33,T33,Jason Bohn,57,-.006
33,T33,T33,Chad Campbell,96,-.006
34,T35,T35,Billy Andrade,88,-.005
35,T35,T35,Anthony Kim,93,-.005
36,T37,T37,Tom Pernice Jr.,104,-.004
37,T37,T37,Bo Van Pelt,104,-.004
38,T39,T39,Stuart Appleby,74,E
39,T39,T39,Padraig Harrington,64,E
40,T39,T39,Tom Lehman,62,E
41,T39,T39,Steve Lowery,74,E
42,T39,T39,Shaun Micheel,91,E
43,T39,T39,Jeff Quinney,95,E
44,T45,T45,Mark Calcavecchia,93,+.005
45,T45,T45,Lucas Glover,98,+.005
46,T45,T45,John Rollins,102,+.005
47,T48,T48,Stewart Cink,91,+.006
48,T48,T48,Zach Johnson,76,+.006
49,50,50,Ken Duke,112,+.011
50,51,51,Marco Dawson,73,+.013
51,52,52,Matt Kuchar,85,+.014
52,53,53,Kevin Na,84,+.015
53,54,54,Davis Love III,66,+.018
54,55,55,Jason Gore,86,+.019
55,T56,T56,Charles Howell III,89,+.020
56,T56,T56,Kevin Sutherland,85,+.020
57,T58,T58,Billy Mayfair,98,+.021
58,T58,T58,Ryan Palmer,91,+.021
59,T58,T58,Paul Stankowski,52,+.021
60,61,61,José Coceres,50,+.022
61,T62,T62,Tim Herron,98,+.023
62,T62,T62,Frank Lickliter II,95,+.023
63,T64,T64,Jim Furyk,84,+.024
64,T64,T64,Mathias Grönberg,95,+.024
65,T64,T64,Michael Putnam,96,+.024
66,67,67,Robert Garrigus,95,+.025
67,68,68,George McNeill,95,+.029
68,T69,T69,Rich Beem,89,+.030
69,T69,T69,Mark Brooks,53,+.030
70,T69,T69,Ryuji Imada,104,+.030
71,T69,T69,Ryan Moore,92,+.030
72,T69,T69,Sean O'Hair,98,+.030
73,74,74,Jerry Kelly,101,+.032
74,T75,T75,Luke Donald,69,+.033
75,T75,T75,Lee Janzen,66,+.033
76,T75,T75,Parker McLachlin,83,+.033
77,T75,T75,Kevin Stadler,95,+.033
78,T75,T75,David Toms,80,+.033
79,T80,T80,Rich Barcelo,80,+.034
80,T80,T80,Richard Johnson,93,+.034
81,T82,T82,Adam Scott,69,+.035
82,T82,T82,Jeff Sluman,60,+.035
83,T84,T84,Andrew Buckle,77,+.036
84,T84,T84,Brian Gay,107,+.036
85,T84,T84,Kirk Triplett,77,+.036
86,87,87,Arron Oberholser,69,+.037
87,88,88,Charlie Wi,90,+.039
88,T89,T89,Cliff Kresge,107,+.041
89,T89,T89,Pat Perez,84,+.041
90,T91,T91,Craig Barlow,52,+.043
91,T91,T91,Kent Jones,97,+.043
92,T91,T91,Troy Matteson,87,+.043
93,T94,T94,Steve Allan,63,+.044
94,T94,T94,Anders Hansen,55,+.044
95,T96,T96,Craig Kanada,109,+.045
96,T96,T96,Justin Leonard,95,+.045
97,98,98,Steve Elkington,87,+.046
98,T99,T99,Robert Allenby,90,+.047
99,T99,T99,Jesper Parnevik,88,+.047
100,T101,T101,Paul Goydos,60,+.048
101,T101,T101,Mark Wilson,87,+.048
102,103,103,Trevor Immelman,74,+.049
103,104,104,Brian Davis,101,+.050
104,T105,T105,Will MacKenzie,100,+.052
105,T105,T105,Rocco Mediate,72,+.052
106,T107,T107,John Senden,97,+.053
107,T107,T107,Scott Verplank,82,+.053
108,T107,T107,Camilo Villegas,82,+.053
109,110,110,Bob Estes,88,+.054
110,T111,T111,Justin Rose,63,+.055
111,T111,T111,D.J. Trahan,99,+.055
112,T113,T113,Jeff Maggert,79,+.056
113,T113,T113,Johnson Wagner,97,+.056
114,115,115,Brett Wetterich,88,+.057
115,T116,T116,Retief Goosen,50,+.058
116,T116,T116,John Merrick,92,+.058
117,T116,T116,Ted Purdy,102,+.058
118,T116,T116,Brett Quigley,79,+.058
119,T120,T120,Steve Flesch,100,+.059
120,T120,T120,José María Olazábal,52,+.059
121,T122,T122,Bart Bryant,87,+.060
122,T122,T122,Tim Petrovic,106,+.060
123,T124,T124,John Daly,59,+.061
124,T124,T124,Jason Dufner,100,+.061
125,T124,T124,Michael Sim,52,+.061
126,T127,T127,Mathew Goggin,97,+.063
127,T127,T127,Mark Hensby,81,+.063
128,T127,T127,Joey Sindelar,75,+.063
129,T127,T127,Jaco Van Zyl,51,+.063
130,131,131,Vaughn Taylor,91,+.065
131,132,132,Greg Owen,81,+.066
132,133,133,Michael Boyd,61,+.067
133,134,134,Daniel Chopra,106,+.068
134,T135,T135,John Mallinger,96,+.069
135,T135,T135,Charles Warren,101,+.069
136,T137,T137,J.J. Henry,86,+.072
137,T137,T137,J.B. Holmes,71,+.072
138,139,139,Gavin Coles,87,+.073
139,140,140,Brandt Snedeker,105,+.074
140,T141,T141,Nathan Green,103,+.075
141,T141,T141,Hunter Mahan,91,+.075
142,T143,T143,Briny Baird,115,+.077
143,T143,T143,Tripp Isenhour,86,+.077
144,T143,T143,Chris Stroud,66,+.077
145,T143,T143,Bubba Watson,80,+.077
146,147,147,Mike Weir,82,+.078
147,T148,T148,Fred Funk,65,+.079
148,T148,T148,Nick Watney,87,+.079
149,150,150,Jeff Gove,103,+.083
150,151,151,Woody Austin,95,+.084
