,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Craig Bowden,78,148.4,1250271.0,234
1,2,2,Fred Funk,65,151.6,911703.0,167
2,3,3,Mark Brooks,53,154.5,617432.0,111
3,4,4,Gavin Coles,87,154.7,1336487.0,240
4,5,5,Corey Pavin,81,156.0,1190695.0,212
5,6,6,Chris Riley,59,157.1,1040707.0,184
6,7,7,Brian Gay,107,157.2,1901556.0,336
7,8,8,Ian Poulter,63,157.3,747369.0,132
8,9,9,Glen Day,85,157.8,1391543.0,245
9,10,10,Rocco Mediate,72,158.5,1381286.0,242
10,11,11,Jeff Sluman,60,158.8,720454.0,126
11,12,12,Tim Clark,66,159.6,1166711.0,203
12,13,13,Darron Stiles,65,159.7,1052270.0,183
13,14,14,Michael Boyd,61,160.1,887630.0,154
14,15,15,Steve Stricker,81,160.9,1436876.0,248
15,16,16,Bryce Molder,56,161.2,864452.0,149
16,17,17,Bob Estes,88,161.3,1753868.0,302
17,18,18,Shigeki Maruyama,84,161.9,1550702.0,266
18,19,19,Bob Heintz,85,162.0,1545113.0,265
19,20,20,Craig Lile,77,162.1,1359682.0,233
20,21,21,Tommy Armour III,81,162.5,1386051.0,237
21,22,22,Justin Leonard,95,162.8,1623576.0,277
22,T23,T23,Paul Goydos,60,163.5,930225.0,158
23,T23,T23,Michael Sim,52,163.5,994813.0,169
24,T25,T25,Richard Johnson,93,163.6,1454739.0,247
25,T25,T25,Heath Slocum,101,163.6,1949952.0,331
26,27,27,Craig Kanada,109,163.7,1821333.0,309
27,28,28,Woody Austin,95,164.0,1729469.0,293
28,29,29,Tripp Isenhour,86,164.2,1341522.0,227
29,30,30,Chris Stroud,66,164.5,1149205.0,194
30,T31,T31,Tom Byrum,50,164.6,740628.0,125
31,T31,T31,Jarrod Lyle,77,164.6,1416153.0,239
32,33,33,David Toms,80,164.7,1363949.0,230
33,34,34,Kirk Triplett,77,164.9,1288542.0,217
34,35,35,John Mallinger,96,165.2,1753954.0,295
35,36,36,Mark Wilson,87,165.3,1386127.0,233
36,37,37,Stewart Cink,91,165.4,1619952.0,272
37,38,38,Scott Verplank,82,165.5,1245063.0,209
38,39,39,Boo Weekley,101,165.6,1603241.0,269
39,40,40,Dicky Pride,71,165.7,1181404.0,198
40,41,41,J.P. Hayes,89,166.2,1747024.0,292
41,42,42,Robert Gamez,88,166.5,1522270.0,254
42,43,43,Jim Furyk,84,166.8,1453175.0,242
43,44,44,Joey Sindelar,75,166.9,1322065.0,220
44,45,45,Lee Janzen,66,167.0,961685.0,160
45,46,46,Bart Bryant,87,167.1,1606550.0,267
46,47,47,Jeff Maggert,79,167.4,1633370.0,271
47,48,48,Brendon de Jonge,76,167.7,1497324.0,248
48,49,49,Ryan Armour,107,167.8,1933420.0,320
49,50,50,Rich Barcelo,80,167.9,1474905.0,244
50,51,51,Geoff Ogilvy,84,168.0,1469679.0,243
51,52,52,Jim Rutledge,59,168.1,707953.0,117
52,53,53,Nick O'Hern,72,168.3,1102532.0,182
53,T54,T54,Chris DiMarco,79,168.4,1121641.0,185
54,T54,T54,Brandt Snedeker,105,168.4,1788475.0,295
55,T56,T56,Jerry Kelly,101,168.5,1613573.0,266
56,T56,T56,Jay Williamson,50,168.5,1079915.0,178
57,T58,T58,Stephen Ames,81,168.7,1208588.0,199
58,T58,T58,Luke Donald,69,168.7,1117556.0,184
59,T58,T58,Ryuji Imada,104,168.7,2004099.0,330
60,T61,T61,Todd Hamilton,76,168.9,1027856.0,169
61,T61,T61,Doug LaBelle II,104,168.9,1641625.0,270
62,63,63,Matt Kuchar,85,169.1,1400462.0,230
63,64,64,Steve Elkington,87,169.4,1500509.0,246
64,65,65,Cliff Kresge,107,169.6,2008932.0,329
65,T66,T66,Eric Axley,107,170.0,1872473.0,306
66,T66,T66,Brett Quigley,79,170.0,1303942.0,213
67,T68,T68,José Coceres,50,170.2,790632.0,129
68,T68,T68,Frank Lickliter II,95,170.2,1947881.0,318
69,70,70,Tom Johnson,74,170.3,1275444.0,208
70,71,71,Chad Campbell,96,170.6,1535329.0,250
71,72,72,Arron Oberholser,69,170.8,1125364.0,183
72,T73,T73,Tom Lehman,62,171.1,1059187.0,172
73,T73,T73,Jesper Parnevik,88,171.1,1817382.0,295
74,75,75,Michael Allen,74,171.4,1413078.0,229
75,T76,T76,David Branshaw,83,171.5,1370497.0,222
76,T76,T76,Paul Gow,70,171.5,1099004.0,178
77,78,78,George McNeill,95,171.6,1741953.0,282
78,79,79,Billy Andrade,88,171.7,1718455.0,278
79,80,80,Zach Johnson,76,171.8,1292785.0,209
80,T81,T81,Stuart Appleby,74,172.0,1200900.0,194
81,T81,T81,Andrew Buckle,77,172.0,1436270.0,232
82,T83,T83,Ken Duke,112,172.1,2044716.0,330
83,T83,T83,Freddie Jacobson,70,172.1,1722146.0,278
84,T83,T83,Ryan Palmer,91,172.1,1697170.0,274
85,86,86,D.J. Brigman,67,172.2,1078733.0,174
86,87,87,Brian Bateman,55,172.4,868651.0,140
87,T88,T88,Joe Ogilvie,102,172.5,2061705.0,332
88,T88,T88,Ted Purdy,102,172.5,1826247.0,294
89,90,90,Shaun Micheel,91,172.6,1441302.0,232
90,91,91,Briny Baird,115,172.7,2381067.0,383
91,92,92,Ben Curtis,80,172.8,1163192.0,187
92,93,93,Kenny Perry,83,172.9,1680554.0,270
93,94,94,Jaco Van Zyl,51,173.0,797054.0,128
94,T95,T95,Mark Calcavecchia,93,173.1,1838430.0,295
95,T95,T95,Robert Garrigus,95,173.1,1975219.0,317
96,97,97,Charley Hoffman,97,173.2,1927090.0,309
97,T98,T98,Tim Herron,98,173.5,1736763.0,278
98,T98,T98,José María Olazábal,52,173.5,730860.0,117
99,T98,T98,Tag Ridings,52,173.5,1049401.0,168
100,101,101,Cameron Beckman,96,173.7,1931951.0,309
101,102,102,Dean Wilson,92,174.0,1634524.0,261
102,103,103,Steve Flesch,100,174.1,1861298.0,297
103,T104,T104,Steve Allan,63,174.2,1316596.0,210
104,T104,T104,Charlie Wi,90,174.2,1862144.0,297
105,106,106,Greg Owen,81,174.3,1424308.0,227
106,T107,T107,Daniel Chopra,106,174.4,2203577.0,351
107,T107,T107,Peter Lonard,85,174.4,1532034.0,244
108,T107,T107,Parker McLachlin,83,174.4,1525461.0,243
109,T107,T107,Bob Tway,103,174.4,1795155.0,286
110,111,111,Craig Barlow,52,174.6,980798.0,156
111,T112,T112,Brian Davis,101,174.7,2075926.0,330
112,T112,T112,Tom Pernice Jr.,104,174.7,1886334.0,300
113,T114,T114,John Merrick,92,174.8,1830950.0,291
114,T114,T114,Pat Perez,84,174.8,1504362.0,239
115,116,116,Will MacKenzie,100,175.0,2079164.0,330
116,T117,T117,Alex Cejka,80,175.2,1728175.0,274
117,T117,T117,Bubba Dickerson,51,175.2,845110.0,134
118,T119,T119,Rich Beem,89,175.3,1672693.0,265
119,T119,T119,Jonathan Byrd,73,175.3,1571269.0,249
120,T119,T119,Chris Tidland,59,175.3,1028842.0,163
121,T119,T119,Bo Van Pelt,104,175.3,2228133.0,353
122,T123,T123,Stephen Leaney,82,175.6,1523576.0,241
123,T123,T123,Hunter Mahan,91,175.6,1668739.0,264
124,T123,T123,Kyle Reifers,71,175.6,1232558.0,195
125,T123,T123,Justin Rose,63,175.6,960953.0,152
126,127,127,Jason Dufner,100,175.7,1859100.0,294
127,128,128,Tiger Woods,63,175.8,1240227.0,196
128,T129,T129,Joe Durant,88,176.0,1476252.0,233
129,T129,T129,Jason Gore,86,176.0,1742243.0,275
130,T129,T129,Steve Marino,106,176.0,2066107.0,326
131,132,132,Rory Sabbatini,81,176.3,1573887.0,248
132,133,133,Chris Couch,76,176.5,1544007.0,243
133,T134,T134,Mathew Goggin,97,176.6,1875536.0,295
134,T134,T134,Kent Jones,97,176.6,1996666.0,314
135,T134,T134,Jeff Quinney,95,176.6,1952146.0,307
136,T137,T137,John Rollins,102,176.7,1857637.0,292
137,T137,T137,Steve Wheatcroft,73,176.7,1272187.0,200
138,T139,T139,Jeff Brehaut,59,176.8,999046.0,157
139,T139,T139,Matt Hendrix,63,176.8,1088195.0,171
140,T139,T139,Jeff Overton,60,176.8,1272731.0,200
141,142,142,Mark Hensby,81,177.0,1560779.0,245
142,T143,T143,Billy Mayfair,98,177.1,1861869.0,292
143,T143,T143,Sean O'Hair,98,177.1,2059827.0,323
144,T143,T143,Jason Schultz,63,177.1,1109452.0,174
145,T146,T146,Daisuke Maruyama,86,177.2,1594681.0,250
146,T146,T146,John Senden,97,177.2,1907208.0,299
147,T148,T148,Davis Love III,66,177.4,1130194.0,177
148,T148,T148,Tim Petrovic,106,177.4,2197195.0,344
149,150,150,Duffy Waldorf,69,177.8,1216004.0,190
150,151,151,Steve Lowery,74,177.9,1581734.0,247
151,152,152,Bubba Watson,80,178.1,1628213.0,254
152,153,153,Ryan Moore,92,178.4,1766007.0,275
153,154,154,Charles Warren,101,178.6,2288867.0,356
154,155,155,Carl Pettersson,111,178.7,2322621.0,361
155,T156,T156,Marco Dawson,73,178.8,1448017.0,225
156,T156,T156,Harrison Frazar,88,178.8,1686072.0,262
157,158,158,Vijay Singh,102,178.9,2035108.0,316
158,159,159,Vaughn Taylor,91,179.0,1784859.0,277
159,160,160,Lucas Glover,98,179.1,2005459.0,311
160,161,161,Anders Hansen,55,179.5,723573.0,112
161,T162,T162,Robert Allenby,90,179.6,1804100.0,279
162,T162,T162,Trevor Immelman,74,179.6,1111875.0,172
163,164,164,Nathan Green,103,179.8,1993542.0,308
164,165,165,Troy Matteson,87,180.1,1744025.0,269
165,166,166,Sergio Garcia,68,180.6,1378710.0,212
166,167,167,Kevin Sutherland,85,181.0,1459526.0,224
167,T168,T168,Ernie Els,59,181.1,1134706.0,174
168,T168,T168,Charles Howell III,89,181.1,1512519.0,232
169,T168,T168,Camilo Villegas,82,181.1,1733774.0,266
170,171,171,Henrik Stenson,52,181.2,763202.0,117
171,172,172,Adam Scott,69,181.4,1508639.0,231
172,173,173,Mathias Grönberg,95,181.5,2031960.0,311
173,174,174,Kevin Na,84,181.7,1923476.0,294
174,175,175,Nick Watney,87,181.8,1682029.0,257
175,T176,T176,Jason Bohn,57,181.9,1145925.0,175
176,T176,T176,Jeff Gove,103,181.9,2036488.0,311
177,178,178,Kevin Stadler,95,182.2,1587040.0,242
178,179,179,Aaron Baddeley,83,182.4,1713638.0,261
179,180,180,J.J. Henry,86,182.7,1572081.0,239
180,181,181,Retief Goosen,50,182.9,651870.0,99
181,182,182,Brett Wetterich,88,183.3,1761954.0,267
182,183,183,Phil Mickelson,73,183.8,1376389.0,208
183,T184,T184,J.B. Holmes,71,184.1,1544404.0,233
184,T184,T184,Rod Pampling,92,184.1,1743092.0,263
185,T184,T184,Johnson Wagner,97,184.1,1955312.0,295
186,187,187,John Daly,59,184.3,1247627.0,188
187,188,188,Bill Haas,93,185.0,1911727.0,287
188,T189,T189,Anthony Kim,93,185.2,2040455.0,306
189,T189,T189,Mike Weir,82,185.2,1419976.0,213
190,T191,T191,K.J. Choi,87,185.3,1774897.0,266
191,T191,T191,Padraig Harrington,64,185.3,1160878.0,174
192,193,193,D.J. Trahan,99,186.3,1991919.0,297
193,194,194,Paul Stankowski,52,187.4,971734.0,144
194,195,195,Michael Putnam,96,187.6,1877585.0,278
195,196,196,Scott Gutschewski,67,189.1,1354530.0,199
