,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,Brian Davis,101,23
1,2,2,Joe Ogilvie,102,22
2,3,3,Charles Warren,101,20
3,4,4,Parker McLachlin,83,19
4,T5,T5,Jason Dufner,100,18
5,T5,T5,Brian Gay,107,18
6,T5,T5,Cliff Kresge,107,18
7,T5,T5,Bo Van Pelt,104,18
8,T9,T9,Michael Allen,74,17
9,T9,T9,Eric Axley,107,17
10,T9,T9,K.J. Choi,87,17
11,T12,T12,Aaron Baddeley,83,16
12,T12,T12,Charley Hoffman,97,16
13,T12,T12,Craig Kanada,109,16
14,T12,T12,Kevin Na,84,16
15,T12,T12,Scott Verplank,82,16
16,T17,T17,Kenny Perry,83,15
17,T17,T17,Tim Petrovic,106,15
18,T19,T19,Alex Cejka,80,14
19,T19,T19,Daniel Chopra,106,14
20,T19,T19,J.P. Hayes,89,14
21,T19,T19,Tom Johnson,74,14
22,T19,T19,Kent Jones,97,14
23,T19,T19,John Merrick,92,14
24,T19,T19,Sean O'Hair,98,14
25,T19,T19,Geoff Ogilvy,84,14
26,T19,T19,Tom Pernice Jr.,104,14
27,T19,T19,Ted Purdy,102,14
28,T19,T19,Jeff Quinney,95,14
29,T19,T19,Mark Wilson,87,14
30,T31,T31,Briny Baird,115,13
31,T31,T31,Steve Elkington,87,13
32,T31,T31,Doug LaBelle II,104,13
33,T31,T31,John Mallinger,96,13
34,T31,T31,Shigeki Maruyama,84,13
35,T31,T31,Rocco Mediate,72,13
36,T31,T31,Carl Pettersson,111,13
37,T31,T31,Johnson Wagner,97,13
38,T39,T39,Rich Barcelo,80,12
39,T39,T39,Chad Campbell,96,12
40,T39,T39,Gavin Coles,87,12
41,T39,T39,Ben Curtis,80,12
42,T39,T39,Glen Day,85,12
43,T39,T39,Ken Duke,112,12
44,T39,T39,Nathan Green,103,12
45,T39,T39,Tripp Isenhour,86,12
46,T39,T39,Anthony Kim,93,12
47,T39,T39,Matt Kuchar,85,12
48,T39,T39,Will MacKenzie,100,12
49,T39,T39,Rod Pampling,92,12
50,T39,T39,Darron Stiles,65,12
51,T39,T39,Nick Watney,87,12
52,T39,T39,Dean Wilson,92,12
53,T54,T54,Billy Andrade,88,11
54,T54,T54,Ryan Armour,107,11
55,T54,T54,Cameron Beckman,96,11
56,T54,T54,Rich Beem,89,11
57,T54,T54,Stewart Cink,91,11
58,T54,T54,Sergio Garcia,68,11
59,T54,T54,Mathias Grönberg,95,11
60,T54,T54,Todd Hamilton,76,11
61,T54,T54,Mark Hensby,81,11
62,T54,T54,Jerry Kelly,101,11
63,T54,T54,Peter Lonard,85,11
64,T54,T54,Jarrod Lyle,77,11
65,T54,T54,Jeff Maggert,79,11
66,T54,T54,Steve Marino,106,11
67,T54,T54,Billy Mayfair,98,11
68,T54,T54,Ryan Palmer,91,11
69,T54,T54,Ian Poulter,63,11
70,T54,T54,John Rollins,102,11
71,T54,T54,Rory Sabbatini,81,11
72,T54,T54,Vijay Singh,102,11
73,T54,T54,Brandt Snedeker,105,11
74,T54,T54,Chris Stroud,66,11
75,T54,T54,Bob Tway,103,11
76,T54,T54,Mike Weir,82,11
77,T54,T54,Brett Wetterich,88,11
78,T54,T54,Steve Wheatcroft,73,11
79,T80,T80,Woody Austin,95,10
80,T80,T80,Craig Bowden,78,10
81,T80,T80,Jeff Brehaut,59,10
82,T80,T80,Andrew Buckle,77,10
83,T80,T80,Jonathan Byrd,73,10
84,T80,T80,Marco Dawson,73,10
85,T80,T80,Ernie Els,59,10
86,T80,T80,Steve Flesch,100,10
87,T80,T80,Lucas Glover,98,10
88,T80,T80,Ryuji Imada,104,10
89,T80,T80,Richard Johnson,93,10
90,T80,T80,Justin Leonard,95,10
91,T80,T80,Frank Lickliter II,95,10
92,T80,T80,Ryan Moore,92,10
93,T80,T80,Nick O'Hern,72,10
