,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Tiger Woods,63,76.23,590,774,-190.0
1,2,2,Jim Furyk,84,75.99,902,1187,-211.0
2,3,3,Alex Cejka,80,75.28,1002,1331,-228.0
3,4,4,Jeff Overton,60,75.21,731,972,-169.0
4,5,5,John Senden,97,74.8,1131,1512,-235.0
5,6,6,Robert Allenby,90,74.59,1007,1350,-224.0
6,7,7,Joe Durant,88,74.49,978,1313,-172.0
7,8,8,Tom Lehman,62,74.46,656,881,-142.0
8,9,9,Tommy Armour III,81,74.38,923,1241,-207.0
9,10,10,Billy Mayfair,98,74.21,1108,1493,-239.0
10,11,11,J.J. Henry,86,74.16,907,1223,-207.0
11,12,12,Briny Baird,115,73.86,1396,1890,-306.0
12,13,13,Jeff Gove,103,73.82,1249,1692,-246.0
13,14,14,Cameron Beckman,96,73.79,1129,1530,-260.0
14,15,15,Kenny Perry,83,73.78,996,1350,-218.0
15,16,16,Johnson Wagner,97,73.71,1141,1548,-253.0
16,17,17,Stephen Leaney,82,73.7,981,1331,-208.0
17,18,18,Sean O'Hair,98,73.56,1099,1494,-273.0
18,19,19,John Merrick,92,73.53,1072,1458,-229.0
19,20,20,Ernie Els,59,73.48,582,792,-161.0
20,21,21,Mathew Goggin,97,73.42,1149,1565,-247.0
21,22,22,Shaun Micheel,91,73.41,925,1260,-182.0
22,23,23,Charles Warren,101,73.22,1225,1673,-291.0
23,24,24,Nick Watney,87,73.02,920,1260,-206.0
24,25,25,Greg Owen,81,72.78,917,1260,-174.0
25,26,26,D.J. Trahan,99,72.76,1178,1619,-236.0
26,27,27,Bo Van Pelt,104,72.66,1268,1745,-308.0
27,28,28,Heath Slocum,101,72.62,1215,1673,-301.0
28,29,29,Jeff Brehaut,59,72.56,640,882,-131.0
29,30,30,Ted Purdy,102,72.52,1135,1565,-239.0
30,31,31,Bart Bryant,87,72.45,965,1332,-227.0
31,32,32,Lucas Glover,98,72.42,1016,1403,-269.0
32,33,33,Duffy Waldorf,69,72.38,768,1061,-164.0
33,T34,T34,Brian Davis,101,72.29,1145,1584,-284.0
34,T34,T34,Scott Verplank,82,72.29,767,1061,-191.0
35,36,36,Hunter Mahan,91,72.28,936,1295,-234.0
36,37,37,Steve Marino,106,72.27,1183,1637,-261.0
37,38,38,Joey Sindelar,75,72.22,871,1206,-178.0
38,T39,T39,Stephen Ames,81,72.2,805,1115,-169.0
39,T39,T39,Steve Stricker,81,72.2,844,1169,-235.0
40,41,41,Rod Pampling,92,72.13,960,1331,-227.0
41,42,42,Justin Rose,63,72.08,506,702,-128.0
42,T43,T43,Anthony Kim,93,72.06,1037,1439,-262.0
43,T43,T43,Jeff Maggert,79,72.06,1011,1403,-231.0
44,T43,T43,Camilo Villegas,82,72.06,895,1242,-235.0
45,46,46,Adam Scott,69,72.02,700,972,-209.0
46,47,47,Robert Gamez,88,71.93,984,1368,-221.0
47,T48,T48,Rich Beem,89,71.9,906,1260,-217.0
48,T48,T48,Robert Garrigus,95,71.9,1113,1548,-268.0
49,50,50,Stewart Cink,91,71.87,930,1294,-248.0
50,51,51,Ryan Armour,107,71.85,1215,1691,-274.0
51,52,52,Jerry Kelly,101,71.83,969,1349,-224.0
52,53,53,Jay Williamson,50,71.76,620,864,-161.0
53,54,54,Vijay Singh,102,71.75,1059,1476,-281.0
54,55,55,Freddie Jacobson,70,71.73,878,1224,-248.0
55,56,56,K.J. Choi,87,71.71,877,1223,-240.0
56,57,57,Will MacKenzie,100,71.66,1173,1637,-276.0
57,58,58,Michael Putnam,96,71.65,1031,1439,-231.0
58,59,59,Phil Mickelson,73,71.58,670,936,-198.0
59,60,60,Davis Love III,66,71.56,682,953,-140.0
60,61,61,Ryan Moore,92,71.53,965,1349,-234.0
61,62,62,Charlie Wi,90,71.49,1068,1494,-270.0
