,Approaches_from_75-100_yards_Rgh_RANK THIS WEEK,Approaches_from_75-100_yards_Rgh_RANK LAST WEEK,Approaches_from_75-100_yards_Rgh_PLAYER NAME,Approaches_from_75-100_yards_Rgh_ROUNDS,Approaches_from_75-100_yards_Rgh_AVG,Approaches_from_75-100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_75-100_yards_Rgh_# OF ATTEMPTS,Approaches_from_75-100_yards_Rgh_RELATIVE TO PAR
0,1,1,Scott Verplank,82,"13' 9""",205.75,15,-5
1,2,2,Nick O'Hern,72,"14' 5""",159.0,11,+1
2,3,3,José María Olazábal,52,"15' 3""",122.25,8,-3
3,4,4,Anders Hansen,55,"15' 11""",159.167,10,+1
4,5,5,Padraig Harrington,64,"16' 4""",114.417,7,+2
5,6,6,Justin Leonard,95,"17' 1""",204.917,12,+1
6,7,7,Mark Brooks,53,"17' 4""",242.75,14,+2
7,8,8,Brian Davis,101,"17' 5""",295.5,17,-5
8,9,9,Jerry Kelly,101,"18' 3""",309.66700000000003,17,-1
9,10,10,Glen Day,85,"18' 4""",384.667,21,E
10,11,11,José Coceres,50,"18' 5""",129.083,7,E
11,12,12,Joey Sindelar,75,"18' 6""",313.83299999999997,17,+4
12,T13,T13,Stephen Ames,81,"18' 8""",223.667,12,-3
13,T13,T13,Shaun Micheel,91,"18' 8""",336.0,18,-1
14,T15,T15,Craig Bowden,78,"18' 9""",412.5,22,-6
15,T15,T15,Chris Riley,59,"18' 9""",281.66700000000003,15,-2
16,17,17,Brian Gay,107,"19' 0""",455.667,24,+3
17,18,18,Kevin Stadler,95,"19' 2""",479.667,25,+3
18,19,19,Robert Gamez,88,"19' 5""",194.25,10,+4
19,20,20,Tim Clark,66,"19' 7""",215.5,11,E
20,21,21,Anthony Kim,93,"19' 10""",475.917,24,-3
21,22,22,Joe Durant,88,"20' 1""",462.0,23,-1
22,T23,T23,Billy Andrade,88,"20' 5""",407.5,20,+1
23,T23,T23,Vaughn Taylor,91,"20' 5""",306.41700000000003,15,+3
24,T25,T25,Kenny Perry,83,"20' 8""",496.333,24,+3
25,T25,T25,Jeff Quinney,95,"20' 8""",372.333,18,+3
26,T27,T27,Paul Gow,70,"21' 1""",357.833,17,-3
27,T27,T27,Jaco Van Zyl,51,"21' 1""",273.75,13,+1
28,29,29,Tom Byrum,50,"21' 2""",211.833,10,+5
29,30,30,Steve Wheatcroft,73,"21' 6""",472.083,22,-1
30,31,31,Daniel Chopra,106,"21' 7""",603.5,28,+4
31,T32,T32,Woody Austin,95,"21' 8""",411.25,19,-3
32,T32,T32,Jarrod Lyle,77,"21' 8""",585.6669999999999,27,+3
33,T32,T32,Kevin Sutherland,85,"21' 8""",432.5,20,+4
34,T35,T35,Ken Duke,112,"22' 1""",683.4169999999999,31,+1
35,T35,T35,Nick Watney,87,"22' 1""",485.0,22,+4
36,37,37,Jeff Maggert,79,"22' 2""",510.333,23,-1
37,38,38,Hunter Mahan,91,"22' 3""",267.25,12,-1
38,T39,T39,Zach Johnson,76,"22' 7""",271.0,12,+1
39,T39,T39,Tom Lehman,62,"22' 7""",90.333,4,+1
40,T41,T41,Eric Axley,107,"22' 8""",906.9169999999999,40,+1
