,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Scott Gutschewski,67,37.99,87,229
1,2,2,John Daly,59,37.77,71,188
2,3,3,Brett Wetterich,88,37.5,105,280
3,4,4,Adam Scott,69,37.14,91,245
4,5,5,Phil Mickelson,73,36.9,93,252
5,T6,T6,Bill Haas,93,36.76,125,340
6,T6,T6,Vaughn Taylor,91,36.76,100,272
7,8,8,Anthony Kim,93,36.25,120,331
8,9,9,J.J. Henry,86,35.94,92,256
9,10,10,Rod Pampling,92,35.88,108,301
10,11,11,Vijay Singh,102,35.82,125,349
11,12,12,Kevin Na,84,35.35,111,314
12,13,13,Carl Pettersson,111,35.33,130,368
13,14,14,Jeff Overton,60,35.32,77,218
14,15,15,Steve Lowery,74,35.25,86,244
15,T16,T16,Craig Barlow,52,35.19,57,162
16,T16,T16,Nick Watney,87,35.19,101,287
17,18,18,Padraig Harrington,64,35.18,70,199
18,19,19,Lucas Glover,98,35.0,119,340
19,20,20,Tag Ridings,52,34.78,56,161
20,21,21,Aaron Baddeley,83,34.59,101,292
21,22,22,Ernie Els,59,34.57,65,188
22,23,23,Sean O'Hair,98,34.41,117,340
23,24,24,Daniel Chopra,106,34.39,119,346
24,25,25,Charles Howell III,89,34.34,91,265
25,26,26,K.J. Choi,87,34.25,100,292
26,27,27,Alex Cejka,80,34.15,97,284
27,28,28,Charles Warren,101,34.04,128,376
28,29,29,Bubba Watson,80,33.91,98,289
29,30,30,Mathias Grönberg,95,33.7,121,359
30,31,31,Camilo Villegas,82,33.69,95,282
31,32,32,Paul Stankowski,52,33.53,57,170
32,33,33,Michael Putnam,96,33.33,115,345
33,34,34,Freddie Jacobson,70,33.19,79,238
34,35,35,Tiger Woods,63,33.16,65,196
35,36,36,Bubba Dickerson,51,33.11,49,148
36,37,37,Hunter Mahan,91,33.09,91,275
37,38,38,Troy Matteson,87,32.78,99,302
38,39,39,Mike Weir,82,32.68,83,254
39,40,40,Charley Hoffman,97,32.57,100,307
40,41,41,Harrison Frazar,88,32.47,88,271
41,42,42,John Senden,97,32.46,111,342
42,43,43,Mark Hensby,81,32.44,85,262
43,44,44,Jason Schultz,63,32.42,59,182
44,45,45,Mark Calcavecchia,93,32.35,99,306
45,T46,T46,Robert Allenby,90,32.33,97,300
46,T46,T46,Jonathan Byrd,73,32.33,86,266
47,48,48,D.J. Trahan,99,32.32,117,362
48,49,49,Justin Rose,63,32.28,51,158
49,50,50,Tim Petrovic,106,32.17,120,373
50,51,51,J.B. Holmes,71,31.99,95,297
51,52,52,Jeff Gove,103,31.98,118,369
52,53,53,John Merrick,92,31.89,96,301
53,54,54,Marco Dawson,73,31.84,78,245
54,55,55,Will MacKenzie,100,31.81,111,349
55,56,56,Ryan Moore,92,31.72,98,309
56,57,57,Michael Allen,74,31.67,70,221
57,58,58,Kenny Perry,83,31.64,87,275
58,T59,T59,Kent Jones,97,31.52,104,330
59,T59,T59,Jay Williamson,50,31.52,52,165
60,61,61,Rich Beem,89,31.43,88,280
61,62,62,Davis Love III,66,31.4,65,207
62,63,63,Trevor Immelman,74,31.28,66,211
63,64,64,Chris Couch,76,31.03,90,290
64,65,65,Nathan Green,103,31.0,115,371
65,66,66,Pat Perez,84,30.98,79,255
66,67,67,Geoff Ogilvy,84,30.96,74,239
67,68,68,Charlie Wi,90,30.91,98,317
68,69,69,Jesper Parnevik,88,30.9,89,288
69,70,70,Stuart Appleby,74,30.88,67,217
70,71,71,J.P. Hayes,89,30.8,85,276
71,72,72,John Rollins,102,30.79,101,328
72,73,73,Chris Tidland,59,30.77,60,195
73,74,74,Robert Garrigus,95,30.7,105,342
74,75,75,Jason Bohn,57,30.66,65,212
75,76,76,Steve Wheatcroft,73,30.65,76,248
76,77,77,Sergio Garcia,68,30.61,75,245
77,78,78,Johnson Wagner,97,30.6,112,366
78,79,79,Briny Baird,115,30.56,121,396
79,80,80,Ted Purdy,102,30.49,100,328
80,81,81,Brian Davis,101,30.46,106,348
81,82,82,Cameron Beckman,96,30.42,101,332
82,83,83,Steve Marino,106,30.34,115,379
83,T84,T84,Brendon de Jonge,76,30.23,78,258
84,T84,T84,Tom Lehman,62,30.23,52,172
85,86,86,Arron Oberholser,69,30.2,61,202
86,87,87,Steve Allan,63,30.18,67,222
87,88,88,Jarrod Lyle,77,30.17,73,242
88,89,89,Ken Duke,112,30.14,104,345
89,T90,T90,Rory Sabbatini,81,30.04,79,263
90,T90,T90,Duffy Waldorf,69,30.04,67,223
91,92,92,Kevin Stadler,95,30.0,96,320
92,93,93,Joe Ogilvie,102,29.97,98,327
93,94,94,Frank Lickliter II,95,29.91,99,331
94,95,95,Ryan Palmer,91,29.9,87,291
95,96,96,Jason Gore,86,29.87,92,308
96,97,97,Mathew Goggin,97,29.77,103,346
97,98,98,Luke Donald,69,29.73,55,185
98,99,99,Billy Mayfair,98,29.71,104,350
99,100,100,Jeff Quinney,95,29.54,96,325
100,101,101,Retief Goosen,50,29.5,41,139
101,102,102,Joe Durant,88,29.47,84,285
102,103,103,Jeff Brehaut,59,29.28,53,181
103,104,104,Daisuke Maruyama,86,29.15,86,295
104,105,105,Tom Pernice Jr.,104,29.04,97,334
105,T106,T106,Steve Elkington,87,29.01,76,262
106,T106,T106,Greg Owen,81,29.01,76,262
107,108,108,Matt Hendrix,63,28.97,62,214
108,109,109,Matt Kuchar,85,28.94,68,235
109,110,110,Henrik Stenson,52,28.76,44,153
110,111,111,D.J. Brigman,67,28.72,56,195
111,112,112,Darron Stiles,65,28.65,53,185
112,113,113,Bo Van Pelt,104,28.61,105,367
113,114,114,John Mallinger,96,28.57,88,308
114,115,115,Billy Andrade,88,28.52,87,305
115,116,116,Andrew Buckle,77,28.46,70,246
116,117,117,Bart Bryant,87,28.16,78,277
117,T118,T118,Jeff Maggert,79,28.15,85,302
118,T118,T118,George McNeill,95,28.15,85,302
119,T120,T120,Jason Dufner,100,28.12,97,345
120,T120,T120,Bob Tway,103,28.12,97,345
121,122,122,Kevin Sutherland,85,28.08,89,317
122,123,123,Michael Sim,52,28.07,48,171
123,124,124,Eric Axley,107,28.03,97,346
124,T125,T125,Stewart Cink,91,27.94,76,272
125,T125,T125,Anders Hansen,55,27.94,38,136
126,127,127,Tim Herron,98,27.83,86,309
127,128,128,Dean Wilson,92,27.82,79,284
128,129,129,Kyle Reifers,71,27.8,62,223
129,130,130,Parker McLachlin,83,27.68,80,289
130,131,131,Bob Estes,88,27.59,80,290
131,132,132,Steve Flesch,100,27.46,95,346
132,133,133,Rich Barcelo,80,27.45,70,255
133,134,134,Brian Bateman,55,27.44,45,164
134,135,135,Todd Hamilton,76,27.17,50,184
135,136,136,Jim Furyk,84,27.09,68,251
136,T137,T137,Ryan Armour,107,26.95,90,334
137,T137,T137,Boo Weekley,101,26.95,83,308
138,139,139,Peter Lonard,85,26.92,77,286
139,140,140,Bob Heintz,85,26.83,66,246
140,141,141,Chad Campbell,96,26.77,72,269
141,142,142,Brandt Snedeker,105,26.73,81,303
142,143,143,Jerry Kelly,101,26.58,80,301
143,144,144,Heath Slocum,101,26.55,90,339
144,145,145,David Branshaw,83,26.43,74,280
145,146,146,Cliff Kresge,107,26.39,100,379
146,147,147,Chris Stroud,66,26.29,51,194
147,148,148,Brett Quigley,79,26.27,67,255
148,149,149,Zach Johnson,76,26.19,66,252
149,150,150,Paul Gow,70,25.89,58,224
150,151,151,Kirk Triplett,77,25.71,63,245
151,152,152,Tim Clark,66,25.63,51,199
152,153,153,David Toms,80,25.51,62,243
153,154,154,Tommy Armour III,81,25.4,63,248
154,155,155,Robert Gamez,88,25.27,70,277
155,156,156,Lee Janzen,66,25.26,48,190
156,157,157,José María Olazábal,52,25.16,40,159
157,158,158,Jaco Van Zyl,51,25.14,45,179
158,T159,T159,Ryuji Imada,104,25.0,92,368
159,T159,T159,Joey Sindelar,75,25.0,63,252
