,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,63,"28' 3""",15065.417,534,-0.18
1,2,2,Ernie Els,59,"30' 1""",15678.0,521,-0.13
2,3,3,Robert Allenby,90,"30' 7""",28489.583,931,-0.07
3,4,4,Heath Slocum,101,"30' 8""",37346.583,1219,-0.07
4,T5,T5,Ryan Palmer,91,"30' 9""",29646.25,963,-0.07
5,T5,T5,Vaughn Taylor,91,"30' 9""",27188.75,884,-0.07
6,7,7,Jim Furyk,84,"30' 11""",27827.833,900,-0.10
7,8,8,Chad Campbell,96,"31' 0""",27983.083,902,-0.06
8,T9,T9,Tom Lehman,62,"31' 1""",19250.417,620,-0.10
9,T9,T9,Kenny Perry,83,"31' 1""",29409.917,947,-0.07
10,T9,T9,Jay Williamson,50,"31' 1""",18873.25,607,-0.07
11,T12,T12,Brandt Snedeker,105,"31' 2""",32256.167,1034,-0.08
12,T12,T12,Steve Stricker,81,"31' 2""",24144.25,775,-0.13
13,T14,T14,Freddie Jacobson,70,"31' 4""",25607.75,818,-0.11
14,T14,T14,Justin Rose,63,"31' 4""",15078.167,481,-0.11
15,T14,T14,Camilo Villegas,82,"31' 4""",26302.167,840,-0.10
16,17,17,Hunter Mahan,91,"31' 6""",29644.917,942,-0.06
17,18,18,Tommy Armour III,81,"31' 7""",28308.75,896,-0.04
18,T19,T19,Jason Bohn,57,"31' 8""",21286.833,673,-0.05
19,T19,T19,Alex Cejka,80,"31' 8""",28991.917,915,-0.08
20,T19,T19,Sergio Garcia,68,"31' 8""",20613.333,651,-0.13
21,T19,T19,Robert Garrigus,95,"31' 8""",29639.833,935,-0.04
22,T23,T23,Tim Clark,66,"31' 9""",20560.167,647,-0.12
23,T23,T23,Darron Stiles,65,"31' 9""",21145.417,666,+0.01
24,T25,T25,Billy Andrade,88,"31' 11""",29293.25,917,-0.04
25,T25,T25,Robert Gamez,88,"31' 11""",30762.167,965,-0.03
26,T27,T27,Woody Austin,95,"32' 0""",32611.083,1018,-0.04
27,T27,T27,Mark Calcavecchia,93,"32' 0""",28305.833,884,-0.06
28,T27,T27,Jerry Kelly,101,"32' 0""",31168.25,975,-0.06
29,T27,T27,Matt Kuchar,85,"32' 0""",27985.583,875,-0.07
30,T27,T27,Stephen Leaney,82,"32' 0""",30121.75,941,-0.07
31,T27,T27,Joey Sindelar,75,"32' 0""",26532.583,830,-0.01
32,T27,T27,Boo Weekley,101,"32' 0""",30503.083,954,-0.05
33,T34,T34,Joe Durant,88,"32' 1""",30312.833,944,E
