,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Jeff Gove,103,81.97,773,943
1,2,2,Stewart Cink,91,81.09,566,698
2,3,3,Adam Scott,69,80.99,460,568
3,4,4,Tiger Woods,63,80.79,408,505
4,5,5,Robert Allenby,90,80.13,609,760
5,6,6,Briny Baird,115,80.02,821,1026
6,7,7,K.J. Choi,87,79.79,616,772
7,8,8,Stephen Leaney,82,79.63,598,751
8,9,9,Cameron Beckman,96,79.54,692,870
9,10,10,Phil Mickelson,73,79.33,449,566
10,11,11,Johnson Wagner,97,79.29,689,869
11,12,12,Bubba Watson,80,79.19,491,620
12,13,13,Tom Lehman,62,78.92,438,555
13,14,14,John Merrick,92,78.84,596,756
14,15,15,Kent Jones,97,78.64,729,927
15,16,16,Steve Stricker,81,78.6,562,715
16,17,17,Camilo Villegas,82,78.57,539,686
17,18,18,Billy Andrade,88,78.46,572,729
18,19,19,Kevin Sutherland,85,78.44,564,719
19,20,20,Michael Putnam,96,78.4,606,773
20,21,21,Alex Cejka,80,78.24,579,740
21,22,22,Hunter Mahan,91,78.09,677,867
22,23,23,Craig Barlow,52,78.05,345,442
23,24,24,Nick Watney,87,78.03,579,742
24,25,25,Tim Herron,98,78.02,632,810
25,26,26,D.J. Trahan,99,77.94,703,902
26,27,27,Greg Owen,81,77.89,553,710
27,28,28,Charles Howell III,89,77.82,463,595
28,29,29,Mathew Goggin,97,77.8,708,910
29,30,30,Ted Purdy,102,77.75,685,881
30,31,31,Jim Furyk,84,77.65,667,859
31,32,32,D.J. Brigman,67,77.55,425,548
32,33,33,Matt Kuchar,85,77.53,583,752
33,T34,T34,Tommy Armour III,81,77.48,585,755
34,T34,T34,Steve Flesch,100,77.48,688,888
35,36,36,Lucas Glover,98,77.43,676,873
36,37,37,Vijay Singh,102,77.42,648,837
37,38,38,Brett Quigley,79,77.41,473,611
38,39,39,Will MacKenzie,100,77.39,671,867
39,40,40,Pat Perez,84,77.34,529,684
40,41,41,Brett Wetterich,88,77.32,549,710
41,42,42,Justin Leonard,95,77.28,721,933
42,T43,T43,Trevor Immelman,74,77.26,479,620
43,T43,T43,John Senden,97,77.26,693,897
44,45,45,Robert Garrigus,95,77.21,542,702
45,46,46,Michael Allen,74,77.19,484,627
46,47,47,Richard Johnson,93,77.11,640,830
47,48,48,Harrison Frazar,88,77.07,511,663
48,49,49,Chris Stroud,66,77.05,460,597
49,50,50,J.J. Henry,86,76.93,587,763
50,T51,T51,Jeff Sluman,60,76.79,354,461
51,T51,T51,Bob Tway,103,76.79,642,836
52,53,53,Jason Dufner,100,76.77,651,848
53,54,54,Chad Campbell,96,76.67,608,793
54,55,55,Kenny Perry,83,76.64,571,745
55,T56,T56,Bill Haas,93,76.57,598,781
56,T56,T56,Kyle Reifers,71,76.57,438,572
57,58,58,Marco Dawson,73,76.56,454,593
58,59,59,Michael Sim,52,76.55,346,452
59,60,60,Jeff Overton,60,76.5,394,515
60,61,61,Mathias Grönberg,95,76.49,605,791
61,T62,T62,Billy Mayfair,98,76.48,738,965
62,T62,T62,Brandt Snedeker,105,76.48,644,842
63,64,64,Bo Van Pelt,104,76.39,686,898
64,65,65,Charlie Wi,90,76.38,624,817
65,66,66,Freddie Jacobson,70,76.36,478,626
66,67,67,Jim Rutledge,59,76.25,395,518
67,68,68,Rod Pampling,92,76.21,612,803
68,T69,T69,Brendon de Jonge,76,76.13,453,595
69,T69,T69,Tag Ridings,52,76.13,303,398
70,71,71,John Rollins,102,76.12,698,917
