,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,J.B. Holmes,71,69.76,173,75,-92,+9
1,2,2,Phil Mickelson,73,68.39,132,61,-95,-5
2,3,3,Tiger Woods,63,67.11,100,49,-61,-12
3,4,4,John Daly,59,66.3,122,62,-79,+11
4,5,5,Brett Wetterich,88,66.26,161,82,-102,+14
5,6,6,Ernie Els,59,66.04,105,54,-65,-3
6,7,7,Adam Scott,69,65.87,137,71,-86,E
7,8,8,Bill Haas,93,65.71,207,108,-121,+4
8,9,9,Anthony Kim,93,65.6,185,97,-105,+1
9,10,10,Robert Garrigus,95,65.05,214,115,-102,+11
10,11,11,Steve Allan,63,64.97,128,69,-66,+6
11,12,12,Charles Warren,101,64.86,227,123,-119,E
12,13,13,Vijay Singh,102,63.86,182,103,-120,-8
13,14,14,Mathias Grönberg,95,63.66,212,121,-109,+4
14,15,15,Jeff Overton,60,63.55,129,74,-72,+3
15,16,16,Sergio Garcia,68,63.54,122,70,-68,-8
16,17,17,Camilo Villegas,82,63.33,152,88,-86,+9
17,18,18,Sean O'Hair,98,63.25,191,111,-110,+2
18,19,19,Bubba Watson,80,63.24,160,93,-101,-2
19,20,20,Robert Allenby,90,63.22,165,96,-94,E
20,21,21,D.J. Trahan,99,62.54,207,124,-103,+1
21,22,22,Aaron Baddeley,83,61.32,149,94,-92,-19
22,23,23,Mathew Goggin,97,61.06,196,125,-102,-5
23,24,24,Pat Perez,84,60.56,129,84,-68,-1
24,25,25,Scott Gutschewski,67,60.37,131,86,-81,+14
25,26,26,Matt Hendrix,63,60.29,126,83,-45,+1
26,27,27,Troy Matteson,87,60.22,165,109,-94,E
27,28,28,Rod Pampling,92,60.0,162,108,-101,-1
28,29,29,Jonathan Byrd,73,59.57,137,93,-72,-20
29,30,30,Nick Watney,87,59.04,160,111,-90,+1
30,31,31,Jason Gore,86,58.9,182,127,-98,+5
31,32,32,Rich Beem,89,58.85,153,107,-83,-12
32,33,33,Mike Weir,82,58.59,133,94,-74,+5
33,34,34,Padraig Harrington,64,58.33,98,70,-56,+15
34,35,35,Steve Marino,106,58.31,200,143,-108,-18
35,36,36,Michael Putnam,96,58.16,171,123,-91,+5
36,37,37,Mark Calcavecchia,93,57.92,150,109,-89,-20
37,38,38,Tag Ridings,52,57.69,105,77,-57,+8
38,39,39,Johnson Wagner,97,57.23,186,139,-99,-11
39,40,40,Lucas Glover,98,57.19,179,134,-102,-7
40,41,41,Steve Wheatcroft,73,56.96,135,102,-61,-6
41,42,42,Davis Love III,66,56.84,108,82,-55,+8
42,43,43,Bubba Dickerson,51,56.79,92,70,-42,+5
43,44,44,Boo Weekley,101,56.72,152,116,-68,+9
44,45,45,Chris Couch,76,56.6,150,115,-77,+10
45,46,46,Hunter Mahan,91,56.28,139,108,-80,-5
