,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Jason Gore,78,250,Farmers Insurance Open,3,18
1,2,2,Tony Finau,95,236,Shriners Hospitals for Children Open,2,13
2,3,3,Roberto Castro,97,221,Wells Fargo Championship,2,18
3,4,4,Alex Redfield,2,217,Barbasol Championship,1,5
4,5,5,Si Woo Kim,113,216,Travelers Championship,1,5
5,6,6,Alex Cejka,71,212,Shriners Hospitals for Children Open,3,17
6,7,7,Andres Gonzales,80,210,Barbasol Championship,3,18
7,8,8,Matt Every,40,209,Waste Management Phoenix Open,3,2
8,T9,9,Rod Pampling,54,207,the Memorial Tournament presented by Nationwide,4,16
9,T9,10,Jack Maguire,4,207,Waste Management Phoenix Open,2,12
10,11,11,Nick Taylor,83,206,CareerBuilder Challenge in partnership with the Clinton Foundation,2,6
11,12,12,Ricky Barnes,97,204,Zurich Classic of New Orleans,2,3
12,T13,13,Francesco Molinari,64,203,Quicken Loans National,3,11
13,T13,14,Jin Park,3,203,Shriners Hospitals for Children Open,2,3
14,15,15,Scott Stallings,74,200,Valero Texas Open,2,13
15,16,16,Ben Crane,80,198,Farmers Insurance Open,3,15
16,17,17,David Hearn,95,195,the Memorial Tournament presented by Nationwide,1,10
17,18,18,Chad Campbell,90,194,Waste Management Phoenix Open,2,7
18,T19,19,Jhonattan Vegas,97,190,Barbasol Championship,2,17
19,T19,20,John Huh,86,190,DEAN & DELUCA Invitational,1,14
20,21,21,William McGirt,98,188,Wells Fargo Championship,4,2
21,22,22,Matt Jones,83,186,the Memorial Tournament presented by Nationwide,2,18
22,23,23,Freddie Jacobson,86,184,Farmers Insurance Open,3,15
23,24,24,Tyler Aldridge,83,180,Sanderson Farms Championship,2,4
24,25,6,Alex Cejka,71,178,The Honda Classic,1,17
25,26,26,Ernie Els,66,177,Travelers Championship,3,16
26,27,27,Dawie van der Walt,72,174,AT&T Byron Nelson,2,12
27,28,28,Tim Herron,45,167,Barbasol Championship,2,1
28,29,29,Padraig Harrington,54,166,Sony Open in Hawaii,2,5
29,T30,30,Ryan Moore,86,164,Northern Trust Open,4,16
30,T30,31,Luke Donald,81,164,Wyndham Championship,1,16
31,T30,32,Jimmy Walker,85,164,World Golf Championships-Bridgestone Invitational,4,9
32,33,33,Scott Brown,88,163,Wyndham Championship,4,3
33,34,27,Dawie van der Walt,72,162,Wyndham Championship,3,6
34,T35,3,Roberto Castro,97,160,BMW Championship,4,7
35,T35,36,Ryo Ishikawa,17,160,Waste Management Phoenix Open,1,6
36,T35,37,Rob Oppenheim,67,160,Valero Texas Open,2,1
37,T38,38,Kevin Chappell,93,158,DEAN & DELUCA Invitational,1,10
38,T38,39,Spencer Levin,104,158,AT&T Byron Nelson,2,6
39,T38,40,Ben Martin,92,158,the Memorial Tournament presented by Nationwide,4,1
40,41,26,Ernie Els,66,157,Quicken Loans National,3,12
41,T42,42,Shawn Stefani,91,156,Wyndham Championship,3,16
42,T42,43,Peter Malnati,85,156,Wyndham Championship,3,16
43,T42,44,Luke Guthrie,57,156,Wyndham Championship,4,13
44,T45,45,Carl Pettersson,49,155,FedEx St. Jude Classic,2,7
45,T45,46,Jared du Toit,4,155,RBC Canadian Open,1,17
46,47,47,Brendan Steele,88,154,the Memorial Tournament presented by Nationwide,1,18
47,48,48,Bill Haas,86,153,DEAN & DELUCA Invitational,4,14
48,49,49,Bronson Burgoon,83,151,FedEx St. Jude Classic,2,9
49,T50,50,Tyrone Van Aswegen,105,150,Northern Trust Open,3,16
50,T50,51,Steve Stricker,53,150,Valspar Championship,2,10
51,T50,52,Chris Stroud,82,150,RBC Canadian Open,4,3
52,T50,53,Patrick Rodgers,89,150,Barbasol Championship,2,11
53,T50,5,Si Woo Kim,113,150,Travelers Championship,2,3
54,T55,55,D.A. Points,55,149,Valero Texas Open,4,11
55,T55,56,Johnson Wagner,86,149,Wyndham Championship,4,6
56,T55,57,Charlie Danielson,14,149,John Deere Classic,3,18
57,T58,58,Sergio Garcia,54,148,The Honda Classic,1,2
58,T58,59,Blayne Barber,84,148,Valspar Championship,1,12
59,T58,60,Willy Wilcox,67,148,THE PLAYERS Championship,2,17
60,61,61,Steve Marino,72,147,Barbasol Championship,4,1
61,T62,62,Kyle Reifers,115,146,Sony Open in Hawaii,1,15
62,T62,63,Robert Streb,87,146,Wyndham Championship,1,17
63,T62,64,Patton Kizzire,93,146,Sanderson Farms Championship,3,14
64,65,65,Webb Simpson,70,145,the Memorial Tournament presented by Nationwide,3,9
65,66,66,Greg Owen,85,144,Sony Open in Hawaii,1,12
66,T67,67,Charl Schwartzel,73,142,TOUR Championship,3,7
67,T67,68,Ryan Palmer,86,142,PGA Championship,3,2
68,T67,69,Chesson Hadley,81,142,CareerBuilder Challenge in partnership with the Clinton Foundation,2,18
69,T70,15,Scott Stallings,74,141,Valero Texas Open,4,6
70,T70,71,D.H. Lee,61,141,Frys.com Open,1,14
71,72,42,Shawn Stefani,91,139,FedEx St. Jude Classic,1,9
72,73,73,Andrew Landry,53,138,John Deere Classic,4,8
73,74,74,Rory McIlroy,69,137,TOUR Championship,4,16
74,T75,75,Brendon Todd,66,136,RBC Heritage,1,16
75,T75,76,Keegan Bradley,82,136,Zurich Classic of New Orleans,2,4
76,T77,77,Carlos Ortiz,79,135,Wells Fargo Championship,3,17
77,T77,78,Brian Stuard,66,135,Farmers Insurance Open,1,14
78,T77,79,Jim Furyk,52,135,Travelers Championship,4,3
79,T77,55,D.A. Points,55,135,Shell Houston Open,2,1
80,81,81,Smylie Kaufman,91,134,Waste Management Phoenix Open,2,1
81,T82,82,K.T. Kim,22,133,World Golf Championships-Cadillac Championship,4,12
82,T82,83,Abraham Ancer,51,133,AT&T Byron Nelson,2,9
83,84,84,Erik Compton,65,132,Travelers Championship,2,9
84,T85,85,Troy Merritt,77,129,DEAN & DELUCA Invitational,3,18
85,T85,86,Charles Howell III,91,129,AT&T Byron Nelson,1,1
86,T87,1,Jason Gore,78,128,Valspar Championship,1,6
87,T87,60,Willy Wilcox,67,128,AT&T Pebble Beach Pro-Am,4,13
88,T87,89,Bryce Molder,80,128,Deutsche Bank Championship,2,1
89,90,90,Hideki Matsuyama,76,127,PGA Championship,2,2
90,T91,44,Luke Guthrie,57,126,Sanderson Farms Championship,1,8
91,T91,92,Daniel Summerhays,99,126,PGA Championship,3,2
