,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Andrew Landry,53,"37' 8""",53298,118,4441.5,+6.00
1,2,2,Webb Simpson,70,"38' 0""",94799,208,7899.9169999999995,+7.00
2,3,3,Charley Hoffman,91,"38' 3""",127261,277,10605.083,+24.00
3,4,4,Jason Gore,78,"39' 2""",100522,214,8376.833,+23.00
4,5,5,Dicky Pride,55,"39' 9""",65874,138,5489.5,+18.00
5,6,6,Dustin Johnson,87,"39' 10""",125584,263,10465.333,+1.00
6,7,7,Brandt Snedeker,93,"40' 1""",138596,288,11549.667,+9.00
7,8,8,Branden Grace,63,"40' 2""",88139,183,7344.9169999999995,+2.00
8,9,9,Lucas Glover,75,"40' 3""",102315,212,8526.25,+13.00
9,T10,T10,D.A. Points,55,"40' 5""",74654,154,6221.1669999999995,+12.00
10,T10,T10,Bubba Watson,72,"40' 5""",110991,229,9249.25,+3.00
11,12,12,Jason Kokrak,89,"40' 8""",151328,310,12610.667,+17.00
12,T13,T13,Tyler Aldridge,83,"40' 9""",142426,291,11868.833,+30.00
13,T13,T13,Russell Henley,76,"40' 9""",120871,247,10072.583,+25.00
14,T15,T15,Louis Oosthuizen,63,"40' 11""",77536,158,6461.3330000000005,+14.00
15,T15,T15,Boo Weekley,83,"40' 11""",109468,223,9122.333,+21.00
16,T17,T17,Alex Cejka,71,"41' 1""",83743,170,6978.5830000000005,+22.00
17,T17,T17,Jerry Kelly,76,"41' 1""",84738,172,7061.5,+16.00
18,19,19,Derek Fathauer,94,"41' 2""",180907,366,15075.583,+38.00
19,20,20,Dawie van der Walt,72,"41' 3""",114737,232,9561.417,+50.00
20,T21,T21,Luke Donald,81,"41' 4""",121966,246,10163.833,+22.00
21,T21,T21,Kevin Streelman,82,"41' 4""",112537,227,9378.083,+17.00
22,23,23,Ken Duke,58,"41' 5""",86468,174,7205.6669999999995,+23.00
23,T24,T24,Rory McIlroy,69,"41' 6""",85600,172,7133.3330000000005,-18.00
24,T24,T24,Ryan Palmer,86,"41' 6""",143356,288,11946.333,+13.00
25,26,26,Chez Reavie,90,"41' 7""",117249,235,9770.75,+30.00
26,T27,T27,David Hearn,95,"41' 8""",126405,253,10533.75,+46.00
27,T27,T27,Andrew Loupe,75,"41' 8""",165060,330,13755.0,+26.00
28,T27,T27,Brian Stuard,66,"41' 8""",88420,177,7368.3330000000005,+22.00
29,30,30,Luke List,79,"41' 9""",160911,321,13409.25,-9.00
30,T31,T31,Ricky Barnes,97,"41' 10""",174290,347,14524.167,+28.00
31,T31,T31,Jamie Lovemark,91,"41' 10""",162534,324,13544.5,+6.00
32,T31,T31,Vaughn Taylor,72,"41' 10""",117450,234,9787.5,+14.00
33,T31,T31,Jimmy Walker,85,"41' 10""",177680,354,14806.667,+2.00
34,T35,T35,Shane Lowry,57,"42' 0""",65571,130,5464.25,+21.00
35,T35,T35,Kevin Na,96,"42' 0""",132486,263,11040.5,+19.00
36,T37,T37,Scott Pinckney,87,"42' 1""",132393,262,11032.75,+25.00
37,T37,T37,Scott Stallings,74,"42' 1""",140365,278,11697.083,+19.00
38,39,39,Abraham Ancer,51,"42' 2""",67335,133,5611.25,+22.00
39,T40,T40,Tom Hoge,81,"42' 3""",140487,277,11707.25,+31.00
40,T40,T40,Hideki Matsuyama,76,"42' 3""",108422,214,9035.167,+17.00
41,T40,T40,Rob Oppenheim,67,"42' 3""",111969,221,9330.75,+25.00
42,T40,T40,Charl Schwartzel,73,"42' 3""",120149,237,10012.417,+20.00
43,44,44,Nick Taylor,83,"42' 4""",135727,267,11310.583,+40.00
44,45,45,Smylie Kaufman,91,"42' 5""",167297,329,13941.417,+20.00
45,T46,T46,Jason Dufner,105,"42' 6""",146378,287,12198.167,+18.00
46,T46,T46,Rickie Fowler,80,"42' 6""",125942,247,10495.167,+1.00
47,T46,T46,Greg Owen,85,"42' 6""",142781,280,11898.417,+36.00
48,T46,T46,Patrick Rodgers,89,"42' 6""",152586,299,12715.5,+27.00
49,T50,T50,Roberto Castro,97,"42' 7""",133423,261,11118.583,+25.00
50,T50,T50,Colt Knost,90,"42' 7""",95024,186,7918.6669999999995,+17.00
51,T50,T50,Adam Scott,79,"42' 7""",112841,221,9403.417,+7.00
52,T53,T53,David Toms,62,"42' 8""",84494,165,7041.1669999999995,+14.00
53,T53,T53,Gary Woodland,95,"42' 8""",152164,297,12680.333,-3.00
54,55,55,Geoff Ogilvy,63,"42' 9""",95857,187,7988.0830000000005,+13.00
55,T56,T56,James Hahn,85,"42' 10""",133613,260,11134.417,+27.00
56,T56,T56,Kyle Reifers,115,"42' 10""",160946,313,13412.167,+40.00
57,T58,T58,Tony Finau,95,"42' 11""",187098,363,15591.5,+14.00
58,T58,T58,Robert Garrigus,69,"42' 11""",120404,234,10033.667,+19.00
59,60,60,Harris English,97,"43' 1""",163425,316,13618.75,+16.00
60,61,61,Zac Blair,99,"43' 2""",120752,233,10062.667,+44.00
61,T62,T62,Stewart Cink,61,"43' 3""",103708,200,8642.333,+16.00
62,T62,T62,Brooks Koepka,75,"43' 3""",127660,246,10638.333,+16.00
63,T64,T64,Ben Crane,80,"43' 4""",121109,233,10092.417,+14.00
64,T64,T64,Rod Pampling,54,"43' 4""",64486,124,5373.8330000000005,+19.00
65,T66,T66,Patrick Reed,105,"43' 5""",185006,355,15417.167,+19.00
66,T66,T66,Hudson Swafford,104,"43' 5""",172403,331,14366.917,+34.00
67,T68,T68,Thomas Aiken,70,"43' 6""",74655,143,6221.25,+11.00
68,T68,T68,Kevin Chappell,93,"43' 6""",152801,293,12733.417,+17.00
69,T68,T68,Martin Laird,82,"43' 6""",154614,296,12884.5,+23.00
70,T68,T68,Danny Lee,93,"43' 6""",121562,233,10130.167,+39.00
71,T68,T68,Phil Mickelson,75,"43' 6""",142938,274,11911.5,+9.00
72,T73,T73,Jason Bohn,67,"43' 7""",92059,176,7671.5830000000005,+22.00
73,T73,T73,Jordan Spieth,80,"43' 7""",115531,221,9627.583,E
74,T73,T73,Shawn Stefani,91,"43' 7""",163052,312,13587.667,+27.00
75,T73,T73,Chris Stroud,82,"43' 7""",140273,268,11689.417,+36.00
76,77,77,Michael Thompson,71,"43' 8""",103259,197,8604.917,+35.00
77,T78,T78,Rhein Gibson,58,"43' 10""",114770,218,9564.167,+25.00
78,T78,T78,Peter Malnati,85,"43' 10""",151351,288,12612.583,+43.00
79,T78,T78,Robert Streb,87,"43' 10""",130467,248,10872.25,+18.00
80,T81,T81,Ben Martin,92,"44' 0""",146886,278,12240.5,+38.00
81,T81,T81,Henrik Norlander,71,"44' 0""",93498,177,7791.5,+28.00
82,T81,T81,Cameron Smith,73,"44' 0""",98764,187,8230.333,+36.00
83,T84,T84,Chesson Hadley,81,"44' 1""",142169,269,11847.417,+49.00
84,T84,T84,Chris Kirk,90,"44' 1""",144873,274,12072.75,+24.00
85,T86,T86,Billy Hurley III,66,"44' 2""",103782,196,8648.5,+23.00
86,T86,T86,Matt Kuchar,100,"44' 2""",135126,255,11260.5,+16.00
87,T86,T86,Spencer Levin,104,"44' 2""",132454,250,11037.833,+32.00
88,T86,T86,Sean O'Hair,89,"44' 2""",170703,322,14225.25,+23.00
89,T90,T90,Keegan Bradley,82,"44' 3""",108821,205,9068.417,+27.00
90,T90,T90,Luke Guthrie,57,"44' 3""",106128,200,8844.0,+29.00
91,T90,T90,Charles Howell III,91,"44' 3""",193106,364,16092.167,+18.00
92,T90,T90,John Huh,86,"44' 3""",130644,246,10887.0,+24.00
93,94,94,Jim Herman,93,"44' 4""",131429,247,10952.417,+41.00
94,T95,T95,Brendon de Jonge,83,"44' 5""",135422,254,11285.167,+36.00
95,T95,T95,Marc Leishman,89,"44' 5""",133230,250,11102.5,+13.00
96,T95,T95,David Lingmerth,84,"44' 5""",97028,182,8085.6669999999995,+34.00
97,T95,T95,Rory Sabbatini,57,"44' 5""",68781,129,5731.75,+23.00
98,T99,T99,Bronson Burgoon,83,"44' 6""",138734,260,11561.167,+28.00
99,T99,T99,Scott Langley,65,"44' 6""",106803,200,8900.25,+18.00
100,T99,T99,Mark Wilson,66,"44' 6""",98870,185,8239.167,+22.00
101,T102,T102,Erik Compton,65,"44' 7""",109618,205,9134.833,+32.00
102,T102,T102,D.H. Lee,61,"44' 7""",93712,175,7809.3330000000005,+37.00
