,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Adam Scott,79,84.26,498,591
1,2,2,Stewart Cink,61,83.1,413,497
2,3,3,Paul Casey,77,82.24,551,670
3,4,4,Daniel Berger,92,81.68,575,704
4,5,5,Ryan Palmer,86,81.56,566,694
5,6,6,Dustin Johnson,87,81.31,535,658
6,7,7,Brendan Steele,88,81.1,575,709
7,8,8,Robert Garrigus,69,81.02,397,490
8,9,9,Jhonattan Vegas,97,80.98,596,736
9,10,10,Greg Owen,85,80.92,543,671
10,11,11,Louis Oosthuizen,63,80.87,389,481
11,12,12,Lucas Glover,75,80.71,544,674
12,13,13,Rickie Fowler,80,80.63,512,635
13,14,14,Rory McIlroy,69,80.57,427,530
14,15,15,Jason Day,76,80.37,393,489
15,16,16,Gary Woodland,95,80.28,578,720
16,17,17,Hudson Swafford,104,80.16,715,892
17,18,18,Russell Henley,76,80.15,537,670
18,19,19,J.B. Holmes,77,80.07,430,537
19,T20,T20,Martin Laird,82,80.03,481,601
20,T20,T20,Johnson Wagner,86,80.03,589,736
21,22,22,Brett Stegmaier,87,79.92,577,722
22,23,23,Nick Taylor,83,79.87,504,631
23,24,24,Rhein Gibson,58,79.8,316,396
24,25,25,Chesson Hadley,81,79.78,497,623
25,26,26,Jason Dufner,105,79.75,713,894
26,27,27,J.J. Henry,68,79.64,438,550
27,28,28,Emiliano Grillo,93,79.55,673,846
28,29,29,Charl Schwartzel,73,79.46,441,555
29,T30,T30,Kyle Reifers,115,79.45,804,1012
30,T30,T30,Patrick Rodgers,89,79.45,545,686
31,32,32,Dawie van der Walt,72,79.35,442,557
32,33,33,Charles Howell III,91,79.34,530,668
33,34,34,Scott Stallings,74,79.17,441,557
34,35,35,Tyler Aldridge,83,79.15,505,638
35,T36,T36,Sergio Garcia,54,79.14,349,441
36,T36,T36,Willy Wilcox,67,79.14,425,537
37,T38,T38,Jim Furyk,52,79.13,398,503
38,T38,T38,Russell Knox,92,79.13,675,853
39,40,40,Ben Martin,92,79.08,605,765
