,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Adam Scott,79,60.15,80,133,-0.08
1,2,2,Jason Kokrak,89,59.62,93,156,-0.06
2,3,3,Russell Knox,92,59.41,101,170,-0.08
3,4,4,Robert Garrigus,69,59.0,59,100,-0.24
4,5,5,Sergio Garcia,54,57.81,37,64,-0.08
5,6,6,Patrick Rodgers,89,57.53,84,146,-0.05
6,7,7,Wes Roach,59,56.63,47,83,-0.21
7,8,8,John Huh,86,56.48,109,193,-0.07
8,9,9,Andres Gonzales,80,55.97,75,134,-0.04
9,10,10,Jason Gore,78,55.93,66,118,-0.03
10,11,11,Rory McIlroy,69,55.91,52,93,-0.12
11,12,12,Charl Schwartzel,73,55.15,75,136,-0.21
12,13,13,Paul Casey,77,55.1,81,147,-0.11
13,14,14,Jhonattan Vegas,97,54.91,95,173,-0.06
14,15,15,Bubba Watson,72,54.81,57,104,-0.04
15,T16,T16,Emiliano Grillo,93,54.17,91,168,-0.09
16,T16,T16,Louis Oosthuizen,63,54.17,52,96,-0.15
17,18,18,Dustin Johnson,87,53.77,57,106,-0.18
18,19,19,Henrik Norlander,71,53.72,65,121,-0.17
19,20,20,Hideki Matsuyama,76,53.69,80,149,-0.13
20,21,21,Charley Hoffman,91,53.38,79,148,-0.10
21,T22,T22,Russell Henley,76,53.02,79,149,-0.09
22,T22,T22,Jerry Kelly,76,53.02,79,149,-0.10
23,24,24,Jason Dufner,105,52.63,90,171,-0.04
24,25,25,William McGirt,98,52.49,116,221,-0.14
25,26,26,J.B. Holmes,77,52.42,65,124,-0.11
26,27,27,Chris Stroud,82,52.41,76,145,-0.16
27,28,28,Lucas Glover,75,52.21,71,136,-0.11
28,29,29,Jason Day,76,52.17,60,115,-0.18
29,30,30,Smylie Kaufman,91,52.05,89,171,-0.15
30,31,31,Scott Stallings,74,52.0,65,125,-0.14
31,32,32,Derek Ernst,59,51.85,42,81,-0.14
32,33,33,Chez Reavie,90,51.74,89,172,-0.02
33,34,34,Graham DeLaet,70,51.72,60,116,-0.10
34,35,35,Jamie Lovemark,91,51.55,83,161,-0.02
35,T36,T36,Adam Hadwin,93,51.32,97,189,-0.16
36,T36,T36,Jim Herman,93,51.32,78,152,-0.01
37,38,38,Hudson Swafford,104,51.18,87,170,-0.07
38,39,39,Billy Hurley III,66,51.08,95,186,-0.21
39,40,40,Rickie Fowler,80,51.03,74,145,-0.07
