,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
107,T107,T107,David Toms,62,"25' 8""",334.167,13,+6
108,T109,T109,Spencer Levin,104,"25' 9""",617.8330000000001,24,E
109,T109,T109,Phil Mickelson,75,"25' 9""",875.9169999999999,34,+3
110,T109,T109,Shawn Stefani,91,"25' 9""",926.9169999999999,36,+5
111,T112,T112,David Hearn,95,"25' 11""",491.667,19,+4
112,T112,T112,Charley Hoffman,91,"25' 11""",856.0830000000001,33,+5
113,T112,T112,D.H. Lee,61,"25' 11""",726.3330000000001,28,+8
114,T115,T115,Troy Merritt,77,"26' 0""",833.0830000000001,32,+11
115,T115,T115,Ryan Palmer,86,"26' 0""",961.5,37,+9
116,T117,T117,Jon Curran,99,"26' 3""",498.667,19,+4
117,T117,T117,Danny Lee,93,"26' 3""",577.25,22,+1
118,119,119,Branden Grace,63,"26' 5""",581.3330000000001,22,+3
119,T120,T120,Stuart Appleby,71,"26' 6""",901.1669999999999,34,+8
120,T120,T120,Derek Ernst,59,"26' 6""",318.08299999999997,12,E
121,T122,T122,Chez Reavie,90,"26' 9""",829.5830000000001,31,+12
122,T122,T122,Cameron Tringale,81,"26' 9""",695.25,26,+9
123,124,124,Russell Henley,76,"26' 10""",564.0830000000001,21,+2
124,T125,T125,Zac Blair,99,"26' 11""",1023.0830000000001,38,+14
125,T125,T125,Ángel Cabrera,62,"26' 11""",565.6669999999999,21,+3
126,T125,T125,Kevin Streelman,82,"26' 11""",862.0,32,+2
127,128,128,George McNeill,51,"27' 0""",432.0,16,+6
128,129,129,Adam Hadwin,93,"27' 2""",923.8330000000001,34,+7
129,T130,T130,Daniel Berger,92,"27' 4""",684.1669999999999,25,+4
130,T130,T130,Scott Brown,88,"27' 4""",846.4169999999999,31,+2
131,T132,T132,Whee Kim,82,"27' 5""",767.5,28,+2
132,T132,T132,Scott Pinckney,87,"27' 5""",876.0,32,+6
133,134,134,Jimmy Walker,85,"27' 6""",878.9169999999999,32,+3
134,135,135,Tyrone Van Aswegen,105,"27' 10""",778.75,28,+4
135,T136,T136,Thomas Aiken,70,"28' 0""",279.91700000000003,10,-1
136,T136,T136,Mark Hubbard,101,"28' 0""",755.25,27,+9
137,T138,T138,Ben Crane,80,"28' 1""",870.1669999999999,31,+4
138,T138,T138,Brian Harman,104,"28' 1""",1320.0,47,+6
139,T138,T138,Zach Johnson,90,"28' 1""",843.0,30,+9
140,T138,T138,Michael Thompson,71,"28' 1""",589.75,21,-1
141,142,142,Chesson Hadley,81,"28' 2""",676.9169999999999,24,+13
142,143,143,Jason Dufner,105,"28' 3""",678.0830000000001,24,+11
143,T144,T144,Emiliano Grillo,93,"28' 5""",626.0,22,+3
144,T144,T144,Hiroshi Iwata,85,"28' 5""",881.75,31,+12
145,T144,T144,John Senden,88,"28' 5""",823.1669999999999,29,+1
146,147,147,Willy Wilcox,67,"28' 6""",540.75,19,+8
147,148,148,Chad Campbell,90,"28' 7""",600.8330000000001,21,+9
148,T149,T149,Jason Day,76,"29' 0""",1131.833,39,+1
149,T149,T149,Robert Garrigus,69,"29' 0""",580.25,20,+5
150,T149,T149,Wes Roach,59,"29' 0""",493.167,17,+1
151,T149,T149,Cameron Smith,73,"29' 0""",870.8330000000001,30,+8
152,T153,T153,Paul Casey,77,"29' 4""",380.917,13,+2
153,T153,T153,Marc Leishman,89,"29' 4""",1115.333,38,+6
154,155,155,Sean O'Hair,89,"29' 5""",1472.4170000000001,50,+13
155,T156,T156,Retief Goosen,55,"29' 9""",684.0,23,+5
156,T156,T156,Carlos Ortiz,79,"29' 9""",1040.583,35,+7
157,T158,T158,Louis Oosthuizen,63,"29' 10""",596.0830000000001,20,+1
158,T158,T158,Brian Stuard,66,"29' 10""",447.75,15,+6
