,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Marc Leishman,89,"27' 5""",27.416999999999998,1,-1
1,2,2,Michael Kim,100,"40' 5""",80.75,2,-2
2,3,3,Scott Stallings,74,"45' 8""",45.667,1,E
3,4,4,Padraig Harrington,54,"49' 4""",147.917,3,-3
4,5,5,Steven Bowditch,71,"49' 10""",149.583,3,-1
5,6,6,David Lingmerth,84,"52' 6""",52.5,1,E
6,7,7,Sam Saunders,69,"53' 1""",53.083,1,E
7,8,8,Adam Scott,79,"54' 2""",216.667,4,-3
8,9,9,Martin Laird,82,"55' 1""",55.083,1,-1
9,10,10,Brendon de Jonge,83,"55' 11""",111.833,2,-2
10,11,11,Branden Grace,63,"57' 4""",344.167,6,-3
11,12,12,D.H. Lee,61,"59' 8""",119.333,2,-1
12,13,13,Bronson Burgoon,83,"60' 5""",241.5,4,-1
13,14,14,Hudson Swafford,104,"60' 8""",303.5,5,-2
14,15,15,Tom Hoge,81,"69' 6""",69.5,1,-1
15,16,16,Brendan Steele,88,"71' 3""",142.5,2,E
16,17,17,Charles Howell III,91,"72' 1""",288.25,4,E
17,18,18,Alex Cejka,71,"74' 2""",148.25,2,-1
18,19,19,William McGirt,98,"75' 1""",225.333,3,E
19,20,20,Francesco Molinari,64,"75' 3""",225.75,3,-3
20,21,21,Fabián Gómez,82,"75' 7""",151.083,2,-1
21,22,22,Dawie van der Walt,72,"76' 7""",306.41700000000003,4,+2
22,23,23,Webb Simpson,70,"77' 6""",77.5,1,-1
23,24,24,Ryan Palmer,86,"79' 0""",158.0,2,-2
24,25,25,Roberto Castro,97,"79' 5""",317.58299999999997,4,-1
25,26,26,Greg Owen,85,"79' 8""",398.333,5,-3
26,27,27,Aaron Baddeley,93,"80' 0""",480.083,6,+2
27,28,28,Brett Stegmaier,87,"81' 5""",162.833,2,-2
28,29,29,Jason Kokrak,89,"82' 1""",246.333,3,E
29,30,30,Luke List,79,"82' 8""",744.25,9,-5
30,31,31,Bubba Watson,72,"82' 10""",165.583,2,-1
31,32,32,Robert Garrigus,69,"83' 1""",249.333,3,-3
32,33,33,Charley Hoffman,91,"83' 2""",249.5,3,E
33,34,34,Matt Kuchar,100,"83' 3""",166.5,2,-1
34,35,35,Freddie Jacobson,86,"83' 4""",333.167,4,-3
35,36,36,Bill Haas,86,"84' 6""",169.0,2,-1
36,37,37,Rob Oppenheim,67,"84' 10""",169.667,2,-1
37,38,38,Vaughn Taylor,72,"85' 6""",256.58299999999997,3,-1
38,39,39,Blayne Barber,84,"86' 1""",86.083,1,-1
39,40,40,Hideki Matsuyama,76,"86' 2""",258.41700000000003,3,E
40,41,41,Johnson Wagner,86,"86' 3""",172.417,2,-2
41,42,42,Rory Sabbatini,57,"87' 5""",349.667,4,-1
42,43,43,Erik Compton,65,"88' 8""",177.333,2,-1
43,T44,T44,Rhein Gibson,58,"90' 2""",360.667,4,-2
44,T44,T44,Matt Jones,83,"90' 2""",631.1669999999999,7,-4
45,46,46,Brandt Snedeker,93,"90' 9""",363.0,4,E
46,47,47,Andrew Loupe,75,"91' 1""",455.333,5,-2
47,48,48,Graham DeLaet,70,"91' 2""",638.25,7,-4
48,49,49,Zac Blair,99,"91' 9""",91.75,1,E
49,50,50,Adam Hadwin,93,"91' 10""",367.25,4,-1
50,T51,T51,Vijay Singh,72,"92' 3""",368.917,4,-3
51,T51,T51,Camilo Villegas,83,"92' 3""",276.66700000000003,3,-2
52,53,53,Kelly Kraft,63,"92' 5""",184.75,2,E
53,54,54,Phil Mickelson,75,"92' 8""",555.8330000000001,6,-3
54,55,55,Chez Reavie,90,"92' 9""",185.417,2,-2
55,T56,T56,Ricky Barnes,97,"93' 2""",279.58299999999997,3,-1
56,T56,T56,George McNeill,51,"93' 2""",93.167,1,E
57,T56,T56,Harold Varner III,92,"93' 2""",558.75,6,E
58,59,59,Geoff Ogilvy,63,"93' 6""",93.5,1,E
59,60,60,Patrick Rodgers,89,"93' 8""",374.667,4,-1
60,61,61,Smylie Kaufman,91,"95' 0""",284.91700000000003,3,-1
61,62,62,Rickie Fowler,80,"95' 4""",381.417,4,-2
62,63,63,Ángel Cabrera,62,"95' 5""",572.4169999999999,6,-4
63,64,64,K.J. Choi,73,"97' 5""",97.417,1,E
64,65,65,Scott Piercy,87,"97' 8""",195.333,2,-1
65,T66,T66,Billy Horschel,73,"98' 2""",392.75,4,-2
66,T66,T66,Scott Langley,65,"98' 2""",196.333,2,E
67,68,68,James Hahn,85,"98' 4""",196.667,2,-1
68,69,69,Luke Guthrie,57,"99' 0""",197.917,2,-1
69,70,70,Nick Taylor,83,"99' 5""",397.667,4,-1
70,71,71,Chesson Hadley,81,"100' 2""",100.167,1,E
71,72,72,Chad Collins,73,"101' 2""",607.0,6,-4
72,73,73,Kevin Chappell,93,"101' 8""",1016.75,10,-2
73,74,74,Justin Rose,65,"102' 1""",510.333,5,-3
74,75,75,Scott Pinckney,87,"102' 9""",411.0,4,-2
75,76,76,John Senden,88,"102' 10""",514.3330000000001,5,E
76,T77,T77,Hunter Mahan,61,"103' 1""",103.083,1,E
77,T77,T77,Gary Woodland,95,"103' 1""",412.25,4,-2
