,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Dustin Johnson,87,1566,36859200.0,6.54
1,T2,T2,Abraham Ancer,51,1578,24147470.0,4.25
2,T2,T2,Shane Lowry,57,1578,22500460.0,3.96
3,T4,T4,Steven Bowditch,71,1579,32288090.0,5.68
4,T4,T4,Dawie van der Walt,72,1579,35594300.0,6.26
5,T6,T6,Andrew Landry,53,1580,22348150.0,3.93
6,T6,T6,Michael Thompson,71,1580,33094300.0,5.82
7,T8,T8,Andrew Loupe,75,1585,39030280.0,6.84
8,T8,T8,Martin Piller,59,1585,30757120.0,5.39
9,10,10,Kelly Kraft,63,1586,28315130.0,4.96
10,11,11,D.H. Lee,61,1589,28837040.0,5.04
11,12,12,Wes Roach,59,1592,27229680.0,4.75
12,T13,T13,Rhein Gibson,58,1594,28584800.0,4.98
13,T13,T13,Rod Pampling,54,1594,25652050.0,4.47
14,15,15,Charles Howell III,91,1595,51095700.0,8.9
15,16,16,Tim Wilkinson,72,1597,33568280.0,5.84
16,T17,T17,Ken Duke,58,1598,28940160.0,5.03
17,T17,T17,Peter Malnati,85,1598,48948330.0,8.51
18,T19,T19,Tyler Aldridge,83,1599,44851720.0,7.79
19,T19,T19,Russell Henley,76,1599,46915340.0,8.15
20,T19,T19,Vaughn Taylor,72,1599,43177970.0,7.5
21,T22,T22,Andres Gonzales,80,1600,41931470.0,7.28
22,T22,T22,Jason Gore,78,1600,38885390.0,6.75
23,T22,T22,J.B. Holmes,77,1600,36453130.0,6.33
24,T25,T25,Branden Grace,63,1602,28554350.0,4.95
25,T25,T25,Cameron Smith,73,1602,29992980.0,5.2
26,27,27,Camilo Villegas,83,1603,46800000.0,8.11
27,T28,T28,Dicky Pride,55,1604,26842760.0,4.65
28,T28,T28,Robert Streb,87,1604,42857190.0,7.42
29,T30,T30,Martin Laird,82,1605,45933870.0,7.95
30,T30,T30,Shawn Stefani,91,1605,53734720.0,9.3
31,T32,T32,Tom Hoge,81,1606,40529540.0,7.01
32,T32,T32,Brett Stegmaier,87,1606,50139340.0,8.67
33,T34,T34,Morgan Hoffmann,71,1607,37193400.0,6.43
34,T34,T34,Hunter Mahan,61,1607,32052130.0,5.54
35,T34,T34,Bubba Watson,72,1607,33318580.0,5.76
36,37,37,Kevin Streelman,82,1608,40982850.0,7.08
37,38,38,Steve Marino,72,1609,35385310.0,6.11
