,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Dustin Johnson,87,28.55,219,767
1,2,2,Jason Day,76,28.41,177,623
2,3,3,Robert Garrigus,69,27.01,175,648
3,4,4,Jordan Spieth,80,26.75,195,729
4,5,5,Rory McIlroy,69,26.59,163,613
5,6,6,Adam Scott,79,26.34,187,710
6,7,7,Jimmy Walker,85,26.04,201,772
7,8,8,Patrick Reed,105,25.95,238,917
8,9,9,Phil Mickelson,75,25.44,173,680
9,10,10,Hideki Matsuyama,76,25.36,193,761
10,11,11,J.B. Holmes,77,25.29,174,688
11,12,12,Brooks Koepka,75,25.03,181,723
12,13,13,Troy Merritt,77,24.81,201,810
13,14,14,Andrew Loupe,75,24.79,179,722
14,15,15,Bubba Watson,72,24.7,146,591
15,16,16,Kevin Kisner,97,24.61,236,959
16,17,17,Justin Rose,65,24.55,150,611
17,18,18,Emiliano Grillo,93,24.5,246,1004
18,19,19,Adam Hadwin,93,24.4,284,1164
19,20,20,Matt Kuchar,100,24.38,255,1046
20,21,21,Ryan Palmer,86,24.29,239,984
21,T22,T22,Daniel Berger,92,24.28,220,906
22,T22,T22,Smylie Kaufman,91,24.28,201,828
23,T22,T22,Charl Schwartzel,73,24.28,168,692
24,25,25,Michael Thompson,71,24.14,168,696
25,26,26,Billy Horschel,73,24.09,179,743
26,27,27,Kelly Kraft,63,23.91,137,573
27,28,28,Zach Johnson,90,23.9,238,996
28,29,29,Hudson Swafford,104,23.89,285,1193
29,30,30,Brandt Snedeker,93,23.87,222,930
30,31,31,Ricky Barnes,97,23.84,236,990
31,32,32,Ben Martin,92,23.8,252,1059
32,33,33,Tim Wilkinson,72,23.79,157,660
33,34,34,Chesson Hadley,81,23.57,194,823
34,35,35,Charles Howell III,91,23.54,217,922
35,36,36,Charley Hoffman,91,23.51,201,855
36,37,37,Ryan Moore,86,23.5,211,898
37,38,38,Rickie Fowler,80,23.49,191,813
38,39,39,Webb Simpson,70,23.46,179,763
39,40,40,Danny Lee,93,23.45,220,938
40,41,41,Daniel Summerhays,99,23.35,230,985
41,42,42,Si Woo Kim,113,23.29,299,1284
42,43,43,Paul Casey,77,23.21,178,767
43,44,44,Lucas Glover,75,23.09,209,905
44,45,45,Kevin Na,96,22.99,209,909
45,T46,T46,Blayne Barber,84,22.96,231,1006
46,T46,T46,Retief Goosen,55,22.96,138,601
47,T46,T46,Patton Kizzire,93,22.96,214,932
48,49,49,Jonas Blixt,79,22.93,191,833
49,50,50,Russell Henley,76,22.9,210,917
50,51,51,Justin Thomas,99,22.88,205,896
51,52,52,Jhonattan Vegas,97,22.86,227,993
52,53,53,Sergio Garcia,54,22.85,93,407
53,54,54,Sean O'Hair,89,22.83,245,1073
54,55,55,Ernie Els,66,22.81,151,662
55,56,56,Freddie Jacobson,86,22.75,207,910
56,57,57,Patrick Rodgers,89,22.74,199,875
57,58,58,Steve Marino,72,22.72,157,691
58,59,59,Martin Laird,82,22.7,200,881
59,60,60,Nick Taylor,83,22.63,186,822
60,T61,T61,Aaron Baddeley,93,22.62,204,902
61,T61,T61,Dawie van der Walt,72,22.62,157,694
62,63,63,Graham DeLaet,70,22.59,171,757
63,64,64,Bryce Molder,80,22.55,196,869
64,65,65,Jason Dufner,105,22.53,233,1034
65,66,66,Chris Kirk,90,22.46,219,975
66,67,67,Henrik Norlander,71,22.42,154,687
67,68,68,Cameron Tringale,81,22.35,198,886
68,69,69,William McGirt,98,22.34,263,1177
69,70,70,Harold Varner III,92,22.33,222,994
70,71,71,Johnson Wagner,86,22.32,221,990
71,T72,T72,Alex Cejka,71,22.29,154,691
72,T72,T72,Scott Piercy,87,22.29,183,821
73,74,74,Fabián Gómez,82,22.27,210,943
74,75,75,Jamie Lovemark,91,22.26,232,1042
75,76,76,Shane Lowry,57,22.2,103,464
76,77,77,Luke Guthrie,57,22.18,122,550
77,78,78,David Lingmerth,84,22.14,182,822
78,79,79,Kevin Streelman,82,22.13,185,836
79,80,80,Morgan Hoffmann,71,22.09,165,747
80,81,81,Boo Weekley,83,22.07,215,974
81,82,82,Jason Kokrak,89,22.04,201,912
82,83,83,David Hearn,95,22.03,250,1135
83,84,84,Anirban Lahiri,72,21.98,129,587
84,85,85,Roberto Castro,97,21.93,271,1236
85,86,86,Kyle Stanley,92,21.91,236,1077
86,87,87,Billy Hurley III,66,21.9,175,799
87,88,88,K.J. Choi,73,21.88,200,914
88,89,89,Sam Saunders,69,21.87,143,654
89,T90,T90,Rhein Gibson,58,21.83,112,513
90,T90,T90,Gary Woodland,95,21.83,212,971
