,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,David Hearn,95,-1.200
1,T2,T2,Jerry Kelly,76,-1.000
2,T2,T2,Colt Knost,90,-1.000
3,4,4,Steven Bowditch,71,-.889
4,5,5,Steve Wheatcroft,85,-.857
5,T6,T6,D.H. Lee,61,-.800
6,T6,T6,Shane Lowry,57,-.800
7,T8,T8,Chad Campbell,90,-.778
8,T8,T8,J.J. Henry,68,-.778
9,10,10,Rickie Fowler,80,-.765
10,T11,T11,Freddie Jacobson,86,-.750
11,T11,T11,Justin Rose,65,-.750
12,T11,T11,Steve Stricker,53,-.750
13,T14,T14,Chad Collins,73,-.733
14,T14,T14,Phil Mickelson,75,-.733
15,16,16,Scott Stallings,74,-.727
16,17,17,Willy Wilcox,67,-.714
17,T18,T18,Chris Kirk,90,-.700
18,T18,T18,Matt Kuchar,100,-.700
19,T18,T18,Marc Leishman,89,-.700
20,T18,T18,Shawn Stefani,91,-.700
21,T18,T18,Bubba Watson,72,-.700
22,23,23,Charles Howell III,91,-.692
23,24,24,Tony Finau,95,-.684
24,25,25,Roberto Castro,97,-.682
25,T26,T26,Erik Compton,65,-.667
26,T26,T26,Retief Goosen,55,-.667
27,T26,T26,Jim Herman,93,-.667
28,T26,T26,Spencer Levin,104,-.667
29,T26,T26,Hideki Matsuyama,76,-.667
30,T26,T26,Francesco Molinari,64,-.667
31,T26,T26,Martin Piller,59,-.667
32,T26,T26,Cameron Smith,73,-.667
33,T26,T26,Kevin Streelman,82,-.667
34,T26,T26,Tim Wilkinson,72,-.667
35,36,36,Smylie Kaufman,91,-.643
36,T37,T37,Harris English,97,-.636
37,T37,T37,Troy Merritt,77,-.636
38,T39,T39,Blayne Barber,84,-.625
39,T39,T39,Luke Guthrie,57,-.625
40,T39,T39,William McGirt,98,-.625
41,T39,T39,Bryce Molder,80,-.625
42,T39,T39,Greg Owen,85,-.625
43,44,44,Brian Harman,104,-.615
44,T45,T45,Derek Fathauer,94,-.611
45,T45,T45,Ryan Palmer,86,-.611
46,T47,T47,Scott Brown,88,-.600
47,T47,T47,Jon Curran,99,-.600
48,T47,T47,Sergio Garcia,54,-.600
49,T47,T47,Emiliano Grillo,93,-.600
50,T47,T47,Graeme McDowell,63,-.600
51,T47,T47,Ryan Moore,86,-.600
52,T47,T47,Seung-Yul Noh,85,-.600
53,T47,T47,Patrick Reed,105,-.600
54,55,55,Daniel Summerhays,99,-.591
55,T56,T56,Andres Gonzales,80,-.583
56,T56,T56,Patton Kizzire,93,-.583
57,T56,T56,Steve Marino,72,-.583
58,59,59,Russell Henley,76,-.571
59,60,60,Danny Lee,93,-.563
60,61,61,Si Woo Kim,113,-.560
61,T62,T62,Ben Crane,80,-.556
62,T62,T62,Jason Day,76,-.556
63,T62,T62,Tom Hoge,81,-.556
64,T62,T62,Russell Knox,92,-.556
65,T62,T62,Kelly Kraft,63,-.556
66,T62,T62,Martin Laird,82,-.556
67,68,68,Charl Schwartzel,73,-.550
68,T69,T69,David Lingmerth,84,-.545
69,T69,T69,Louis Oosthuizen,63,-.545
70,71,71,Jimmy Walker,85,-.542
71,T72,T72,Anirban Lahiri,72,-.538
72,T72,T72,Rory McIlroy,69,-.538
73,T72,T72,Kyle Reifers,115,-.538
74,75,75,Tyrone Van Aswegen,105,-.529
75,76,76,Charley Hoffman,91,-.522
76,T77,T77,Abraham Ancer,51,-.500
77,T77,T77,Stuart Appleby,71,-.500
78,T77,T77,Brendon de Jonge,83,-.500
79,T77,T77,Derek Ernst,59,-.500
80,T77,T77,Robert Garrigus,69,-.500
81,T77,T77,Jason Gore,78,-.500
82,T77,T77,Adam Hadwin,93,-.500
83,T77,T77,John Huh,86,-.500
84,T77,T77,Zach Johnson,90,-.500
85,T77,T77,Andrew Landry,53,-.500
86,T77,T77,Will MacKenzie,84,-.500
87,T77,T77,Dicky Pride,55,-.500
88,T77,T77,Brandt Snedeker,93,-.500
89,T77,T77,Brendan Steele,88,-.500
90,T77,T77,Robert Streb,87,-.500
91,T77,T77,Vaughn Taylor,72,-.500
92,T77,T77,Brendon Todd,66,-.500
93,T77,T77,David Toms,62,-.500
94,T77,T77,Cameron Tringale,81,-.500
95,T77,T77,Johnson Wagner,86,-.500
96,T77,T77,Boo Weekley,83,-.500
97,98,98,Gary Woodland,95,-.474
98,T99,T99,Fabián Gómez,82,-.467
99,T99,T99,Brooks Koepka,75,-.467
100,T99,T99,Jamie Lovemark,91,-.467
101,T99,T99,Chez Reavie,90,-.467
102,T99,T99,Jordan Spieth,80,-.467
103,T104,T104,Bill Haas,86,-.455
104,T104,T104,James Hahn,85,-.455
105,T106,T106,Ricky Barnes,97,-.444
106,T106,T106,Billy Hurley III,66,-.444
107,T106,T106,Luke List,79,-.444
108,T106,T106,Camilo Villegas,83,-.444
109,110,110,Zac Blair,99,-.438
110,T111,T111,Jason Bohn,67,-.429
111,T111,T111,Ernie Els,66,-.429
112,T111,T111,Sung Kang,89,-.429
113,T111,T111,Kevin Kisner,97,-.429
114,T115,T115,Daniel Berger,92,-.417
115,T115,T115,J.B. Holmes,77,-.417
116,T115,T115,Hunter Mahan,61,-.417
117,T115,T115,Ben Martin,92,-.417
118,T115,T115,Harold Varner III,92,-.417
119,T120,T120,Scott Langley,65,-.412
120,T120,T120,Scott Piercy,87,-.412
121,T120,T120,Patrick Rodgers,89,-.412
122,T120,T120,Nick Taylor,83,-.412
123,T124,T124,Kevin Chappell,93,-.400
124,T124,T124,Luke Donald,81,-.400
125,T124,T124,Mark Hubbard,101,-.400
126,T124,T124,Rod Pampling,54,-.400
127,T124,T124,Kyle Stanley,92,-.400
128,T124,T124,Michael Thompson,71,-.400
129,T130,T130,Alex Cejka,71,-.385
130,T130,T130,Dustin Johnson,87,-.385
131,T130,T130,Sean O'Hair,89,-.385
132,133,133,Kevin Na,96,-.381
133,T134,T134,Graham DeLaet,70,-.375
134,T134,T134,Billy Horschel,73,-.375
135,T134,T134,Michael Kim,100,-.375
136,T134,T134,Vijay Singh,72,-.375
137,T138,T138,Adam Scott,79,-.357
138,T138,T138,Dawie van der Walt,72,-.357
139,T140,T140,Morgan Hoffmann,71,-.333
140,T140,T140,Andrew Loupe,75,-.333
141,T140,T140,Peter Malnati,85,-.333
142,T140,T140,Jeff Overton,69,-.333
143,T140,T140,Justin Thomas,99,-.333
144,145,145,Scott Pinckney,87,-.313
145,T146,T146,Paul Casey,77,-.308
146,T146,T146,Chesson Hadley,81,-.308
147,T146,T146,John Senden,88,-.308
148,149,149,Matt Jones,83,-.300
149,T150,T150,Thomas Aiken,70,-.286
150,T150,T150,Rhein Gibson,58,-.286
151,T150,T150,Lucas Glover,75,-.286
152,T153,T153,K.J. Choi,73,-.250
153,T153,T153,Henrik Norlander,71,-.250
154,155,155,Jonas Blixt,79,-.235
155,T156,T156,Jason Kokrak,89,-.231
156,T156,T156,Jhonattan Vegas,97,-.231
157,158,158,Whee Kim,82,-.227
158,T159,T159,Jason Dufner,105,-.222
159,T159,T159,Branden Grace,63,-.222
160,T159,T159,Carlos Ortiz,79,-.222
161,T159,T159,Brett Stegmaier,87,-.222
162,T159,T159,Hudson Swafford,104,-.222
163,164,164,Chris Stroud,82,-.214
164,T165,T165,Aaron Baddeley,93,-.200
165,T165,T165,Rob Oppenheim,67,-.200
166,T165,T165,Brian Stuard,66,-.200
167,T168,T168,Bronson Burgoon,83,-.143
168,T168,T168,Ángel Cabrera,62,-.143
169,T168,T168,Hiroshi Iwata,85,-.143
170,T168,T168,D.A. Points,55,-.143
171,172,172,Wes Roach,59,-.125
172,173,173,George McNeill,51,-.100
173,174,174,Webb Simpson,70,-.091
174,175,175,Tyler Aldridge,83,-.083
175,T176,T176,Robert Allenby,51,E
176,T176,T176,Keegan Bradley,82,E
177,T176,T176,Stewart Cink,61,E
178,T176,T176,Ken Duke,58,E
179,T176,T176,Padraig Harrington,54,E
180,T176,T176,Geoff Ogilvy,63,E
181,T176,T176,Rory Sabbatini,57,E
182,T176,T176,Sam Saunders,69,E
183,T176,T176,Mark Wilson,66,E
