,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Adam Scott,79,76.69,773,1008,-216.0
1,2,2,Lucas Glover,75,75.21,907,1206,-226.0
2,3,3,Patrick Rodgers,89,75.04,959,1278,-235.0
3,4,4,Johnson Wagner,86,74.42,1018,1368,-248.0
4,5,5,Bubba Watson,72,74.29,682,918,-191.0
5,6,6,Paul Casey,77,74.17,761,1026,-186.0
6,7,7,Rickie Fowler,80,74.13,854,1152,-241.0
7,8,8,Greg Owen,85,74.1,907,1224,-190.0
8,9,9,J.J. Henry,68,74.07,800,1080,-139.0
9,10,10,Sergio Garcia,54,74.01,413,558,-101.0
10,11,11,Stewart Cink,61,73.92,652,882,-141.0
11,12,12,Robert Garrigus,69,73.87,718,972,-207.0
12,13,13,Rory McIlroy,69,73.84,638,864,-201.0
13,14,14,Webb Simpson,70,73.75,770,1044,-195.0
14,15,15,Louis Oosthuizen,63,73.68,557,756,-136.0
15,16,16,Roberto Castro,97,73.67,1167,1584,-292.0
16,17,17,Jim Furyk,52,73.61,583,792,-131.0
17,18,18,Hideki Matsuyama,76,73.56,768,1044,-217.0
18,19,19,Jason Kokrak,89,73.5,979,1332,-245.0
19,20,20,Jhonattan Vegas,97,73.47,1058,1440,-273.0
20,21,21,Gary Woodland,95,73.45,1018,1386,-262.0
21,22,22,Jason Dufner,105,73.42,1044,1422,-251.0
22,T23,T23,Thomas Aiken,70,73.15,632,864,-145.0
23,T23,T23,John Senden,88,73.15,1027,1404,-248.0
24,25,25,Keegan Bradley,82,72.93,827,1134,-201.0
25,26,26,Billy Horschel,73,72.92,735,1008,-196.0
26,27,27,Russell Knox,92,72.91,853,1170,-193.0
27,28,28,Russell Henley,76,72.79,904,1242,-222.0
28,29,29,Emiliano Grillo,93,72.75,956,1314,-251.0
29,30,30,Bill Haas,86,72.66,837,1152,-181.0
30,31,31,Henrik Norlander,71,72.65,680,936,-161.0
31,32,32,Brendan Steele,88,72.55,888,1224,-213.0
32,33,33,Charles Howell III,91,72.51,1018,1404,-270.0
33,34,34,Boo Weekley,83,72.46,926,1278,-228.0
34,35,35,Alex Cejka,71,72.44,665,918,-173.0
35,36,36,Charl Schwartzel,73,72.42,730,1008,-194.0
36,37,37,Chad Campbell,90,72.36,1029,1422,-231.0
37,38,38,Jason Day,76,72.33,703,972,-238.0
38,39,39,David Hearn,95,72.29,1067,1476,-260.0
39,T40,T40,Scott Pinckney,87,72.22,923,1278,-218.0
40,T40,T40,Chez Reavie,90,72.22,988,1368,-243.0
41,42,42,Matt Kuchar,100,72.15,1000,1386,-288.0
42,43,43,Michael Thompson,71,72.12,688,954,-179.0
43,44,44,Hudson Swafford,104,72.1,1181,1638,-327.0
44,45,45,Kevin Streelman,82,72.05,817,1134,-194.0
45,46,46,Kyle Stanley,92,72.01,1011,1404,-244.0
46,47,47,Martin Laird,82,71.98,907,1260,-224.0
47,48,48,Derek Ernst,59,71.96,557,774,-109.0
48,49,49,William McGirt,98,71.84,1138,1584,-295.0
49,50,50,Scott Piercy,87,71.7,826,1152,-206.0
50,51,51,Daniel Berger,92,71.68,929,1296,-267.0
51,52,52,Brooks Koepka,75,71.67,774,1080,-244.0
52,53,53,Kevin Na,96,71.66,890,1242,-236.0
53,T54,T54,Graham DeLaet,70,71.65,748,1044,-193.0
54,T54,T54,Ryan Palmer,86,71.65,1006,1404,-282.0
55,T56,T56,Rhein Gibson,58,71.59,567,792,-123.0
56,T56,T56,Kyle Reifers,115,71.59,1237,1728,-296.0
57,58,58,Blayne Barber,84,71.55,953,1332,-231.0
58,59,59,Justin Rose,65,71.54,631,882,-173.0
