,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Sergio Garcia,54,78.57,77,21
1,2,2,Rory McIlroy,69,76.83,126,38
2,3,3,Justin Rose,65,71.43,120,48
3,4,4,Dustin Johnson,87,70.5,141,59
4,5,5,Bubba Watson,72,70.25,111,47
5,6,6,Andrew Loupe,75,69.44,150,66
6,7,7,Tony Finau,95,69.26,169,75
7,8,8,Jhonattan Vegas,97,69.17,184,82
8,9,9,Luke List,79,69.12,141,63
9,10,10,Gary Woodland,95,68.49,163,75
10,11,11,Rickie Fowler,80,67.65,138,66
11,12,12,Brooks Koepka,75,67.2,125,61
12,13,13,Jimmy Walker,85,66.35,138,70
13,14,14,J.B. Holmes,77,65.82,129,67
14,15,15,Ryan Palmer,86,65.04,160,86
15,16,16,Adam Scott,79,64.63,106,58
16,17,17,Jason Day,76,64.52,120,66
17,T18,T18,Robert Garrigus,69,63.98,103,58
18,T18,T18,Phil Mickelson,75,63.98,119,67
19,20,20,Smylie Kaufman,91,63.36,147,85
20,21,21,Jason Kokrak,89,63.14,149,87
21,22,22,Si Woo Kim,113,62.99,194,114
22,23,23,Greg Owen,85,62.8,130,77
23,T24,T24,Sean O'Hair,89,62.79,162,96
24,T24,T24,Charl Schwartzel,73,62.79,108,64
25,26,26,Graham DeLaet,70,62.11,118,72
26,27,27,Harold Varner III,92,61.63,159,99
27,28,28,Justin Thomas,99,61.5,139,87
28,29,29,Paul Casey,77,60.92,106,68
29,30,30,Ángel Cabrera,62,60.51,95,62
30,31,31,Scott Piercy,87,60.2,118,78
31,T32,T32,Daniel Berger,92,60.0,138,92
32,T32,T32,Rhein Gibson,58,60.0,84,56
33,34,34,Emiliano Grillo,93,59.57,137,93
34,35,35,Patrick Rodgers,89,59.48,138,94
35,36,36,Danny Lee,93,59.38,133,91
36,37,37,Jamie Lovemark,91,59.12,162,112
37,38,38,Carlos Ortiz,79,58.85,113,79
38,39,39,Hudson Swafford,104,58.74,168,118
39,T40,T40,Jonas Blixt,79,58.72,128,90
40,T40,T40,Lucas Glover,75,58.72,128,90
41,42,42,Matt Jones,83,58.6,109,77
42,43,43,Patrick Reed,105,58.47,145,103
43,44,44,Steve Marino,72,58.33,98,70
44,45,45,Boo Weekley,83,57.8,126,92
45,T46,T46,Bronson Burgoon,83,57.73,112,82
46,T46,T46,Scott Pinckney,87,57.73,127,93
47,48,48,Jordan Spieth,80,57.69,105,77
48,T49,T49,Hideki Matsuyama,76,57.61,106,78
49,T49,T49,Willy Wilcox,67,57.61,106,78
50,51,51,Keegan Bradley,82,57.29,110,82
51,52,52,Morgan Hoffmann,71,57.14,104,78
52,53,53,Scott Stallings,74,56.32,107,83
53,54,54,Marc Leishman,89,56.06,111,87
54,55,55,Stewart Cink,61,55.71,78,62
55,56,56,Sam Saunders,69,55.56,85,68
56,57,57,Billy Horschel,73,55.49,101,81
57,58,58,Anirban Lahiri,72,55.41,82,66
58,59,59,Hiroshi Iwata,85,55.39,113,91
59,60,60,Thomas Aiken,70,55.33,83,67
60,61,61,Harris English,97,55.02,115,94
61,T62,T62,Kelly Kraft,63,55.0,77,63
62,T62,T62,Steve Wheatcroft,85,55.0,121,99
63,64,64,Rory Sabbatini,57,54.76,69,57
64,65,65,Padraig Harrington,54,54.48,73,61
65,66,66,Sung Kang,89,54.46,122,102
66,67,67,Fabián Gómez,82,54.35,125,105
67,68,68,Adam Hadwin,93,54.29,152,128
68,69,69,Kevin Kisner,97,54.25,115,97
69,70,70,Webb Simpson,70,54.12,92,78
70,71,71,Derek Ernst,59,54.01,74,63
71,72,72,Ernie Els,66,53.98,95,81
72,T73,T73,Kevin Chappell,93,53.97,136,116
73,T73,T73,Charles Howell III,91,53.97,136,116
74,T73,T73,Daniel Summerhays,99,53.97,136,116
75,76,76,Brett Stegmaier,87,53.95,123,105
76,77,77,Henrik Norlander,71,53.66,88,76
77,T78,T78,Martin Laird,82,53.54,121,105
78,T78,T78,Vijay Singh,72,53.54,106,92
