,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Dustin Johnson,87,20.2,120122.0,165
1,T2,T2,Thomas Aiken,70,20.5,64187.0,87
2,T2,T2,Robert Garrigus,69,20.5,90872.0,123
3,T2,T2,Jason Kokrak,89,20.5,130006.0,176
4,5,5,Robert Allenby,51,20.6,44430.0,60
5,T6,T6,Jordan Spieth,80,20.8,91550.0,122
6,T6,T6,Camilo Villegas,83,20.8,83890.0,112
7,8,8,Rory McIlroy,69,21.0,108845.0,144
8,T9,T9,Jason Gore,78,21.1,71532.0,94
9,T9,T9,Vaughn Taylor,72,21.1,69976.0,92
10,11,11,Gary Woodland,95,21.2,142659.0,187
11,T12,T12,Louis Oosthuizen,63,21.4,56137.0,73
12,T12,T12,Webb Simpson,70,21.4,83785.0,109
13,T14,T14,Keegan Bradley,82,21.5,98921.0,128
14,T14,T14,Brett Stegmaier,87,21.5,108331.0,140
15,T16,T16,Tyler Aldridge,83,21.6,79372.0,102
16,T16,T16,Hideki Matsuyama,76,21.6,96517.0,124
17,T16,T16,D.A. Points,55,21.6,43471.0,56
18,T19,T19,Chad Campbell,90,21.7,111466.0,143
19,T19,T19,Matt Kuchar,100,21.7,104760.0,134
20,T21,T21,Charley Hoffman,91,21.8,108343.0,138
21,T21,T21,Justin Thomas,99,21.8,127749.0,163
22,23,23,Hudson Swafford,104,21.9,154066.0,195
23,24,24,Luke List,79,22.0,133700.0,169
24,T25,T25,Mark Hubbard,101,22.1,111466.0,140
25,T25,T25,Adam Scott,79,22.1,99256.0,125
26,T27,T27,Kevin Chappell,93,22.2,125467.0,157
27,T27,T27,Tony Finau,95,22.2,169354.0,212
28,T27,T27,Jerry Kelly,76,22.2,71000.0,89
29,T30,T30,Stewart Cink,61,22.3,70781.0,88
30,T30,T30,Ken Duke,58,22.3,56160.0,70
31,T30,T30,Lucas Glover,75,22.3,111756.0,139
32,T30,T30,Patton Kizzire,93,22.3,110667.0,138
33,T30,T30,Russell Knox,92,22.3,87515.0,109
34,T30,T30,Phil Mickelson,75,22.3,105750.0,132
35,T30,T30,Willy Wilcox,67,22.3,96260.0,120
36,T37,T37,Daniel Berger,92,22.4,129856.0,161
37,T37,T37,Jason Dufner,105,22.4,102451.0,127
38,T39,T39,Marc Leishman,89,22.5,104573.0,129
39,T39,T39,Brendan Steele,88,22.5,120457.0,149
40,T39,T39,Boo Weekley,83,22.5,117706.0,145
41,42,42,Ben Martin,92,22.7,121543.0,149
42,T43,T43,Andrew Landry,53,22.8,45955.0,56
43,T43,T43,Spencer Levin,104,22.8,104223.0,127
44,T43,T43,Scott Pinckney,87,22.8,123766.0,151
45,T43,T43,Jhonattan Vegas,97,22.8,170853.0,208
46,T47,T47,Roberto Castro,97,22.9,125969.0,153
47,T47,T47,Russell Henley,76,22.9,96409.0,117
48,T47,T47,William McGirt,98,22.9,137084.0,166
49,T47,T47,Scott Piercy,87,22.9,116014.0,141
50,T47,T47,Sam Saunders,69,22.9,76640.0,93
51,T47,T47,Steve Stricker,53,22.9,37168.0,45
52,53,53,Kyle Reifers,115,23.0,141535.0,171
53,T54,T54,Stuart Appleby,71,23.1,73096.0,88
54,T54,T54,Wes Roach,59,23.1,60824.0,73
55,T54,T54,Patrick Rodgers,89,23.1,143718.0,173
56,T54,T54,Bubba Watson,72,23.1,117882.0,142
57,58,58,Ángel Cabrera,62,23.2,91994.0,110
58,T59,T59,Jim Furyk,52,23.3,46080.0,55
59,T59,T59,Brooks Koepka,75,23.3,130823.0,156
