,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Dustin Johnson,87,-.194
1,T2,T2,Jason Day,76,-.186
2,T2,T2,Adam Scott,79,-.186
3,4,4,Phil Mickelson,75,-.162
4,5,5,Robert Garrigus,69,-.151
5,6,6,Rory McIlroy,69,-.148
6,7,7,Jordan Spieth,80,-.147
7,8,8,Patrick Reed,105,-.146
8,9,9,Hideki Matsuyama,76,-.145
9,10,10,Rickie Fowler,80,-.144
10,11,11,Kevin Kisner,97,-.141
11,12,12,Bubba Watson,72,-.139
12,13,13,Paul Casey,77,-.137
13,14,14,Charl Schwartzel,73,-.134
14,T15,T15,Kelly Kraft,63,-.133
15,T15,T15,Justin Rose,65,-.133
16,17,17,Jimmy Walker,85,-.131
17,T18,T18,Matt Kuchar,100,-.129
18,T18,T18,Ryan Moore,86,-.129
19,T20,T20,Adam Hadwin,93,-.126
20,T20,T20,Brooks Koepka,75,-.126
21,22,22,Brandt Snedeker,93,-.125
22,23,23,Daniel Berger,92,-.124
23,24,24,Steve Stricker,53,-.123
24,25,25,Alex Cejka,71,-.122
25,26,26,Tim Wilkinson,72,-.121
26,T27,T27,Retief Goosen,55,-.120
27,T27,T27,Si Woo Kim,113,-.120
28,29,29,J.B. Holmes,77,-.118
29,T30,T30,Bryce Molder,80,-.116
30,T30,T30,Jhonattan Vegas,97,-.116
31,T32,T32,Zach Johnson,90,-.115
32,T32,T32,Troy Merritt,77,-.115
33,34,34,Charles Howell III,91,-.114
34,T35,T35,Lucas Glover,75,-.113
35,T35,T35,William McGirt,98,-.113
36,37,37,Emiliano Grillo,93,-.112
37,T38,T38,Charley Hoffman,91,-.111
38,T38,T38,Michael Thompson,71,-.111
39,T40,T40,David Hearn,95,-.110
40,T40,T40,Smylie Kaufman,91,-.110
41,42,42,Ryan Palmer,86,-.107
42,T43,T43,Russell Henley,76,-.106
43,T43,T43,Hudson Swafford,104,-.106
44,T45,T45,Ricky Barnes,97,-.105
45,T45,T45,Roberto Castro,97,-.105
46,T45,T45,Kevin Na,96,-.105
47,T48,T48,K.J. Choi,73,-.103
48,T48,T48,Spencer Levin,104,-.103
49,T48,T48,Henrik Norlander,71,-.103
50,T48,T48,Chez Reavie,90,-.103
51,52,52,Aaron Baddeley,93,-.102
52,53,53,Webb Simpson,70,-.101
53,T54,T54,Danny Lee,93,-.100
54,T54,T54,Johnson Wagner,86,-.100
55,T56,T56,Sergio Garcia,54,-.098
56,T56,T56,Chris Kirk,90,-.098
57,58,58,Gary Woodland,95,-.097
58,T59,T59,Jason Kokrak,89,-.096
59,T59,T59,Ben Martin,92,-.096
60,T59,T59,Justin Thomas,99,-.096
61,T62,T62,Stuart Appleby,71,-.095
62,T62,T62,Luke Guthrie,57,-.095
63,T62,T62,Russell Knox,92,-.095
64,T62,T62,Patrick Rodgers,89,-.095
65,T66,T66,Bill Haas,86,-.094
66,T66,T66,Chesson Hadley,81,-.094
67,T66,T66,Andrew Loupe,75,-.094
68,T69,T69,Blayne Barber,84,-.093
69,T69,T69,Jim Furyk,52,-.093
70,T71,T71,Patton Kizzire,93,-.092
71,T71,T71,Nick Taylor,83,-.092
72,T73,T73,Fabián Gómez,82,-.091
73,T73,T73,Billy Hurley III,66,-.091
74,T73,T73,Dawie van der Walt,72,-.091
75,T76,T76,Jason Dufner,105,-.090
76,T76,T76,Martin Laird,82,-.090
77,T76,T76,David Lingmerth,84,-.090
78,T76,T76,Louis Oosthuizen,63,-.090
