,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Adam Scott,79,"32' 5""",32364.5,999,3
1,2,2,David Hearn,95,"32' 7""",47698.583,1465,31
2,3,3,Robert Garrigus,69,"32' 9""",31511.25,961,14
3,T4,T4,Jason Gore,78,"32' 10""",34671.333,1055,68
4,T4,T4,Jerry Kelly,76,"32' 10""",35228.75,1073,66
5,6,6,Vaughn Taylor,72,"32' 11""",39394.75,1197,127
6,7,7,Dustin Johnson,87,"33' 0""",36525.833,1106,43
7,T8,T8,Jim Furyk,52,"33' 1""",26178.0,791,29
8,T8,T8,Webb Simpson,70,"33' 1""",34187.75,1034,57
9,T8,T8,Tim Wilkinson,72,"33' 1""",29557.917,893,115
10,T11,T11,Russell Knox,92,"33' 4""",38802.667,1164,9
11,T11,T11,Michael Thompson,71,"33' 4""",31560.583,947,79
12,T13,T13,Billy Hurley III,66,"33' 6""",35237.833,1051,166
13,T13,T13,Chez Reavie,90,"33' 6""",45459.5,1358,37
14,15,15,Hideki Matsuyama,76,"33' 7""",34683.417,1034,35
15,T16,T16,Keegan Bradley,82,"33' 8""",37913.333,1126,12
16,T16,T16,Ryan Moore,86,"33' 8""",39048.583,1161,87
17,T16,T16,Brian Stuard,66,"33' 8""",36044.917,1071,149
18,19,19,Jason Dufner,105,"33' 9""",47712.25,1413,6
19,T20,T20,Russell Henley,76,"33' 10""",41698.167,1233,29
20,T20,T20,Tom Hoge,81,"33' 10""",37994.417,1123,167
21,T20,T20,David Toms,62,"33' 10""",32749.5,967,96
22,23,23,D.A. Points,55,"33' 11""",23651.75,698,98
23,T24,T24,Andrew Landry,53,"34' 1""",20031.333,588,117
24,T24,T24,Kyle Stanley,92,"34' 1""",47476.0,1394,54
25,T26,T26,Lucas Glover,75,"34' 2""",40692.083,1192,1
26,T26,T26,Colt Knost,90,"34' 2""",42687.75,1250,103
27,T26,T26,Louis Oosthuizen,63,"34' 2""",25654.667,751,33
28,T29,T29,Kevin Na,96,"34' 3""",42296.333,1234,64
29,T29,T29,Hudson Swafford,104,"34' 3""",55508.25,1619,22
30,T31,T31,Rod Pampling,54,"34' 4""",22724.167,662,133
31,T31,T31,Boo Weekley,83,"34' 4""",43301.0,1262,41
32,T33,T33,K.J. Choi,73,"34' 5""",40510.167,1176,97
33,T33,T33,Rory McIlroy,69,"34' 5""",29209.667,849,11
34,T33,T33,Henrik Norlander,71,"34' 5""",31946.417,929,32
35,T36,T36,Thomas Aiken,70,"34' 6""",29538.75,857,5
36,T36,T36,Jason Bohn,67,"34' 6""",36221.417,1051,72
37,T36,T36,Roberto Castro,97,"34' 6""",54358.0,1575,19
38,T36,T36,Alex Cejka,71,"34' 6""",31528.417,913,39
39,T36,T36,Chris Kirk,90,"34' 6""",45795.083,1326,132
40,T41,T41,Tyler Aldridge,83,"34' 7""",41549.25,1200,95
41,T41,T41,Kevin Chappell,93,"34' 7""",48329.75,1397,71
42,T41,T41,Zach Johnson,90,"34' 7""",45141.583,1305,122
43,T41,T41,Ryan Palmer,86,"34' 7""",47874.25,1385,42
44,T45,T45,Ken Duke,58,"34' 8""",29634.167,855,182
45,T45,T45,Charley Hoffman,91,"34' 8""",43228.917,1247,119
46,T47,T47,Abraham Ancer,51,"34' 9""",23579.083,679,174
47,T47,T47,Kelly Kraft,63,"34' 9""",27169.417,781,50
48,T47,T47,Spencer Levin,104,"34' 9""",50807.083,1462,72
49,T47,T47,Tyrone Van Aswegen,105,"34' 9""",54036.083,1556,114
50,T51,T51,Jon Curran,99,"34' 10""",52263.583,1501,156
51,T51,T51,Emiliano Grillo,93,"34' 10""",45420.25,1303,27
52,T51,T51,Matt Kuchar,100,"34' 10""",47982.833,1378,43
53,T54,T54,Blayne Barber,84,"34' 11""",46210.583,1322,63
54,T54,T54,Greg Owen,85,"34' 11""",42345.75,1213,8
55,T54,T54,Dicky Pride,55,"34' 11""",25430.917,728,179
56,T57,T57,Branden Grace,63,"35' 0""",26239.5,749,61
57,T57,T57,Ben Martin,92,"35' 0""",49791.333,1423,64
58,T57,T57,Brett Stegmaier,87,"35' 0""",46863.583,1340,60
59,T60,T60,Paul Casey,77,"35' 1""",35699.333,1017,2
60,T60,T60,Jason Kokrak,89,"35' 1""",46396.583,1322,26
61,T60,T60,Rob Oppenheim,67,"35' 1""",31376.75,895,144
62,T63,T63,John Huh,86,"35' 2""",49036.333,1393,77
63,T63,T63,Kevin Kisner,97,"35' 2""",45468.75,1293,104
64,T63,T63,Steve Stricker,53,"35' 2""",28130.25,800,158
65,T66,T66,Luke Donald,81,"35' 3""",37079.333,1053,118
66,T66,T66,Will MacKenzie,84,"35' 3""",41607.5,1181,70
67,T66,T66,Wes Roach,59,"35' 3""",27066.333,767,151
68,T66,T66,Justin Thomas,99,"35' 3""",47144.583,1336,94
69,T66,T66,Bubba Watson,72,"35' 3""",32014.417,908,18
70,T71,T71,Daniel Berger,92,"35' 4""",45229.417,1281,46
71,T71,T71,Brooks Koepka,75,"35' 4""",37819.75,1070,59
72,T73,T73,Chesson Hadley,81,"35' 5""",41610.083,1176,101
73,T73,T73,Jim Herman,93,"35' 5""",44182.667,1247,92
74,T73,T73,Kyle Reifers,115,"35' 5""",60912.667,1720,48
75,T73,T73,Robert Streb,87,"35' 5""",41106.917,1160,78
76,T77,T77,Graham DeLaet,70,"35' 6""",36891.333,1040,28
77,T77,T77,D.H. Lee,61,"35' 6""",28859.083,812,180
78,T77,T77,David Lingmerth,84,"35' 6""",38096.75,1073,134
79,T77,T77,Graeme McDowell,63,"35' 6""",28536.75,803,125
80,T77,T77,Charl Schwartzel,73,"35' 6""",35662.833,1004,24
81,T82,T82,Stuart Appleby,71,"35' 7""",42136.167,1184,175
82,T82,T82,Ricky Barnes,97,"35' 7""",50979.917,1433,88
83,T82,T82,Chad Campbell,90,"35' 7""",50465.083,1417,33
84,T82,T82,Francesco Molinari,64,"35' 7""",36446.333,1024,109
85,T82,T82,Geoff Ogilvy,63,"35' 7""",31818.75,895,142
86,T82,T82,Scott Stallings,74,"35' 7""",39301.833,1104,82
87,T82,T82,Brendan Steele,88,"35' 7""",43165.167,1214,25
88,T82,T82,Kevin Streelman,82,"35' 7""",40071.75,1125,17
89,T82,T82,Dawie van der Walt,72,"35' 7""",35638.667,1001,62
90,T91,T91,Shane Lowry,57,"35' 8""",22886.917,642,123
91,T91,T91,Martin Piller,59,"35' 8""",29065.417,814,129
92,T91,T91,Cameron Smith,73,"35' 8""",29336.417,822,165
93,T91,T91,Jordan Spieth,80,"35' 8""",36921.583,1036,145
94,T91,T91,Mark Wilson,66,"35' 8""",35077.167,984,108
95,T91,T91,Gary Woodland,95,"35' 8""",49075.5,1375,23
96,T97,T97,Rickie Fowler,80,"35' 9""",40682.583,1139,15
97,T97,T97,Andres Gonzales,80,"35' 9""",40966.083,1145,81
98,T97,T97,Michael Kim,100,"35' 9""",54340.583,1521,159
99,T97,T97,Nick Taylor,83,"35' 9""",42184.917,1179,86
100,T101,T101,Harris English,97,"35' 10""",46080.917,1285,112
101,T101,T101,Danny Lee,93,"35' 10""",44667.417,1246,137
102,T101,T101,Marc Leishman,89,"35' 10""",41467.583,1158,100
103,T101,T101,William McGirt,98,"35' 10""",56514.333,1578,51
104,T101,T101,Sam Saunders,69,"35' 10""",32557.167,908,128
105,T101,T101,Brandt Snedeker,93,"35' 10""",47260.5,1319,90
106,T101,T101,Chris Stroud,82,"35' 10""",44355.833,1238,67
107,T108,T108,Stewart Cink,61,"35' 11""",31555.833,879,4
108,T108,T108,Adam Hadwin,93,"35' 11""",55782.083,1554,83
109,T108,T108,James Hahn,85,"35' 11""",44248.083,1233,119
110,T108,T108,Martin Laird,82,"35' 11""",44912.75,1250,47
111,T108,T108,Shawn Stefani,91,"35' 11""",49290.5,1373,69
112,T113,T113,Luke Guthrie,57,"36' 0""",28935.833,803,152
113,T113,T113,Patton Kizzire,93,"36' 0""",47636.167,1324,124
114,T113,T113,Bryce Molder,80,"36' 0""",42993.417,1194,176
115,T116,T116,Bill Haas,86,"36' 1""",41355.833,1146,57
116,T116,T116,Freddie Jacobson,86,"36' 1""",45682.917,1265,110
117,T116,T116,Smylie Kaufman,91,"36' 1""",45538.417,1263,74
118,T116,T116,George McNeill,51,"36' 1""",29634.5,822,131
119,T116,T116,Patrick Reed,105,"36' 1""",50282.167,1394,116
120,T121,T121,Mark Hubbard,101,"36' 2""",53409.167,1478,145
121,T121,T121,Johnson Wagner,86,"36' 2""",49187.5,1360,13
122,T121,T121,Willy Wilcox,67,"36' 2""",36769.667,1017,147
123,T124,T124,Robert Allenby,51,"36' 3""",26469.417,731,140
124,T124,T124,Bronson Burgoon,83,"36' 3""",41475.667,1145,75
125,T124,T124,Erik Compton,65,"36' 3""",32348.083,892,183
126,T124,T124,Phil Mickelson,75,"36' 3""",38037.25,1050,84
127,128,128,Scott Piercy,87,"36' 4""",41637.417,1146,52
128,129,129,Zac Blair,99,"36' 5""",52601.75,1445,169
129,T130,T130,Derek Ernst,59,"36' 6""",27945.75,765,79
130,T130,T130,Brian Harman,104,"36' 6""",59096.333,1618,111
131,T130,T130,Camilo Villegas,83,"36' 6""",46208.333,1267,170
132,T133,T133,Scott Brown,88,"36' 7""",45174.917,1236,107
133,T133,T133,Ben Crane,80,"36' 7""",42466.25,1162,143
134,T133,T133,Derek Fathauer,94,"36' 7""",48938.583,1339,172
135,T133,T133,Billy Horschel,73,"36' 7""",36587.083,1001,45
136,T133,T133,Troy Merritt,77,"36' 7""",42356.417,1157,152
137,T133,T133,Harold Varner III,92,"36' 7""",51353.417,1404,75
138,139,139,Peter Malnati,85,"36' 8""",48388.083,1319,171
139,T140,T140,Seung-Yul Noh,85,"36' 9""",45247.583,1230,121
140,T140,T140,Sean O'Hair,89,"36' 9""",55119.083,1499,54
141,T140,T140,Patrick Rodgers,89,"36' 9""",46715.0,1272,16
142,T140,T140,John Senden,88,"36' 9""",51315.25,1396,21
143,T144,T144,Brendon de Jonge,83,"36' 10""",42553.25,1154,93
144,T144,T144,Rhein Gibson,58,"36' 10""",29006.5,787,35
145,T144,T144,Scott Pinckney,87,"36' 10""",46713.167,1268,20
146,T147,T147,Morgan Hoffmann,71,"36' 11""",38658.25,1048,150
147,T147,T147,Jimmy Walker,85,"36' 11""",46265.75,1254,135
148,T149,T149,Chad Collins,73,"37' 2""",42445.0,1142,168
149,T149,T149,Charles Howell III,91,"37' 2""",51777.5,1392,38
150,T149,T149,Steve Marino,72,"37' 2""",36325.5,978,85
151,T149,T149,Cameron Tringale,81,"37' 2""",46498.75,1251,91
152,153,153,Matt Jones,83,"37' 3""",41090.083,1102,135
153,T154,T154,Si Woo Kim,113,"37' 4""",65429.75,1753,112
154,T154,T154,Jhonattan Vegas,97,"37' 4""",53441.667,1430,10
155,156,156,Tony Finau,95,"37' 5""",50979.25,1362,106
156,T157,T157,J.B. Holmes,77,"37' 6""",40127.0,1069,105
157,T157,T157,Anirban Lahiri,72,"37' 6""",32080.25,855,161
158,T157,T157,Vijay Singh,72,"37' 6""",43427.917,1158,163
159,T157,T157,Steve Wheatcroft,85,"37' 6""",46542.417,1242,173
160,161,161,Aaron Baddeley,93,"37' 7""",49545.083,1318,154
161,162,162,Luke List,79,"37' 8""",43723.25,1162,54
162,T163,T163,Fabián Gómez,82,"37' 9""",49052.833,1300,141
163,T163,T163,Whee Kim,82,"37' 9""",43578.667,1154,89
164,T163,T163,Andrew Loupe,75,"37' 9""",44224.25,1171,148
165,T166,T166,Jason Day,76,"37' 11""",36488.333,963,53
166,T166,T166,Hiroshi Iwata,85,"37' 11""",44253.417,1168,181
167,T166,T166,Carlos Ortiz,79,"37' 11""",40619.417,1071,125
168,T169,T169,Sergio Garcia,54,"38' 0""",20960.083,551,6
169,T169,T169,Padraig Harrington,54,"38' 0""",29708.333,782,159
170,T171,T171,Ángel Cabrera,62,"38' 1""",32602.0,857,155
171,T171,T171,Retief Goosen,55,"38' 1""",32578.667,855,163
172,T171,T171,Sung Kang,89,"38' 1""",49618.583,1303,101
173,T171,T171,Justin Rose,65,"38' 1""",33273.5,874,40
174,175,175,J.J. Henry,68,"38' 4""",41248.75,1077,49
175,176,176,Ernie Els,66,"38' 5""",38160.167,994,177
176,T177,T177,Jamie Lovemark,91,"38' 7""",56711.667,1469,99
177,T177,T177,Jeff Overton,69,"38' 7""",40090.917,1038,139
178,T179,T179,Jonas Blixt,79,"38' 8""",46048.833,1190,178
179,T179,T179,Rory Sabbatini,57,"38' 8""",27031.25,699,130
180,181,181,Daniel Summerhays,99,"39' 0""",54956.0,1410,156
181,182,182,Hunter Mahan,61,"39' 7""",34321.5,867,162
182,183,183,Scott Langley,65,"39' 8""",37623.75,948,138
183,184,184,Brendon Todd,66,"40' 0""",38258.0,957,185
184,185,185,Steven Bowditch,71,"41' 1""",40037.5,974,184
