,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Rory McIlroy,69,-.132
1,2,2,Thomas Aiken,70,-.059
2,3,3,Branden Grace,63,-.057
3,4,4,Sergio Garcia,54,-.054
4,5,5,Gary Woodland,95,-.032
5,6,6,Jason Day,76,-.017
6,7,7,David Toms,62,-.016
7,T8,T8,Dustin Johnson,87,E
8,T8,T8,Smylie Kaufman,91,E
9,T8,T8,Francesco Molinari,64,E
10,T8,T8,Geoff Ogilvy,63,E
11,T8,T8,Martin Piller,59,E
12,T13,T13,Tony Finau,95,+.006
13,T13,T13,Jhonattan Vegas,97,+.006
14,T13,T13,Jimmy Walker,85,+.006
15,16,16,Andrew Loupe,75,+.007
16,17,17,Jason Kokrak,89,+.018
17,18,18,Jordan Spieth,80,+.019
18,19,19,Andrew Landry,53,+.021
19,20,20,J.J. Henry,68,+.030
20,21,21,James Hahn,85,+.031
21,T22,T22,Hunter Mahan,61,+.032
22,T22,T22,Bubba Watson,72,+.032
23,T22,T22,Boo Weekley,83,+.032
24,T25,T25,Brian Harman,104,+.034
25,T25,T25,Luke List,79,+.034
26,T27,T27,Scott Brown,88,+.035
27,T27,T27,Billy Horschel,73,+.035
28,29,29,Webb Simpson,70,+.039
29,30,30,Scott Stallings,74,+.041
30,31,31,Phil Mickelson,75,+.044
31,32,32,Rickie Fowler,80,+.047
32,33,33,Ben Crane,80,+.048
33,34,34,Scott Piercy,87,+.049
34,35,35,Seung-Yul Noh,85,+.052
35,36,36,Johnson Wagner,86,+.054
36,37,37,Kevin Chappell,93,+.055
37,38,38,Brooks Koepka,75,+.056
38,39,39,Bill Haas,86,+.060
39,40,40,Lucas Glover,75,+.061
40,T41,T41,Andres Gonzales,80,+.062
41,T41,T41,Ryan Palmer,86,+.062
42,43,43,Vaughn Taylor,72,+.063
43,44,44,Chad Campbell,90,+.065
44,45,45,Stewart Cink,61,+.066
45,46,46,Louis Oosthuizen,63,+.067
46,47,47,Russell Henley,76,+.074
47,48,48,Justin Thomas,99,+.075
48,49,49,Adam Scott,79,+.076
49,T50,T50,Charles Howell III,91,+.077
50,T50,T50,Rory Sabbatini,57,+.077
51,T50,T50,Daniel Summerhays,99,+.077
52,53,53,Harris English,97,+.078
53,T54,T54,Carlos Ortiz,79,+.079
54,T54,T54,Tim Wilkinson,72,+.079
55,T56,T56,Matt Jones,83,+.080
56,T56,T56,Patrick Reed,105,+.080
57,T58,T58,Stuart Appleby,71,+.081
58,T58,T58,Daniel Berger,92,+.081
59,T58,T58,Shawn Stefani,91,+.081
60,61,61,Kevin Na,96,+.082
61,T62,T62,J.B. Holmes,77,+.083
62,T62,T62,Jamie Lovemark,91,+.083
63,64,64,Sung Kang,89,+.086
64,T65,T65,Greg Owen,85,+.088
65,T65,T65,Vijay Singh,72,+.088
66,67,67,Steve Wheatcroft,85,+.089
67,T68,T68,Aaron Baddeley,93,+.092
68,T68,T68,Bryce Molder,80,+.092
69,T68,T68,D.A. Points,55,+.092
70,T68,T68,Willy Wilcox,67,+.092
71,72,72,Jason Gore,78,+.093
72,T73,T73,Ángel Cabrera,62,+.094
73,T73,T73,Scott Pinckney,87,+.094
74,T75,T75,Ken Duke,58,+.095
75,T75,T75,Luke Guthrie,57,+.095
76,T75,T75,Chesson Hadley,81,+.095
77,T78,T78,Keegan Bradley,82,+.096
78,T78,T78,Marc Leishman,89,+.096
79,T80,T80,John Senden,88,+.097
80,T80,T80,Tyrone Van Aswegen,105,+.097
81,82,82,Ernie Els,66,+.098
82,83,83,Scott Langley,65,+.099
83,84,84,Hideki Matsuyama,76,+.101
84,85,85,Chris Kirk,90,+.103
85,86,86,Brandt Snedeker,93,+.104
86,T87,T87,Martin Laird,82,+.105
87,T87,T87,Kyle Reifers,115,+.105
88,89,89,Derek Fathauer,94,+.106
89,90,90,Si Woo Kim,113,+.107
90,91,91,Charl Schwartzel,73,+.108
91,92,92,Brendan Steele,88,+.109
92,T93,T93,Jason Dufner,105,+.111
93,T93,T93,Robert Garrigus,69,+.111
94,T93,T93,John Huh,86,+.111
95,T93,T93,Billy Hurley III,66,+.111
96,T97,T97,Colt Knost,90,+.112
97,T97,T97,Kevin Streelman,82,+.112
98,99,99,Brendon de Jonge,83,+.113
99,100,100,Graham DeLaet,70,+.114
100,101,101,Patrick Rodgers,89,+.115
101,T102,T102,Ricky Barnes,97,+.117
102,T102,T102,Robert Streb,87,+.117
103,104,104,Michael Kim,100,+.119
104,105,105,Justin Rose,65,+.120
105,106,106,Padraig Harrington,54,+.126
106,T107,T107,Ben Martin,92,+.127
107,T107,T107,Brian Stuard,66,+.127
108,109,109,Mark Wilson,66,+.129
109,110,110,Chad Collins,73,+.131
110,T111,T111,Luke Donald,81,+.132
111,T111,T111,Rhein Gibson,58,+.132
112,T111,T111,Charley Hoffman,91,+.132
113,T111,T111,Steve Stricker,53,+.132
114,115,115,Hudson Swafford,104,+.133
115,T116,T116,Will MacKenzie,84,+.134
116,T116,T116,William McGirt,98,+.134
117,118,118,Paul Casey,77,+.136
118,119,119,Spencer Levin,104,+.137
119,120,120,Harold Varner III,92,+.140
