,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Rory McIlroy,69,26.04,25,96
1,2,2,Luke List,79,23.56,41,174
2,3,3,Dustin Johnson,87,22.14,31,140
3,4,4,Adam Scott,79,21.57,22,102
4,5,5,Jason Bohn,67,21.51,20,93
5,6,6,Jamie Lovemark,91,21.29,33,155
6,7,7,Steve Stricker,53,21.25,17,80
7,8,8,Bubba Watson,72,20.95,22,105
8,9,9,Vijay Singh,72,20.8,26,125
9,10,10,Brandt Snedeker,93,20.78,32,154
10,11,11,D.A. Points,55,20.51,16,78
11,12,12,Ryan Palmer,86,20.13,32,159
12,13,13,Phil Mickelson,75,20.0,23,115
13,14,14,Chris Stroud,82,19.86,28,141
14,15,15,J.B. Holmes,77,19.85,27,136
15,16,16,Charles Howell III,91,19.71,41,208
16,17,17,Morgan Hoffmann,71,19.69,25,127
17,18,18,Jordan Spieth,80,19.66,23,117
18,19,19,Seung-Yul Noh,85,19.64,33,168
19,20,20,Sean O'Hair,89,19.54,34,174
20,21,21,Jhonattan Vegas,97,19.43,34,175
21,22,22,Sam Saunders,69,19.35,18,93
22,23,23,Colt Knost,90,19.32,17,88
23,24,24,Marc Leishman,89,19.26,26,135
24,25,25,Robert Streb,87,19.17,23,120
25,26,26,Freddie Jacobson,86,19.15,27,141
26,27,27,Chez Reavie,90,19.13,22,115
27,28,28,Henrik Norlander,71,18.89,17,90
28,29,29,Wes Roach,59,18.82,16,85
29,30,30,Jason Dufner,105,18.66,25,134
30,31,31,Vaughn Taylor,72,18.52,20,108
31,32,32,Hudson Swafford,104,18.5,32,173
32,33,33,Harold Varner III,92,18.45,31,168
33,34,34,Jason Day,76,18.4,23,125
34,35,35,Francesco Molinari,64,18.33,22,120
35,36,36,Padraig Harrington,54,18.31,13,71
36,T37,T37,Hideki Matsuyama,76,18.26,21,115
37,T37,T37,Carlos Ortiz,79,18.26,21,115
38,39,39,Charl Schwartzel,73,18.25,23,126
39,40,40,Bronson Burgoon,83,18.24,27,148
40,41,41,Brooks Koepka,75,18.18,22,121
41,T42,T42,Ricky Barnes,97,18.13,35,193
42,T42,T42,Charley Hoffman,91,18.13,31,171
43,44,44,Tyler Aldridge,83,18.02,31,172
44,45,45,Peter Malnati,85,18.0,27,150
45,46,46,Brian Stuard,66,17.91,12,67
46,47,47,Ken Duke,58,17.78,16,90
47,48,48,Branden Grace,63,17.7,20,113
48,49,49,Michael Thompson,71,17.58,16,91
49,50,50,Robert Garrigus,69,17.46,22,126
50,51,51,Cameron Smith,73,17.17,17,99
51,52,52,Scott Pinckney,87,17.16,23,134
52,53,53,Derek Fathauer,94,17.11,32,187
53,54,54,Mark Wilson,66,17.0,17,100
54,55,55,Kevin Chappell,93,16.89,25,148
55,56,56,Louis Oosthuizen,63,16.87,14,83
56,57,57,Matt Kuchar,100,16.79,22,131
57,58,58,Matt Jones,83,16.78,24,143
58,T59,T59,Jonas Blixt,79,16.67,25,150
59,T59,T59,Harris English,97,16.67,27,162
60,T59,T59,Tom Hoge,81,16.67,25,150
61,T59,T59,Scott Stallings,74,16.67,30,180
62,63,63,Zach Johnson,90,16.5,17,103
63,64,64,Gary Woodland,95,16.31,23,141
64,65,65,Thomas Aiken,70,16.3,15,92
65,T66,T66,Brian Harman,104,16.28,28,172
66,T66,T66,Kevin Na,96,16.28,21,129
67,68,68,Jim Herman,93,16.24,19,117
68,T69,T69,Andrew Loupe,75,16.22,30,185
69,T69,T69,Brett Stegmaier,87,16.22,24,148
70,71,71,Steve Wheatcroft,85,16.11,24,149
71,72,72,Jimmy Walker,85,16.06,31,193
72,73,73,Whee Kim,82,16.0,24,150
73,74,74,Patrick Rodgers,89,15.98,27,169
74,75,75,Brendan Steele,88,15.91,21,132
75,T76,T76,Graham DeLaet,70,15.83,19,120
76,T76,T76,Justin Rose,65,15.83,19,120
77,T78,T78,Andrew Landry,53,15.71,11,70
78,T78,T78,Johnson Wagner,86,15.71,22,140
79,80,80,Keegan Bradley,82,15.56,14,90
