,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Webb Simpson,70,"35' 4""",79,2793.417,+2.00
1,2,2,Lucas Glover,75,"37' 5""",98,3668.75,+6.00
2,3,3,Louis Oosthuizen,63,"37' 8""",83,3126.667,+9.00
3,4,4,Kevin Streelman,82,"38' 0""",111,4216.917,+4.00
4,5,5,Luke List,79,"38' 3""",174,6658.0,-14.00
5,6,6,Alex Cejka,71,"38' 6""",88,3390.833,+7.00
6,7,7,Andrew Landry,53,"38' 8""",70,2708.0,+5.00
7,8,8,Adam Scott,79,"38' 11""",102,3968.083,-2.00
8,9,9,Rickie Fowler,80,"39' 3""",119,4672.833,-5.00
9,10,10,Charley Hoffman,91,"39' 5""",171,6738.8330000000005,+10.00
10,T11,T11,Carlos Ortiz,79,"39' 8""",115,4558.5,+12.00
11,T11,T11,Bubba Watson,72,"39' 8""",105,4164.0,-1.00
12,13,13,Tyler Aldridge,83,"39' 9""",172,6835.5,+5.00
13,14,14,Brandt Snedeker,93,"40' 0""",154,6155.8330000000005,-5.00
14,15,15,Tom Hoge,81,"40' 1""",150,6018.3330000000005,+12.00
15,T16,T16,Ken Duke,58,"40' 3""",90,3619.75,+15.00
16,T16,T16,Brooks Koepka,75,"40' 3""",121,4874.583,+9.00
17,18,18,Derek Fathauer,94,"40' 6""",187,7569.75,+19.00
18,19,19,D.A. Points,55,"40' 7""",78,3163.083,+5.00
19,20,20,Hideki Matsuyama,76,"40' 8""",115,4678.833,+7.00
20,T21,T21,Jason Dufner,105,"40' 10""",134,5466.8330000000005,+1.00
21,T21,T21,Dicky Pride,55,"40' 10""",88,3595.583,+10.00
22,T21,T21,Vaughn Taylor,72,"40' 10""",108,4414.167,+6.00
23,T24,T24,Jason Gore,78,"41' 0""",106,4348.5,+13.00
24,T24,T24,Scott Stallings,74,"41' 0""",180,7373.5830000000005,+15.00
25,26,26,Russell Henley,76,"41' 1""",139,5711.1669999999995,+17.00
26,27,27,Jason Bohn,67,"41' 2""",93,3826.333,+6.00
27,T28,T28,Harris English,97,"41' 3""",162,6680.4169999999995,+4.00
28,T28,T28,Branden Grace,63,"41' 3""",113,4661.917,+6.00
29,T28,T28,John Huh,86,"41' 3""",147,6065.0,+13.00
30,T31,T31,Ricky Barnes,97,"41' 4""",193,7970.1669999999995,+10.00
31,T31,T31,Jason Kokrak,89,"41' 4""",147,6078.25,+14.00
32,T31,T31,Chez Reavie,90,"41' 4""",115,4755.5,+12.00
33,T31,T31,Kyle Stanley,92,"41' 4""",138,5704.5830000000005,+33.00
34,T35,T35,Dustin Johnson,87,"41' 6""",140,5810.3330000000005,+1.00
35,T35,T35,Dawie van der Walt,72,"41' 6""",119,4935.083,+31.00
36,T37,T37,Jerry Kelly,76,"41' 10""",74,3098.667,+2.00
37,T37,T37,Boo Weekley,83,"41' 10""",130,5441.4169999999995,+18.00
38,T39,T39,Derek Ernst,59,"41' 11""",91,3811.667,+9.00
39,T39,T39,Jimmy Walker,85,"41' 11""",193,8094.4169999999995,+1.00
40,41,41,Bronson Burgoon,83,"42' 0""",148,6210.0830000000005,+8.00
41,T42,T42,Roberto Castro,97,"42' 1""",136,5725.1669999999995,+7.00
42,T42,T42,Luke Donald,81,"42' 1""",110,4630.583,+4.00
43,T42,T42,Billy Hurley III,66,"42' 1""",70,2947.333,+9.00
44,T42,T42,Spencer Levin,104,"42' 1""",97,4085.917,+11.00
45,46,46,Erik Compton,65,"42' 3""",100,4222.5,+12.00
46,T47,T47,Abraham Ancer,51,"42' 4""",66,2794.25,+9.00
47,T47,T47,Sergio Garcia,54,"42' 4""",51,2157.5,+12.00
48,T47,T47,Emiliano Grillo,93,"42' 4""",103,4356.083,+15.00
49,T47,T47,Peter Malnati,85,"42' 4""",150,6355.6669999999995,+12.00
50,T47,T47,Gary Woodland,95,"42' 4""",141,5968.1669999999995,+2.00
51,52,52,Greg Owen,85,"42' 5""",143,6065.0830000000005,+24.00
52,T53,T53,Robert Garrigus,69,"42' 6""",126,5358.3330000000005,+7.00
53,T53,T53,Brian Stuard,66,"42' 6""",67,2849.667,+8.00
54,T55,T55,Geoff Ogilvy,63,"42' 7""",102,4342.5,+13.00
55,T55,T55,Jordan Spieth,80,"42' 7""",117,4984.583,-2.00
56,57,57,Wes Roach,59,"42' 8""",85,3627.0,+8.00
57,58,58,Rob Oppenheim,67,"42' 9""",128,5470.0830000000005,+10.00
58,59,59,Jon Curran,99,"42' 10""",117,5011.167,+27.00
59,T60,T60,Jamie Lovemark,91,"42' 11""",155,6647.1669999999995,-8.00
60,T60,T60,Scott Pinckney,87,"42' 11""",134,5749.0,+13.00
61,T62,T62,Shane Lowry,57,"43' 0""",66,2839.083,+10.00
62,T62,T62,Sean O'Hair,89,"43' 0""",174,7480.9169999999995,-4.00
63,T62,T62,Patrick Reed,105,"43' 0""",217,9337.667,+8.00
64,T65,T65,Andrew Loupe,75,"43' 1""",185,7963.4169999999995,+25.00
65,T65,T65,Brendan Steele,88,"43' 1""",132,5686.4169999999995,+12.00
66,T67,T67,Hiroshi Iwata,85,"43' 2""",161,6950.9169999999995,+15.00
67,T67,T67,Charl Schwartzel,73,"43' 2""",126,5443.3330000000005,+8.00
68,T69,T69,Luke Guthrie,57,"43' 4""",105,4548.583,+20.00
69,T69,T69,James Hahn,85,"43' 4""",133,5761.25,+23.00
70,T69,T69,Danny Lee,93,"43' 4""",97,4207.083,+14.00
71,T69,T69,Phil Mickelson,75,"43' 4""",115,4979.167,+2.00
72,73,73,Matt Kuchar,100,"43' 5""",131,5691.1669999999995,-6.00
73,T74,T74,Keegan Bradley,82,"43' 6""",90,3911.667,+16.00
74,T74,T74,Tony Finau,95,"43' 6""",200,8693.167,+13.00
75,76,76,Kevin Chappell,93,"43' 8""",148,6465.9169999999995,+9.00
76,T77,T77,Brett Stegmaier,87,"43' 10""",148,6489.8330000000005,+11.00
77,T77,T77,Chris Stroud,82,"43' 10""",141,6179.25,+14.00
78,79,79,Graeme McDowell,63,"43' 11""",76,3340.667,+15.00
79,T80,T80,Morgan Hoffmann,71,"44' 3""",127,5616.5,+3.00
80,T80,T80,Nick Taylor,83,"44' 3""",154,6813.8330000000005,+21.00
81,T82,T82,Will MacKenzie,84,"44' 4""",122,5410.25,+11.00
82,T82,T82,Ryan Palmer,86,"44' 4""",159,7047.25,+5.00
83,T84,T84,Thomas Aiken,70,"44' 5""",92,4088.167,+14.00
84,T84,T84,David Hearn,95,"44' 5""",140,6218.5,+23.00
85,T84,T84,Steve Marino,72,"44' 5""",131,5819.0830000000005,+17.00
86,T87,T87,Zac Blair,99,"44' 7""",119,5305.5,+24.00
87,T87,T87,Tim Wilkinson,72,"44' 7""",88,3926.833,+9.00
88,T89,T89,Scott Langley,65,"44' 8""",129,5759.5830000000005,+11.00
89,T89,T89,Marc Leishman,89,"44' 8""",135,6033.0830000000005,+2.00
90,T89,T89,Henrik Norlander,71,"44' 8""",90,4016.583,+7.00
91,T89,T89,Kyle Reifers,115,"44' 8""",170,7600.1669999999995,+25.00
92,T93,T93,Ángel Cabrera,62,"44' 10""",115,5156.333,+20.00
93,T93,T93,Andres Gonzales,80,"44' 10""",140,6275.75,+25.00
94,T93,T93,Russell Knox,92,"44' 10""",94,4216.083,+18.00
95,T93,T93,Rory McIlroy,69,"44' 10""",96,4306.833,-8.00
96,T93,T93,Robert Streb,87,"44' 10""",120,5378.0,+3.00
97,T93,T93,Justin Thomas,99,"44' 10""",169,7572.0830000000005,+24.00
98,T93,T93,Michael Thompson,71,"44' 10""",91,4080.833,+17.00
99,T100,T100,Zach Johnson,90,"44' 11""",103,4624.0,+5.00
100,T100,T100,Martin Laird,82,"44' 11""",163,7325.1669999999995,+9.00
101,T100,T100,Ben Martin,92,"44' 11""",144,6471.5,+21.00
102,T100,T100,Patrick Rodgers,89,"44' 11""",169,7590.5830000000005,+12.00
103,T100,T100,John Senden,88,"44' 11""",166,7462.4169999999995,+12.00
104,105,105,Steve Stricker,53,"45' 0""",80,3603.25,+4.00
105,T106,T106,Michael Kim,100,"45' 1""",179,8065.8330000000005,+31.00
106,T106,T106,David Lingmerth,84,"45' 1""",86,3878.0,+8.00
107,108,108,J.B. Holmes,77,"45' 2""",136,6140.1669999999995,+13.00
108,T109,T109,Kevin Na,96,"45' 3""",129,5832.9169999999995,+8.00
