,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Peter Malnati,85,1540,13303160.0,2.4
1,2,2,Tim Wilkinson,72,1573,10533650.0,1.86
2,T3,T3,Jon Curran,99,1577,16636580.0,2.93
3,T3,T3,David Toms,62,1577,10159020.0,1.79
4,T5,T5,Andrew Landry,53,1601,6457080.0,1.12
5,T5,T5,Brendon Todd,66,1601,8472370.0,1.47
6,7,7,Jason Bohn,67,1607,12436870.0,2.15
7,8,8,Cameron Smith,73,1609,8859840.0,1.53
8,9,9,Martin Piller,59,1610,8865630.0,1.53
9,10,10,Stuart Appleby,71,1617,13329100.0,2.29
10,11,11,Colt Knost,90,1618,13051350.0,2.24
11,12,12,Will MacKenzie,84,1622,12726530.0,2.18
12,13,13,Billy Hurley III,66,1623,12154650.0,2.08
13,14,14,Dicky Pride,55,1626,8197440.0,1.4
14,15,15,Rob Oppenheim,67,1631,9569960.0,1.63
15,16,16,Bryce Molder,80,1636,13842390.0,2.35
16,17,17,Abraham Ancer,51,1638,7608410.0,1.29
17,18,18,Jason Dufner,105,1641,17307870.0,2.93
18,19,19,Tyler Aldridge,83,1642,13060630.0,2.21
19,20,20,D.A. Points,55,1646,8412120.0,1.42
20,21,21,Jason Gore,78,1647,11796650.0,1.99
21,22,22,K.J. Choi,73,1648,13938390.0,2.35
22,23,23,Zach Johnson,90,1650,16511290.0,2.78
23,24,24,Ken Duke,58,1651,9804080.0,1.65
24,T25,T25,Brian Stuard,66,1652,12311850.0,2.07
25,T25,T25,Vaughn Taylor,72,1652,14272620.0,2.4
26,27,27,Mark Wilson,66,1653,9283730.0,1.56
27,28,28,Ben Crane,80,1656,12577670.0,2.11
28,29,29,John Senden,88,1658,16474600.0,2.76
29,30,30,Rhein Gibson,58,1661,8971500.0,1.5
30,T31,T31,Derek Fathauer,94,1662,15319500.0,2.56
31,T31,T31,Jim Furyk,52,1662,8556070.0,1.43
