,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Rory McIlroy,69,27.63,21,76
1,2,2,Jimmy Walker,85,23.6,38,161
2,3,3,Andrew Loupe,75,23.45,34,145
3,T4,T4,Rory Sabbatini,57,23.08,15,65
4,T4,T4,Gary Woodland,95,23.08,36,156
5,6,6,Luke List,79,21.77,32,147
6,7,7,Smylie Kaufman,91,21.71,28,129
7,8,8,Brooks Koepka,75,21.6,27,125
8,9,9,Ken Duke,58,21.43,18,84
9,10,10,Geoff Ogilvy,63,21.18,18,85
10,11,11,Dustin Johnson,87,21.14,26,123
11,12,12,Francesco Molinari,64,21.05,12,57
12,13,13,Jason Kokrak,89,20.86,34,163
13,14,14,Seung-Yul Noh,85,20.78,32,154
14,15,15,Boo Weekley,83,20.43,19,93
15,16,16,Ryan Palmer,86,20.16,26,129
16,17,17,Branden Grace,63,20.0,14,70
17,18,18,Martin Piller,59,19.77,17,86
18,19,19,Sergio Garcia,54,19.64,11,56
19,20,20,J.B. Holmes,77,19.44,28,144
20,21,21,Scott Stallings,74,19.39,19,98
21,22,22,Willy Wilcox,67,19.27,21,109
22,23,23,Hideki Matsuyama,76,19.19,19,99
23,24,24,Johnson Wagner,86,19.05,28,147
24,25,25,Brian Harman,104,18.92,28,148
25,26,26,Andrew Landry,53,18.75,9,48
26,27,27,Kevin Chappell,93,18.62,27,145
27,28,28,D.A. Points,55,18.42,14,76
28,29,29,Jamie Lovemark,91,18.34,31,169
29,30,30,Jonas Blixt,79,18.25,23,126
30,31,31,Justin Thomas,99,18.24,29,159
31,32,32,Graham DeLaet,70,18.1,19,105
32,33,33,Tony Finau,95,17.79,29,163
33,34,34,Thomas Aiken,70,17.65,9,51
34,35,35,Lucas Glover,75,17.54,20,114
35,36,36,Jason Day,76,17.5,21,120
36,T37,T37,Vaughn Taylor,72,17.46,22,126
37,T37,T37,David Toms,62,17.46,11,63
38,39,39,Mark Hubbard,101,17.42,23,132
39,40,40,Keegan Bradley,82,17.39,20,115
40,41,41,Martin Laird,82,17.29,23,133
41,42,42,Hunter Mahan,61,17.2,16,93
42,43,43,Rickie Fowler,80,17.19,22,128
43,44,44,Matt Jones,83,16.96,19,112
44,45,45,Bubba Watson,72,16.94,21,124
45,46,46,Andres Gonzales,80,16.92,22,130
46,47,47,Chesson Hadley,81,16.89,25,148
47,48,48,Si Woo Kim,113,16.78,25,149
48,49,49,Billy Horschel,73,16.67,19,114
49,T50,T50,James Hahn,85,16.54,21,127
50,T50,T50,Will MacKenzie,84,16.54,21,127
51,52,52,Marc Leishman,89,16.52,19,115
52,53,53,Rhein Gibson,58,16.48,15,91
53,54,54,Ben Martin,92,16.42,22,134
54,55,55,Jordan Spieth,80,16.35,17,104
55,56,56,Daniel Summerhays,99,16.03,25,156
56,57,57,Carlos Ortiz,79,15.89,24,151
57,58,58,John Senden,88,15.86,23,145
58,59,59,Hudson Swafford,104,15.82,25,158
59,60,60,Wes Roach,59,15.79,12,76
60,61,61,Tom Hoge,81,15.75,20,127
61,62,62,Phil Mickelson,75,15.72,25,159
62,63,63,Jason Dufner,105,15.69,24,153
63,64,64,Kevin Na,96,15.67,21,134
64,65,65,Scott Brown,88,15.65,18,115
65,66,66,Chad Collins,73,15.57,19,122
66,T67,T67,Cameron Tringale,81,15.48,24,155
67,T67,T67,Jhonattan Vegas,97,15.48,24,155
68,T69,T69,Greg Owen,85,15.33,21,137
69,T69,T69,Vijay Singh,72,15.33,21,137
70,T71,T71,Stuart Appleby,71,15.32,17,111
71,T71,T71,Ben Crane,80,15.32,19,124
72,T71,T71,Charl Schwartzel,73,15.32,17,111
73,74,74,Ángel Cabrera,62,15.29,13,85
74,75,75,Erik Compton,65,15.24,16,105
75,76,76,Brendan Steele,88,15.22,14,92
76,77,77,Adam Scott,79,15.13,18,119
77,78,78,Chris Stroud,82,14.96,19,127
78,79,79,Sean O'Hair,89,14.86,22,148
79,T80,T80,Russell Henley,76,14.81,16,108
80,T80,T80,Michael Kim,100,14.81,20,135
81,82,82,Graeme McDowell,63,14.75,9,61
82,83,83,Luke Guthrie,57,14.74,14,95
83,84,84,Webb Simpson,70,14.73,19,129
84,85,85,Sung Kang,89,14.72,24,163
85,86,86,Kyle Reifers,115,14.69,21,143
86,T87,T87,Bill Haas,86,14.66,17,116
87,T87,T87,Kevin Streelman,82,14.66,17,116
88,T89,T89,Jim Herman,93,14.62,19,130
89,T89,T89,Patrick Rodgers,89,14.62,19,130
90,91,91,Scott Piercy,87,14.56,15,103
91,92,92,Daniel Berger,92,14.52,18,124
92,93,93,Morgan Hoffmann,71,14.42,15,104
93,94,94,Fabián Gómez,82,14.41,17,118
94,95,95,Chris Kirk,90,14.38,21,146
95,T96,T96,Brendon de Jonge,83,14.29,19,133
96,T96,T96,Shawn Stefani,91,14.29,23,161
97,98,98,Brandt Snedeker,93,14.18,19,134
98,99,99,Charles Howell III,91,14.1,22,156
99,100,100,Shane Lowry,57,14.06,9,64
100,101,101,Rob Oppenheim,67,13.98,13,93
101,102,102,Derek Fathauer,94,13.97,25,179
102,T103,T103,Robert Garrigus,69,13.89,15,108
103,T103,T103,Jason Gore,78,13.89,15,108
104,105,105,Steve Wheatcroft,85,13.82,17,123
105,T106,T106,Chad Campbell,90,13.77,19,138
106,T106,T106,Patrick Reed,105,13.77,19,138
107,108,108,Matt Kuchar,100,13.71,17,124
108,109,109,Cameron Smith,73,13.64,12,88
109,110,110,William McGirt,98,13.38,19,142
110,111,111,Louis Oosthuizen,63,13.33,10,75
111,112,112,Scott Pinckney,87,13.28,17,128
112,T113,T113,Stewart Cink,61,13.21,14,106
113,T113,T113,Charley Hoffman,91,13.21,14,106
114,T115,T115,Bryce Molder,80,13.16,10,76
115,T115,T115,Steve Stricker,53,13.16,10,76
116,T117,T117,John Huh,86,13.13,13,99
117,T117,T117,Sam Saunders,69,13.13,13,99
118,119,119,Kelly Kraft,63,13.04,9,69
119,120,120,Mark Wilson,66,12.94,11,85
120,121,121,Tyrone Van Aswegen,105,12.9,24,186
121,122,122,Russell Knox,92,12.77,12,94
122,123,123,Padraig Harrington,54,12.63,12,95
123,124,124,Harold Varner III,92,12.59,18,143
124,125,125,Emiliano Grillo,93,12.5,15,120
125,126,126,Camilo Villegas,83,12.42,19,153
126,T127,T127,Anirban Lahiri,72,12.39,14,113
127,T127,T127,Nick Taylor,83,12.39,14,113
128,129,129,Aaron Baddeley,93,12.31,16,130
129,130,130,Michael Thompson,71,12.26,13,106
130,131,131,Alex Cejka,71,12.2,10,82
131,132,132,Kyle Stanley,92,12.17,14,115
132,133,133,Derek Ernst,59,12.12,8,66
133,134,134,Jason Bohn,67,12.05,10,83
134,T135,T135,Roberto Castro,97,12.0,15,125
135,T135,T135,Steve Marino,72,12.0,12,100
136,137,137,Steven Bowditch,71,11.92,18,151
137,138,138,Brian Stuard,66,11.82,13,110
138,T139,T139,Zach Johnson,90,11.81,15,127
139,T139,T139,Patton Kizzire,93,11.81,15,127
140,T141,T141,Tyler Aldridge,83,11.76,14,119
141,T141,T141,Freddie Jacobson,86,11.76,16,136
142,T143,T143,Ricky Barnes,97,11.69,18,154
143,T143,T143,Harris English,97,11.69,18,154
144,145,145,Chez Reavie,90,11.67,14,120
145,146,146,Bronson Burgoon,83,11.61,13,112
146,147,147,Jon Curran,99,11.49,17,148
147,148,148,Paul Casey,77,11.36,10,88
148,149,149,Adam Hadwin,93,11.33,17,150
149,150,150,Colt Knost,90,11.22,11,98
150,151,151,Danny Lee,93,11.03,15,136
151,152,152,J.J. Henry,68,11.0,11,100
152,T153,T153,K.J. Choi,73,10.71,9,84
153,T153,T153,Ernie Els,66,10.71,12,112
154,T153,T153,Brett Stegmaier,87,10.71,15,140
155,156,156,Robert Allenby,51,10.64,10,94
156,157,157,Brendon Todd,66,10.62,12,113
157,158,158,D.H. Lee,61,10.53,8,76
158,159,159,Spencer Levin,104,10.46,16,153
159,160,160,Abraham Ancer,51,10.45,7,67
160,161,161,Billy Hurley III,66,10.32,13,126
161,162,162,Jeff Overton,69,10.26,8,78
162,163,163,Robert Streb,87,10.16,13,128
163,164,164,Dicky Pride,55,10.0,5,50
164,165,165,Tim Wilkinson,72,9.9,10,101
165,166,166,Scott Langley,65,9.86,7,71
166,167,167,Justin Rose,65,9.78,9,92
167,168,168,Troy Merritt,77,9.6,12,125
168,169,169,Henrik Norlander,71,9.2,8,87
169,170,170,Jerry Kelly,76,9.18,9,98
170,T171,T171,David Hearn,95,8.85,10,113
171,T171,T171,Dawie van der Walt,72,8.85,10,113
172,T173,T173,Luke Donald,81,8.82,12,136
173,T173,T173,Retief Goosen,55,8.82,9,102
174,175,175,Zac Blair,99,8.77,10,114
175,176,176,Kevin Kisner,97,8.76,12,137
176,177,177,Hiroshi Iwata,85,8.7,10,115
177,178,178,Blayne Barber,84,8.53,11,129
178,179,179,Ryan Moore,86,8.51,8,94
179,180,180,Whee Kim,82,8.42,8,95
180,181,181,Peter Malnati,85,7.97,11,138
181,182,182,Rod Pampling,54,7.81,5,64
182,183,183,George McNeill,51,7.79,6,77
183,184,184,Jim Furyk,52,6.56,4,61
184,185,185,David Lingmerth,84,5.21,5,96
