,GIR_Percentage_-_125-150_yards_RANK THIS WEEK,GIR_Percentage_-_125-150_yards_RANK LAST WEEK,GIR_Percentage_-_125-150_yards_PLAYER NAME,GIR_Percentage_-_125-150_yards_ROUNDS,GIR_Percentage_-_125-150_yards_%,GIR_Percentage_-_125-150_yards_GREENS HIT,GIR_Percentage_-_125-150_yards_TOTAL HOLES,GIR_Percentage_-_125-150_yards_RELATIVE TO PAR
0,1,1,Webb Simpson,70,83.44,136,163,-0.26
1,2,2,Paul Casey,77,82.72,158,191,-0.2
2,3,3,Graeme McDowell,63,80.8,101,125,-0.23
3,4,4,William McGirt,98,79.3,226,285,-0.22
4,5,5,Justin Rose,65,78.95,105,133,-0.15
5,6,6,Martin Laird,82,78.77,167,212,-0.17
6,7,7,Billy Horschel,73,78.57,132,168,-0.26
7,8,8,Chez Reavie,90,77.92,180,231,-0.2
8,9,9,Bill Haas,86,77.6,142,183,-0.13
9,10,10,Kevin Na,96,77.51,162,209,-0.31
10,11,11,Chad Campbell,90,77.49,179,231,-0.21
11,12,12,Billy Hurley III,66,77.36,123,159,-0.36
12,13,13,Vaughn Taylor,72,77.29,160,207,-0.2
13,14,14,Alex Cejka,71,77.06,131,170,-0.18
14,15,15,David Toms,62,76.76,109,142,-0.22
15,16,16,Russell Henley,76,76.71,168,219,-0.25
16,17,17,J.J. Henry,68,76.56,160,209,-0.18
17,18,18,Jim Furyk,52,76.35,113,148,-0.21
18,19,19,Jason Bohn,67,76.12,153,201,-0.2
19,20,20,Greg Owen,85,76.03,184,242,-0.13
20,21,21,Kyle Stanley,92,75.86,198,261,-0.18
21,22,22,Adam Scott,79,75.77,147,194,-0.29
22,23,23,Johnson Wagner,86,75.76,200,264,-0.25
23,24,24,Blayne Barber,84,75.59,192,254,-0.22
24,25,25,Emiliano Grillo,93,75.56,170,225,-0.25
25,26,26,Thomas Aiken,70,75.35,107,142,-0.13
26,27,27,Freddie Jacobson,86,75.34,168,223,-0.2
27,28,28,David Hearn,95,75.3,186,247,-0.23
28,T29,T29,Kyle Reifers,115,75.18,212,282,-0.23
29,T29,T29,Jhonattan Vegas,97,75.18,206,274,-0.21
