,GIR_Percentage_-_75-100_yards_RANK THIS WEEK,GIR_Percentage_-_75-100_yards_RANK LAST WEEK,GIR_Percentage_-_75-100_yards_PLAYER NAME,GIR_Percentage_-_75-100_yards_ROUNDS,GIR_Percentage_-_75-100_yards_%,GIR_Percentage_-_75-100_yards_GREENS HIT,GIR_Percentage_-_75-100_yards_TOTAL HOLES,GIR_Percentage_-_75-100_yards_RELATIVE TO PAR
0,1,1,Rob Oppenheim,67,97.87,46,47,-0.41
1,2,2,Stewart Cink,61,94.59,35,37,-0.43
2,3,3,Scott Piercy,87,91.67,44,48,-0.48
3,4,4,Hideki Matsuyama,76,90.91,40,44,-0.38
4,5,5,Robert Allenby,51,89.29,25,28,-0.24
5,6,6,Colt Knost,90,88.89,80,90,-0.31
6,7,7,J.J. Henry,68,88.24,45,51,-0.31
7,8,8,Graeme McDowell,63,87.88,29,33,-0.21
8,9,9,Charles Howell III,91,87.14,61,70,-0.43
9,T10,T10,Fabián Gómez,82,87.04,47,54,-0.21
10,T10,T10,Morgan Hoffmann,71,87.04,47,54,-0.34
11,T12,T12,Whee Kim,82,86.67,52,60,-0.29
12,T12,T12,Robert Streb,87,86.67,52,60,-0.31
13,T12,T12,Kevin Streelman,82,86.67,65,75,-0.22
14,15,15,Brendan Steele,88,86.57,58,67,-0.31
15,16,16,Dicky Pride,55,86.36,57,66,-0.3
16,T17,T17,Chad Campbell,90,86.27,44,51,-0.14
17,T17,T17,Roberto Castro,97,86.27,88,102,-0.4
18,19,19,Bubba Watson,72,86.21,50,58,-0.24
19,20,20,Adam Scott,79,86.11,31,36,-0.29
20,T21,T21,Blayne Barber,84,85.92,61,71,-0.36
21,T21,T21,Russell Knox,92,85.92,61,71,-0.25
22,23,23,David Toms,62,85.25,52,61,-0.33
23,T24,T24,Matt Kuchar,100,85.19,69,81,-0.45
24,T24,T24,Troy Merritt,77,85.19,69,81,-0.39
25,26,26,Brett Stegmaier,87,84.81,67,79,-0.28
26,27,27,Abraham Ancer,51,84.78,39,46,-0.36
27,28,28,Hunter Mahan,61,84.62,55,65,-0.38
28,29,29,Andrew Landry,53,84.38,27,32,-0.44
29,T30,T30,Luke Donald,81,84.21,48,57,-0.31
30,T30,T30,Henrik Norlander,71,84.21,32,38,-0.38
31,32,32,Lucas Glover,75,84.13,53,63,-0.26
32,33,33,Chris Stroud,82,84.06,58,69,-0.36
33,34,34,Jerry Kelly,76,83.93,47,56,-0.15
34,35,35,Jamie Lovemark,91,83.72,72,86,-0.28
35,36,36,Danny Lee,93,83.67,41,49,-0.41
36,37,37,David Hearn,95,83.54,66,79,-0.27
37,T38,T38,K.J. Choi,73,83.33,60,72,-0.28
38,T38,T38,Jason Dufner,105,83.33,55,66,-0.29
39,T38,T38,Sergio Garcia,54,83.33,20,24,-0.3
40,T38,T38,Kevin Kisner,97,83.33,60,72,-0.43
41,T38,T38,Kevin Na,96,83.33,40,48,-0.33
42,T38,T38,Webb Simpson,70,83.33,55,66,-0.29
43,T38,T38,Brandt Snedeker,93,83.33,65,78,-0.29
44,45,45,Zach Johnson,90,83.13,69,83,-0.49
45,46,46,Emiliano Grillo,93,83.05,49,59,-0.37
46,47,47,Steve Wheatcroft,85,82.86,58,70,-0.31
47,48,48,Brian Stuard,66,82.61,38,46,-0.37
48,49,49,Will MacKenzie,84,82.5,66,80,-0.38
49,T50,T50,Tyler Aldridge,83,82.35,56,68,-0.3
50,T50,T50,Derek Fathauer,94,82.35,56,68,-0.41
51,T50,T50,Boo Weekley,83,82.35,56,68,-0.46
52,53,53,Mark Wilson,66,82.22,37,45,-0.27
53,54,54,Steve Stricker,53,82.14,46,56,-0.39
54,55,55,Hudson Swafford,104,82.02,73,89,-0.44
55,56,56,Daniel Summerhays,99,81.97,50,61,-0.5
56,T57,T57,Daniel Berger,92,81.82,54,66,-0.24
57,T57,T57,Tim Wilkinson,72,81.82,45,55,-0.38
58,T57,T57,Gary Woodland,95,81.82,54,66,-0.31
59,60,60,Jon Curran,99,81.72,76,93,-0.41
60,61,61,Phil Mickelson,75,81.67,49,60,-0.39
61,T62,T62,Rickie Fowler,80,81.48,44,54,-0.34
62,T62,T62,Scott Langley,65,81.48,44,54,-0.18
63,64,64,Rod Pampling,54,81.4,35,43,-0.23
64,T65,T65,Chad Collins,73,81.36,48,59,-0.23
65,T65,T65,Freddie Jacobson,86,81.36,48,59,-0.42
66,67,67,Ben Crane,80,81.33,61,75,-0.33
67,68,68,Brian Harman,104,81.31,87,107,-0.36
68,T69,T69,Jim Herman,93,81.25,65,80,-0.34
69,T69,T69,Francesco Molinari,64,81.25,52,64,-0.35
70,T69,T69,John Senden,88,81.25,65,80,-0.37
71,72,72,Spencer Levin,104,81.16,56,69,-0.29
72,73,73,Alex Cejka,71,81.13,43,53,-0.37
73,T74,T74,Kyle Reifers,115,81.03,94,116,-0.31
74,T74,T74,Charl Schwartzel,73,81.03,47,58,-0.28
75,76,76,Brendon Todd,66,80.95,51,63,-0.37
76,77,77,Adam Hadwin,93,80.77,63,78,-0.33
77,78,78,Greg Owen,85,80.65,50,62,-0.24
78,79,79,Seung-Yul Noh,85,80.33,49,61,-0.45
79,T80,T80,Martin Laird,82,80.26,61,76,-0.31
80,T80,T80,Cameron Tringale,81,80.26,61,76,-0.28
81,T82,T82,Ricky Barnes,97,80.0,60,75,-0.37
82,T82,T82,Chris Kirk,90,80.0,68,85,-0.26
83,T82,T82,Jimmy Walker,85,80.0,52,65,-0.42
84,T85,T85,Ryan Moore,86,79.71,55,69,-0.4
85,T85,T85,Tyrone Van Aswegen,105,79.71,55,69,-0.29
86,87,87,Patton Kizzire,93,79.59,39,49,-0.44
87,T88,T88,Bryce Molder,80,79.49,62,78,-0.37
88,T88,T88,Wes Roach,59,79.49,31,39,-0.39
89,90,90,Dawie van der Walt,72,79.45,58,73,-0.21
90,91,91,D.A. Points,55,79.41,27,34,-0.3
91,T92,T92,Bill Haas,86,79.25,42,53,-0.29
92,T92,T92,Kelly Kraft,63,79.25,42,53,-0.26
93,T92,T92,Scott Pinckney,87,79.25,42,53,-0.36
94,95,95,Steve Marino,72,79.03,49,62,-0.24
95,96,96,Anirban Lahiri,72,78.85,41,52,-0.34
96,T97,T97,Louis Oosthuizen,63,78.79,26,33,-0.31
97,T97,T97,Johnson Wagner,86,78.79,52,66,-0.35
98,T99,T99,Jason Day,76,78.69,48,61,-0.31
99,T99,T99,Cameron Smith,73,78.69,48,61,-0.29
100,101,101,Scott Brown,88,78.67,59,75,-0.39
