,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,Robert Garrigus,69,"27' 0""",16109.75,597,-0.16
1,2,2,Adam Scott,79,"28' 0""",18470.75,660,-0.19
2,3,3,Dustin Johnson,87,"29' 2""",19887.583,681,-0.2
3,4,4,Tom Hoge,81,"29' 6""",20750.167,704,-0.07
4,5,5,Jason Dufner,105,"29' 10""",28441.667,954,-0.08
5,6,6,Vaughn Taylor,72,"29' 11""",23347.5,780,-0.04
6,7,7,Justin Thomas,99,"30' 1""",24358.417,810,-0.1
7,T8,T8,Daniel Berger,92,"30' 2""",25041.0,831,-0.13
8,T8,T8,Ryan Moore,86,"30' 2""",24696.0,818,-0.12
9,T8,T8,Michael Thompson,71,"30' 2""",19297.583,640,-0.1
10,T8,T8,Tim Wilkinson,72,"30' 2""",17859.583,592,-0.11
11,12,12,Jim Furyk,52,"30' 3""",18104.75,598,-0.09
12,T13,T13,David Hearn,95,"30' 5""",31609.0,1040,-0.11
13,T13,T13,Henrik Norlander,71,"30' 5""",19435.75,639,-0.1
14,15,15,Tyrone Van Aswegen,105,"30' 6""",30255.583,993,-0.07
15,T16,T16,Chesson Hadley,81,"30' 7""",23172.333,757,-0.1
16,T16,T16,Kelly Kraft,63,"30' 7""",15679.167,512,-0.14
17,T16,T16,Hudson Swafford,104,"30' 7""",33595.083,1098,-0.09
18,19,19,Keegan Bradley,82,"30' 9""",24232.167,787,-0.08
19,T20,T20,Jason Gore,78,"30' 10""",22064.583,715,-0.03
20,T20,T20,Russell Knox,92,"30' 10""",25458.833,826,-0.1
21,T20,T20,Hideki Matsuyama,76,"30' 10""",21660.167,702,-0.13
22,T20,T20,Rory McIlroy,69,"30' 10""",17320.0,561,-0.15
23,T24,T24,J.B. Holmes,77,"30' 11""",18537.917,599,-0.12
24,T24,T24,Brendan Steele,88,"30' 11""",25684.833,830,-0.08
25,26,26,K.J. Choi,73,"31' 0""",25878.75,835,-0.1
26,27,27,Webb Simpson,70,"31' 1""",21785.333,700,-0.1
27,T28,T28,Brooks Koepka,75,"31' 2""",20303.417,651,-0.12
28,T28,T28,Phil Mickelson,75,"31' 2""",19507.75,626,-0.16
29,T28,T28,Rod Pampling,54,"31' 2""",14176.083,455,-0.04
30,T28,T28,Kyle Stanley,92,"31' 2""",31029.333,996,-0.08
31,T32,T32,Derek Ernst,59,"31' 3""",16081.917,514,-0.06
32,T32,T32,Jerry Kelly,76,"31' 3""",24354.75,780,-0.06
33,T32,T32,Kevin Kisner,97,"31' 3""",27557.75,882,-0.14
34,T32,T32,Robert Streb,87,"31' 3""",23528.75,752,-0.06
35,T36,T36,Billy Hurley III,66,"31' 4""",22354.083,713,-0.07
36,T36,T36,Chez Reavie,90,"31' 4""",30607.5,977,-0.1
