,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Cameron Smith,73,"12' 3""",724.5830000000001,59,-0.27
1,2,2,Stewart Cink,61,"12' 6""",698.8330000000001,56,-0.16
2,T3,T3,Zach Johnson,90,"12' 8""",1269.0,100,-0.29
3,T3,T3,Hideki Matsuyama,76,"12' 8""",745.5,59,-0.32
4,5,5,Sergio Garcia,54,"13' 2""",342.167,26,-0.19
5,T6,T6,Chad Collins,73,"13' 7""",939.5830000000001,69,+0.01
6,T6,T6,Jimmy Walker,85,"13' 7""",912.75,67,-0.13
7,8,8,Jon Curran,99,"13' 11""",1818.6670000000001,131,-0.22
8,9,9,Troy Merritt,77,"14' 0""",1052.667,75,-0.31
9,T10,T10,Adam Scott,79,"14' 1""",704.6669999999999,50,-0.08
10,T10,T10,Tim Wilkinson,72,"14' 1""",959.0,68,-0.21
11,12,12,Kevin Kisner,97,"14' 2""",1089.333,77,-0.18
12,13,13,Roberto Castro,97,"14' 4""",1651.0,115,-0.26
13,T14,T14,Rickie Fowler,80,"14' 5""",977.6669999999999,68,-0.24
14,T14,T14,Emiliano Grillo,93,"14' 5""",1238.0,86,-0.09
15,16,16,Steve Stricker,53,"14' 6""",1042.5,72,-0.24
16,T17,T17,Matt Kuchar,100,"14' 9""",1579.5,107,-0.23
17,T17,T17,Patrick Reed,105,"14' 9""",1530.25,104,-0.30
18,T19,T19,Jason Bohn,67,"14' 11""",1249.75,84,-0.24
19,T19,T19,Jim Furyk,52,"14' 11""",551.5830000000001,37,-0.14
20,T19,T19,Billy Horschel,73,"14' 11""",701.75,47,-0.09
21,T19,T19,Greg Owen,85,"14' 11""",1045.167,70,-0.10
22,T23,T23,Derek Fathauer,94,"15' 0""",1047.583,70,-0.21
23,T23,T23,Bryce Molder,80,"15' 0""",1516.75,101,-0.17
24,T23,T23,John Senden,88,"15' 0""",1443.8329999999999,96,-0.24
25,T23,T23,Vaughn Taylor,72,"15' 0""",1392.75,93,-0.09
26,T27,T27,Dustin Johnson,87,"15' 1""",1296.833,86,-0.16
27,T27,T27,Rory McIlroy,69,"15' 1""",784.0,52,-0.12
28,T27,T27,Charl Schwartzel,73,"15' 1""",905.6669999999999,60,-0.17
29,T30,T30,Jim Herman,93,"15' 2""",1228.667,81,-0.20
30,T30,T30,Kevin Na,96,"15' 2""",865.6669999999999,57,-0.12
31,T30,T30,Seung-Yul Noh,85,"15' 2""",972.0830000000001,64,-0.22
32,T33,T33,Ken Duke,58,"15' 3""",902.1669999999999,59,-0.10
33,T33,T33,Will MacKenzie,84,"15' 3""",1232.25,81,-0.23
34,T35,T35,Ernie Els,66,"15' 4""",1025.917,67,-0.15
35,T35,T35,Colt Knost,90,"15' 4""",1531.6670000000001,100,-0.21
36,T35,T35,Jeff Overton,69,"15' 4""",950.6669999999999,62,-0.05
37,38,38,Scott Stallings,74,"15' 5""",710.8330000000001,46,-0.02
38,T39,T39,Rob Oppenheim,67,"15' 6""",851.1669999999999,55,-0.07
39,T39,T39,Brandt Snedeker,93,"15' 6""",1271.583,82,-0.16
40,T41,T41,Stuart Appleby,71,"15' 8""",1329.25,85,-0.26
41,T41,T41,Jason Day,76,"15' 8""",1141.583,73,-0.23
42,T41,T41,Chez Reavie,90,"15' 8""",1205.75,77,-0.16
43,T44,T44,Jonas Blixt,79,"15' 9""",833.6669999999999,53,-0.17
44,T44,T44,Henrik Norlander,71,"15' 9""",754.1669999999999,48,-0.15
45,T44,T44,Geoff Ogilvy,63,"15' 9""",928.4169999999999,59,-0.14
46,T44,T44,Louis Oosthuizen,63,"15' 9""",708.4169999999999,45,-0.04
47,T44,T44,David Toms,62,"15' 9""",1261.083,80,-0.25
48,49,49,Cameron Tringale,81,"15' 11""",1335.4170000000001,84,-0.18
49,T50,T50,Brendon de Jonge,83,"16' 0""",830.4169999999999,52,-0.19
50,T50,T50,Lucas Glover,75,"16' 0""",1133.75,71,-0.13
51,T50,T50,Retief Goosen,55,"16' 0""",897.9169999999999,56,-0.11
52,T50,T50,Martin Laird,82,"16' 0""",1198.833,75,-0.11
53,T50,T50,Kyle Reifers,115,"16' 0""",2027.1670000000001,127,-0.06
54,T50,T50,Brendon Todd,66,"16' 0""",1165.333,73,-0.16
55,T56,T56,Blayne Barber,84,"16' 1""",1428.8329999999999,89,-0.15
56,T56,T56,Tom Hoge,81,"16' 1""",1012.4169999999999,63,-0.11
57,T56,T56,Ryan Moore,86,"16' 1""",1286.333,80,-0.19
58,T59,T59,Kevin Streelman,82,"16' 2""",1343.0829999999999,83,-0.17
59,T59,T59,Hudson Swafford,104,"16' 2""",1531.9170000000001,95,-0.24
60,T61,T61,K.J. Choi,73,"16' 3""",1283.25,79,-0.18
61,T61,T61,Si Woo Kim,113,"16' 3""",1899.1670000000001,117,-0.19
62,T61,T61,Brooks Koepka,75,"16' 3""",1170.667,72,-0.15
63,T61,T61,Tyrone Van Aswegen,105,"16' 3""",1593.0,98,-0.06
64,T65,T65,Erik Compton,65,"16' 4""",931.5830000000001,57,+0.02
65,T65,T65,Jason Dufner,105,"16' 4""",1305.917,80,-0.16
66,T65,T65,George McNeill,51,"16' 4""",636.0830000000001,39,-0.08
67,T65,T65,Robert Streb,87,"16' 4""",1129.083,69,-0.04
68,69,69,Francesco Molinari,64,"16' 5""",1213.25,74,-0.01
69,T70,T70,Chad Campbell,90,"16' 6""",1152.167,70,-0.16
70,T70,T70,Luke Guthrie,57,"16' 6""",774.1669999999999,47,-0.26
71,T70,T70,Jerry Kelly,76,"16' 6""",1301.667,79,-0.10
72,T70,T70,Whee Kim,82,"16' 6""",1070.75,65,-0.12
73,T70,T70,Danny Lee,93,"16' 6""",1172.083,71,-0.14
74,T70,T70,Peter Malnati,85,"16' 6""",2198.833,133,-0.15
75,T76,T76,Padraig Harrington,54,"16' 8""",767.5830000000001,46,-0.20
76,T76,T76,J.B. Holmes,77,"16' 8""",1482.25,89,-0.10
77,T76,T76,Phil Mickelson,75,"16' 8""",900.9169999999999,54,-0.19
78,T76,T76,Dicky Pride,55,"16' 8""",1047.5,63,-0.13
79,T80,T80,Harris English,97,"16' 9""",1238.0,74,-0.08
80,T80,T80,Brian Harman,104,"16' 9""",1925.0829999999999,115,-0.19
81,T80,T80,Jamie Lovemark,91,"16' 9""",1812.5,108,-0.17
82,T80,T80,Jordan Spieth,80,"16' 9""",1090.917,65,-0.18
83,T84,T84,Chris Kirk,90,"16' 10""",1550.9170000000001,92,-0.16
