,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Andrew Landry,53,158.0,3344757.0,588
1,2,2,Dustin Johnson,87,158.6,6314737.0,1106
2,3,3,Peter Malnati,85,158.7,7534826.0,1319
3,4,4,Martin Piller,59,159.6,4675589.0,814
4,5,5,Tyler Aldridge,83,160.0,6911669.0,1200
5,T6,T6,Abraham Ancer,51,160.2,3916713.0,679
6,T6,T6,Kelly Kraft,63,160.2,4503711.0,781
7,8,8,Tim Wilkinson,72,160.4,5158124.0,893
8,9,9,Steven Bowditch,71,160.6,5631661.0,974
9,10,10,Cameron Smith,73,160.8,4759190.0,822
10,11,11,Tom Hoge,81,160.9,6504637.0,1123
11,T12,T12,Jason Gore,78,161.0,6113420.0,1055
12,T12,T12,Wes Roach,59,161.0,4444733.0,767
13,14,14,Michael Thompson,71,161.1,5493630.0,947
14,T15,T15,Shane Lowry,57,161.3,3727407.0,642
15,T15,T15,Rod Pampling,54,161.3,3844283.0,662
16,T17,T17,Rhein Gibson,58,161.4,4572224.0,787
17,T17,T17,Dicky Pride,55,161.4,4228799.0,728
18,19,19,Vaughn Taylor,72,161.6,6963019.0,1197
19,20,20,D.H. Lee,61,161.7,4726422.0,812
20,T21,T21,Russell Henley,76,162.0,7191810.0,1233
21,T21,T21,Will MacKenzie,84,162.0,6888424.0,1181
22,T23,T23,Ken Duke,58,162.1,4990691.0,855
23,T23,T23,Brendon Todd,66,162.1,5585254.0,957
24,T25,T25,Stuart Appleby,71,162.3,6917124.0,1184
25,T25,T25,Jason Dufner,105,162.3,8254366.0,1413
26,T25,T25,Andres Gonzales,80,162.3,6688959.0,1145
27,28,28,Dawie van der Walt,72,162.4,5851229.0,1001
28,T29,T29,Morgan Hoffmann,71,162.5,6130818.0,1048
29,T29,T29,Steve Marino,72,162.5,5721913.0,978
30,T29,T29,Ryan Palmer,86,162.5,8101838.0,1385
31,T32,T32,Chesson Hadley,81,162.6,6884422.0,1176
32,T32,T32,J.B. Holmes,77,162.6,6257495.0,1069
33,T32,T32,Andrew Loupe,75,162.6,6855185.0,1171
34,T35,T35,Seung-Yul Noh,85,162.7,7203197.0,1230
35,T35,T35,David Toms,62,162.7,5663978.0,967
36,37,37,Hunter Mahan,61,162.8,5082764.0,867
37,T38,T38,Brian Harman,104,162.9,9489760.0,1618
38,T38,T38,Michael Kim,100,162.9,8922168.0,1521
39,T38,T38,Bryce Molder,80,162.9,7000617.0,1194
40,T38,T38,Geoff Ogilvy,63,162.9,5250232.0,895
41,42,42,Kevin Streelman,82,163.0,6602741.0,1125
42,T43,T43,Erik Compton,65,163.1,5235961.0,892
43,T43,T43,Luke Guthrie,57,163.1,4715660.0,803
44,T43,T43,Charles Howell III,91,163.1,8175586.0,1392
45,46,46,Scott Brown,88,163.2,7261827.0,1236
46,T47,T47,Stewart Cink,61,163.3,5166788.0,879
47,T47,T47,Nick Taylor,83,163.3,6935505.0,1180
48,T47,T47,Camilo Villegas,83,163.3,7448145.0,1267
49,T50,T50,Ricky Barnes,97,163.4,8428766.0,1433
50,T50,T50,Alex Cejka,71,163.4,5371275.0,913
51,T50,T50,David Hearn,95,163.4,8616164.0,1465
52,T50,T50,Jerry Kelly,76,163.4,6310762.0,1073
53,T50,T50,Shawn Stefani,91,163.4,8078794.0,1373
54,55,55,Ernie Els,66,163.5,5850003.0,994
55,56,56,Blayne Barber,84,163.6,7787091.0,1322
56,T57,T57,Robert Allenby,51,163.7,4308334.0,731
57,T57,T57,Derek Fathauer,94,163.7,7889327.0,1339
58,T59,T59,Billy Hurley III,66,163.9,6201391.0,1051
59,T59,T59,Hudson Swafford,104,163.9,9553548.0,1619
60,61,61,Russell Knox,92,164.0,6873626.0,1164
61,T62,T62,Branden Grace,63,164.1,4424246.0,749
62,T62,T62,Kyle Stanley,92,164.1,8234236.0,1394
63,T62,T62,Brett Stegmaier,87,164.1,7917805.0,1340
64,T62,T62,Robert Streb,87,164.1,6852675.0,1160
65,66,66,Smylie Kaufman,91,164.2,7468042.0,1263
66,T67,T67,J.J. Henry,68,164.3,6369378.0,1077
