,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Bubba Watson,72,62.3,271,435
1,2,2,Rory McIlroy,69,58.58,198,338
2,3,3,Luke List,79,58.44,308,527
3,4,4,Lucas Glover,75,58.18,217,373
4,5,5,Patrick Rodgers,89,58.17,292,502
5,6,6,John Senden,88,58.13,279,480
6,7,7,Jhonattan Vegas,97,57.88,327,565
7,8,8,Charles Howell III,91,57.64,347,602
8,9,9,Charl Schwartzel,73,57.48,242,421
9,10,10,Rhein Gibson,58,57.38,206,359
10,11,11,Kevin Streelman,82,57.35,234,408
11,12,12,Webb Simpson,70,57.03,211,370
12,13,13,Justin Rose,65,56.99,208,365
13,14,14,Scott Pinckney,87,56.95,250,439
14,15,15,Gary Woodland,95,56.73,312,550
15,16,16,Graham DeLaet,70,56.68,208,367
16,17,17,Scott Piercy,87,56.58,271,479
17,18,18,Jason Day,76,56.46,271,480
18,19,19,Sergio Garcia,54,56.41,154,273
19,20,20,Billy Horschel,73,56.36,217,385
20,21,21,Jason Kokrak,89,56.29,291,517
21,22,22,Greg Owen,85,56.28,260,462
22,23,23,Branden Grace,63,56.0,210,375
23,24,24,Rickie Fowler,80,55.93,250,447
24,25,25,Jamie Lovemark,91,55.54,301,542
25,26,26,J.J. Henry,68,55.17,208,377
26,27,27,Chez Reavie,90,55.12,210,381
27,T28,T28,Jason Dufner,105,55.01,291,529
28,T28,T28,Martin Laird,82,55.01,269,489
29,30,30,Adam Scott,79,54.97,260,473
30,31,31,Brooks Koepka,75,54.79,223,407
31,32,32,Russell Henley,76,54.73,214,391
32,33,33,Thomas Aiken,70,54.72,139,254
33,34,34,Sean O'Hair,89,54.69,280,512
34,35,35,Robert Garrigus,69,54.65,229,419
35,36,36,Boo Weekley,83,54.57,209,383
36,37,37,Hunter Mahan,61,54.4,198,364
37,38,38,Smylie Kaufman,91,54.3,316,582
38,39,39,Bronson Burgoon,83,54.14,255,471
39,40,40,Johnson Wagner,86,54.06,253,468
40,41,41,William McGirt,98,53.99,257,476
41,42,42,D.A. Points,55,53.98,156,289
42,43,43,Keegan Bradley,82,53.94,219,406
43,44,44,Kevin Chappell,93,53.92,275,510
44,45,45,Brandt Snedeker,93,53.88,278,516
45,46,46,Hideki Matsuyama,76,53.87,209,388
46,47,47,Shane Lowry,57,53.82,155,288
47,T48,T48,Daniel Berger,92,53.72,289,538
48,T48,T48,Tony Finau,95,53.72,339,631
49,50,50,Jordan Spieth,80,53.71,239,445
50,51,51,Dustin Johnson,87,53.55,264,493
51,52,52,Brendan Steele,88,53.53,250,467
52,53,53,Kelly Kraft,63,53.52,175,327
53,54,54,James Hahn,85,53.42,250,468
54,55,55,Stewart Cink,61,53.39,189,354
55,56,56,Paul Casey,77,53.28,195,366
56,57,57,Daniel Summerhays,99,53.24,304,571
57,58,58,Scott Langley,65,53.23,165,310
58,59,59,Rory Sabbatini,57,53.17,151,284
59,60,60,Ryan Palmer,86,53.07,268,505
60,61,61,Brendon de Jonge,83,53.03,245,462
61,62,62,Andrew Landry,53,52.97,125,236
62,63,63,David Hearn,95,52.88,239,452
63,64,64,Carlos Ortiz,79,52.83,261,494
64,65,65,Brian Harman,104,52.82,281,532
65,66,66,Jim Herman,93,52.8,236,447
66,67,67,Jimmy Walker,85,52.77,314,595
67,68,68,Hudson Swafford,104,52.68,295,560
68,T69,T69,Morgan Hoffmann,71,52.66,208,395
69,T69,T69,Steve Marino,72,52.66,208,395
70,71,71,Alex Cejka,71,52.65,169,321
71,72,72,Andres Gonzales,80,52.53,260,495
72,73,73,Chad Campbell,90,52.46,235,448
73,74,74,Charley Hoffman,91,52.43,291,555
74,75,75,Dawie van der Walt,72,52.37,221,422
75,76,76,Geoff Ogilvy,63,52.35,167,319
76,77,77,Freddie Jacobson,86,52.24,257,492
77,78,78,Ricky Barnes,97,52.19,310,594
78,79,79,Seung-Yul Noh,85,52.17,300,575
79,80,80,Roberto Castro,97,52.05,216,415
80,81,81,Rob Oppenheim,67,52.03,205,394
81,T82,T82,Scott Brown,88,52.02,232,446
82,T82,T82,Justin Thomas,99,52.02,322,619
83,84,84,Phil Mickelson,75,51.87,236,455
84,85,85,Harold Varner III,92,51.82,271,523
85,86,86,Robert Streb,87,51.8,259,500
86,87,87,Marc Leishman,89,51.79,246,475
87,88,88,Andrew Loupe,75,51.75,295,570
88,89,89,Martin Piller,59,51.68,169,327
89,90,90,Kyle Reifers,115,51.67,278,538
90,91,91,Ángel Cabrera,62,51.65,188,364
91,T92,T92,Jason Bohn,67,51.64,157,304
92,T92,T92,Whee Kim,82,51.64,205,397
93,94,94,Luke Donald,81,51.53,252,489
94,95,95,Shawn Stefani,91,51.49,260,505
95,96,96,Chris Stroud,82,51.25,225,439
96,97,97,Bill Haas,86,51.16,221,432
97,98,98,Kyle Stanley,92,51.14,225,440
98,99,99,Kevin Na,96,51.11,230,450
99,100,100,Will MacKenzie,84,51.03,223,437
100,101,101,Henrik Norlander,71,51.02,175,343
101,102,102,Sung Kang,89,50.71,250,493
102,103,103,Spencer Levin,104,50.67,228,450
103,T104,T104,Derek Ernst,59,50.63,161,318
104,T104,T104,Derek Fathauer,94,50.63,319,630
105,106,106,John Huh,86,50.53,190,376
106,107,107,Louis Oosthuizen,63,50.5,151,299
107,108,108,Harris English,97,50.49,308,610
108,109,109,Anirban Lahiri,72,50.47,213,422
109,110,110,Vijay Singh,72,50.46,219,434
110,111,111,Matt Kuchar,100,50.43,232,460
111,112,112,J.B. Holmes,77,50.4,253,502
112,113,113,Scott Stallings,74,50.36,212,421
113,114,114,Francesco Molinari,64,50.31,163,324
114,115,115,Russell Knox,92,50.26,197,392
115,116,116,Chris Kirk,90,50.22,227,452
116,117,117,Ben Crane,80,50.13,196,391
117,118,118,Michael Kim,100,50.09,278,555
118,119,119,Sam Saunders,69,50.0,182,364
119,120,120,Tyrone Van Aswegen,105,49.93,335,671
120,121,121,Brett Stegmaier,87,49.89,231,463
121,122,122,Steve Wheatcroft,85,49.55,222,448
122,123,123,Blayne Barber,84,49.52,208,420
123,124,124,Chesson Hadley,81,49.37,236,478
124,125,125,Nick Taylor,83,49.36,233,472
125,126,126,Abraham Ancer,51,49.14,114,232
126,127,127,Luke Guthrie,57,49.12,168,342
127,128,128,Chad Collins,73,49.08,213,434
128,129,129,Jason Gore,78,49.07,184,375
129,130,130,Cameron Smith,73,48.98,192,392
130,131,131,Cameron Tringale,81,48.97,213,435
131,132,132,Patton Kizzire,93,48.92,272,556
132,133,133,Patrick Reed,105,48.75,311,638
133,134,134,Ben Martin,92,48.71,227,466
134,135,135,Michael Thompson,71,48.27,181,375
135,136,136,Jonas Blixt,79,48.1,215,447
136,137,137,Ken Duke,58,47.96,129,269
137,138,138,Mark Wilson,66,47.95,140,292
138,139,139,Ryan Moore,86,47.88,181,378
139,140,140,Peter Malnati,85,47.87,225,470
140,141,141,Emiliano Grillo,93,47.85,200,418
141,142,142,Tyler Aldridge,83,47.73,221,463
142,143,143,Ernie Els,66,47.7,207,434
143,144,144,Wes Roach,59,47.67,143,300
144,145,145,Jerry Kelly,76,47.54,145,305
145,146,146,Padraig Harrington,54,47.47,141,297
146,T147,T147,D.H. Lee,61,47.44,148,312
147,T147,T147,Camilo Villegas,83,47.44,250,527
148,149,149,Troy Merritt,77,47.39,200,422
149,150,150,Retief Goosen,55,47.31,158,334
150,151,151,George McNeill,51,47.29,131,277
151,152,152,Mark Hubbard,101,47.27,225,476
152,153,153,Robert Allenby,51,47.19,151,320
153,154,154,Si Woo Kim,113,47.17,267,566
154,155,155,Adam Hadwin,93,47.15,223,473
155,156,156,Bryce Molder,80,47.06,192,408
156,157,157,Jeff Overton,69,47.03,174,370
157,158,158,Fabián Gómez,82,46.96,201,428
158,159,159,Tom Hoge,81,46.95,223,475
159,160,160,David Toms,62,46.93,130,277
160,161,161,David Lingmerth,84,46.92,183,390
161,162,162,Willy Wilcox,67,46.74,172,368
162,163,163,Stuart Appleby,71,46.7,170,364
163,164,164,Colt Knost,90,46.56,149,320
164,165,165,Zac Blair,99,46.25,185,400
165,166,166,Danny Lee,93,46.14,209,453
166,T167,T167,Matt Jones,83,46.11,219,475
167,T167,T167,Vaughn Taylor,72,46.11,178,386
168,169,169,Jon Curran,99,46.04,227,493
169,T170,T170,Aaron Baddeley,93,45.77,254,555
170,T170,T170,Billy Hurley III,66,45.77,146,319
171,172,172,K.J. Choi,73,45.64,157,344
172,173,173,Rod Pampling,54,45.63,115,252
173,174,174,Dicky Pride,55,45.45,115,253
174,175,175,Kevin Kisner,97,44.71,207,463
175,176,176,Steve Stricker,53,44.65,121,271
176,177,177,Jim Furyk,52,44.44,100,225
177,178,178,Tim Wilkinson,72,44.41,159,358
178,179,179,Hiroshi Iwata,85,44.4,214,482
179,180,180,Erik Compton,65,44.36,181,408
180,181,181,Graeme McDowell,63,43.75,119,272
181,182,182,Brian Stuard,66,43.45,116,267
182,183,183,Steven Bowditch,71,43.39,246,567
183,184,184,Zach Johnson,90,43.1,181,420
184,185,185,Brendon Todd,66,37.94,140,369
