,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,T1,T1,Dustin Johnson,87,156.8,4843277.0,858
1,T1,T1,Bubba Watson,72,156.8,4020159.0,712
2,3,3,J.B. Holmes,77,157.4,4703344.0,830
3,4,4,Andrew Loupe,75,159.6,5138020.0,894
4,5,5,Tony Finau,95,162.2,6141687.0,1052
5,6,6,Brooks Koepka,75,163.3,4898020.0,833
6,7,7,Rory McIlroy,69,163.4,3918058.0,666
7,8,8,Patrick Rodgers,89,164.3,5760934.0,974
8,9,9,Luke List,79,164.6,5272404.0,890
9,10,10,Robert Garrigus,69,164.8,4407204.0,743
10,11,11,Ryan Palmer,86,165.5,6429085.0,1079
11,12,12,Jason Day,76,165.6,4447288.0,746
12,13,13,Smylie Kaufman,91,166.3,5853426.0,978
13,T14,T14,Jason Kokrak,89,166.7,6108925.0,1018
14,T14,T14,Jamie Lovemark,91,166.7,6746607.0,1124
15,T14,T14,Justin Thomas,99,166.7,6138242.0,1023
16,17,17,Sean O'Hair,89,167.0,6942435.0,1155
17,18,18,Rhein Gibson,58,167.3,3632592.0,603
18,19,19,Hudson Swafford,104,167.7,7523322.0,1246
19,20,20,Andrew Landry,53,168.0,2763369.0,457
20,T21,T21,Scott Pinckney,87,168.2,5963427.0,985
21,T21,T21,Adam Scott,79,168.2,4697979.0,776
22,23,23,Jimmy Walker,85,168.3,5889813.0,972
23,24,24,Gary Woodland,95,168.8,6434230.0,1059
24,T25,T25,Derek Ernst,59,169.2,3611616.0,593
25,T25,T25,Rickie Fowler,80,169.2,5410217.0,888
26,T25,T25,Carlos Ortiz,79,169.2,4940563.0,811
27,28,28,Greg Owen,85,169.3,5722526.0,939
28,29,29,Scott Piercy,87,169.5,5417115.0,888
29,T30,T30,Stewart Cink,61,169.7,4092847.0,670
30,T30,T30,Charles Howell III,91,169.7,6537252.0,1070
31,32,32,Jhonattan Vegas,97,170.0,6803498.0,1112
32,33,33,Harold Varner III,92,170.5,6703439.0,1092
33,34,34,Steve Marino,72,170.6,4661521.0,759
34,35,35,Russell Henley,76,170.7,5812124.0,946
35,36,36,Si Woo Kim,113,170.9,8328930.0,1354
36,37,37,Dawie van der Walt,72,171.2,4763671.0,773
37,38,38,Shane Lowry,57,171.3,3083646.0,500
38,39,39,Martin Laird,82,171.4,5868199.0,951
39,40,40,Steven Bowditch,71,171.5,4518221.0,732
40,T41,T41,Keegan Bradley,82,171.6,5343441.0,865
41,T41,T41,Jason Dufner,105,171.6,6746231.0,1092
42,T41,T41,Sergio Garcia,54,171.6,2632054.0,426
43,T41,T41,Morgan Hoffmann,71,171.6,4985481.0,807
44,T41,T41,Justin Rose,65,171.6,4206266.0,681
45,46,46,Brett Stegmaier,87,171.7,6402887.0,1036
46,T47,T47,Nick Taylor,83,171.8,5628436.0,910
47,T47,T47,Boo Weekley,83,171.8,6042887.0,977
48,T49,T49,Charley Hoffman,91,171.9,5979196.0,966
49,T49,T49,Hunter Mahan,61,171.9,4158768.0,672
50,T51,T51,Patrick Reed,105,172.0,6694095.0,1081
51,T51,T51,Scott Stallings,74,172.0,5282211.0,853
52,T53,T53,Chesson Hadley,81,172.1,5593227.0,903
53,T53,T53,Brendan Steele,88,172.1,5823168.0,940
54,55,55,Michael Thompson,71,172.2,4526115.0,730
55,T56,T56,Wes Roach,59,172.3,3665395.0,591
56,T56,T56,Jordan Spieth,80,172.3,4975220.0,802
57,58,58,Andres Gonzales,80,172.4,5438101.0,876
58,59,59,Graham DeLaet,70,172.9,4967592.0,798
59,60,60,Kelly Kraft,63,173.0,3793356.0,609
60,T61,T61,Bronson Burgoon,83,173.1,5509734.0,884
61,T61,T61,Ángel Cabrera,62,173.1,4126109.0,662
62,T61,T61,Lucas Glover,75,173.1,5789122.0,929
63,T64,T64,Seung-Yul Noh,85,173.2,5798987.0,930
64,T64,T64,Brandt Snedeker,93,173.2,6414473.0,1029
65,66,66,Rory Sabbatini,57,173.4,3346693.0,536
66,67,67,Ernie Els,66,173.7,4815170.0,770
67,T68,T68,Harris English,97,173.8,6163147.0,985
68,T68,T68,Charl Schwartzel,73,173.8,4823470.0,771
