,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Stewart Cink,61,40.91,36,88,-32,32 Under
1,2,2,Michael Thompson,71,35.29,30,85,-29,29 Under
2,3,3,Justin Thomas,99,32.52,53,163,-51,51 Under
3,4,4,Dustin Johnson,87,32.12,53,165,-56,56 Under
4,5,5,Robert Garrigus,69,31.71,39,123,-37,37 Under
5,6,6,Hudson Swafford,104,31.28,61,195,-62,62 Under
6,7,7,Cameron Smith,73,31.15,19,61,-18,18 Under
7,8,8,Thomas Aiken,70,31.03,27,87,-26,26 Under
8,9,9,Robert Streb,87,30.91,34,110,-33,33 Under
9,10,10,Harold Varner III,92,30.77,56,182,-51,51 Under
10,11,11,Tim Wilkinson,72,30.61,15,49,-17,17 Under
11,12,12,Morgan Hoffmann,71,30.51,36,118,-41,41 Under
12,13,13,Charles Howell III,91,29.75,47,158,-44,44 Under
13,14,14,Adam Scott,79,29.6,37,125,-39,39 Under
14,15,15,Jimmy Walker,85,29.34,49,167,-53,53 Under
15,16,16,Tony Finau,95,29.25,62,212,-59,59 Under
16,17,17,Robert Allenby,51,28.33,17,60,-15,15 Under
17,18,18,Brett Stegmaier,87,27.86,39,140,-42,42 Under
18,19,19,Jason Kokrak,89,27.84,49,176,-47,47 Under
19,20,20,Billy Horschel,73,27.83,32,115,-31,31 Under
20,21,21,Gary Woodland,95,27.81,52,187,-56,56 Under
21,22,22,Bubba Watson,72,27.46,39,142,-39,39 Under
22,T23,T23,Ken Duke,58,27.14,19,70,-24,24 Under
23,T23,T23,Martin Laird,82,27.14,38,140,-38,38 Under
24,25,25,Rory McIlroy,69,27.08,39,144,-38,38 Under
25,26,26,Emiliano Grillo,93,27.04,43,159,-40,40 Under
26,27,27,D.H. Lee,61,26.98,17,63,-19,19 Under
27,28,28,Jerry Kelly,76,26.97,24,89,-25,25 Under
