,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
0,1,1,Adam Scott,79,"41' 9""",7428.75,178,-45
1,2,2,Rory McIlroy,69,"43' 2""",7214.5,167,-46
2,3,3,Robert Garrigus,69,"43' 10""",6052.8330000000005,138,-41
3,4,4,Billy Hurley III,66,"44' 1""",8328.0,189,-24
4,5,5,Justin Thomas,99,"44' 5""",9195.75,207,-35
5,6,6,Jason Gore,78,"44' 7""",6639.0,149,-17
6,7,7,Ryan Moore,86,"44' 9""",9210.667,206,-13
7,8,8,Brian Stuard,66,"44' 11""",8841.667,197,-14
8,T9,T9,Hideki Matsuyama,76,"45' 3""",9098.083,201,-36
9,T9,T9,Phil Mickelson,75,"45' 3""",8463.167,187,-59
10,11,11,Vaughn Taylor,72,"45' 6""",8055.4169999999995,177,-9
11,12,12,Jason Kokrak,89,"45' 7""",9803.917,215,-38
12,13,13,Jim Furyk,52,"45' 10""",6464.5,141,-8
13,14,14,Dustin Johnson,87,"46' 0""",7226.3330000000005,157,-31
14,T15,T15,J.B. Holmes,77,"46' 1""",7840.25,170,-30
15,T15,T15,Louis Oosthuizen,63,"46' 1""",6128.0,133,-34
16,17,17,Russell Knox,92,"46' 4""",9498.583,205,-40
17,18,18,Jerry Kelly,76,"46' 5""",8348.083,180,-30
18,T19,T19,Branden Grace,63,"46' 6""",5396.75,116,-9
19,T19,T19,Robert Streb,87,"46' 6""",8234.583,177,-24
20,21,21,K.J. Choi,73,"46' 7""",9221.833,198,-25
21,T22,T22,Tom Hoge,81,"46' 8""",7377.9169999999995,158,-19
22,T22,T22,Wes Roach,59,"46' 8""",4528.833,97,-22
23,T24,T24,Paul Casey,77,"46' 9""",9357.917,200,-46
24,T24,T24,Jordan Spieth,80,"46' 9""",8689.417,186,-46
25,26,26,Harold Varner III,92,"46' 11""",10649.417,227,-63
26,T27,T27,Jason Dufner,105,"47' 0""",10012.333,213,-25
27,T27,T27,Webb Simpson,70,"47' 0""",8593.75,183,-18
28,T29,T29,Daniel Berger,92,"47' 1""",10499.0,223,-33
29,T29,T29,Willy Wilcox,67,"47' 1""",7819.6669999999995,166,-25
30,T31,T31,Graeme McDowell,63,"47' 2""",7493.0830000000005,159,-25
31,T31,T31,Brendan Steele,88,"47' 2""",8913.583,189,-41
32,T33,T33,Emiliano Grillo,93,"47' 3""",11147.833,236,-54
33,T33,T33,Michael Thompson,71,"47' 3""",6706.5,142,-22
34,35,35,Andres Gonzales,80,"47' 4""",7764.0,164,-31
35,36,36,Hudson Swafford,104,"47' 5""",11527.0,243,-45
36,T37,T37,Charley Hoffman,91,"47' 6""",9733.75,205,-49
37,T37,T37,Patrick Rodgers,89,"47' 6""",9827.0,207,-41
38,39,39,Brett Stegmaier,87,"47' 8""",9965.417,209,-36
39,T40,T40,Kevin Chappell,93,"47' 10""",11435.0,239,-37
40,T40,T40,Patton Kizzire,93,"47' 10""",9327.5,195,-40
41,T42,T42,Henrik Norlander,71,"47' 11""",6946.6669999999995,145,-37
42,T42,T42,Charl Schwartzel,73,"47' 11""",9098.917,190,-57
43,T44,T44,Kevin Kisner,97,"48' 0""",10183.25,212,-41
44,T44,T44,Marc Leishman,89,"48' 0""",9837.5,205,-38
45,T44,T44,Patrick Reed,105,"48' 0""",11804.0,246,-66
46,T47,T47,Chris Kirk,90,"48' 1""",10186.083,212,-32
47,T47,T47,Luke List,79,"48' 1""",7794.75,162,-34
48,T47,T47,William McGirt,98,"48' 1""",13406.667,279,-59
49,T47,T47,Tyrone Van Aswegen,105,"48' 1""",10825.5,225,-19
50,T51,T51,Jason Day,76,"48' 2""",7897.1669999999995,164,-55
