,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Andrew Landry,53,"36' 1""",48,1733.5,+1.00
1,2,2,Charley Hoffman,91,"36' 6""",106,3866.25,+14.00
2,3,3,David Toms,62,"36' 10""",63,2319.833,-1.00
3,4,4,Rory McIlroy,69,"37' 2""",76,2826.5,-10.00
4,5,5,Jason Gore,78,"37' 4""",108,4028.333,+10.00
5,6,6,Smylie Kaufman,91,"37' 7""",129,4851.5,E
6,7,7,Dustin Johnson,87,"37' 10""",123,4655.0,E
7,8,8,Dicky Pride,55,"37' 11""",50,1893.9170000000001,+8.00
8,9,9,Ryan Palmer,86,"38' 0""",129,4899.083,+8.00
9,10,10,David Hearn,95,"38' 2""",113,4315.25,+23.00
10,11,11,Branden Grace,63,"38' 4""",70,2683.0,-4.00
11,12,12,Kevin Na,96,"38' 10""",134,5207.583,+11.00
12,13,13,Patrick Rodgers,89,"39' 5""",130,5124.917,+15.00
13,14,14,Scott Piercy,87,"39' 6""",103,4070.167,+5.00
14,T15,T15,Webb Simpson,70,"39' 7""",129,5106.5,+5.00
15,T15,T15,Boo Weekley,83,"39' 7""",93,3680.917,+3.00
16,17,17,Colt Knost,90,"39' 8""",98,3885.083,+11.00
17,18,18,D.H. Lee,61,"39' 9""",76,3021.75,+21.00
18,19,19,Nick Taylor,83,"39' 10""",113,4496.75,+19.00
19,T20,T20,Andrew Loupe,75,"39' 11""",145,5791.5830000000005,+1.00
20,T20,T20,Francesco Molinari,64,"39' 11""",57,2274.833,E
21,T20,T20,Jeff Overton,69,"39' 11""",78,3112.917,+13.00
22,23,23,Jason Kokrak,89,"40' 1""",163,6532.4169999999995,+3.00
23,24,24,Rhein Gibson,58,"40' 2""",91,3656.167,+12.00
24,T25,T25,D.A. Points,55,"40' 3""",76,3058.083,+7.00
25,T25,T25,Brandt Snedeker,93,"40' 3""",134,5393.8330000000005,+14.00
26,T27,T27,Bryce Molder,80,"40' 4""",76,3063.0,+7.00
27,T27,T27,Hudson Swafford,104,"40' 4""",158,6374.0830000000005,+21.00
28,T29,T29,Russell Henley,76,"40' 5""",108,4361.417,+8.00
29,T29,T29,Jerry Kelly,76,"40' 5""",98,3962.833,+14.00
30,31,31,Jim Herman,93,"40' 6""",130,5263.25,+20.00
