,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Dustin Johnson,87,1502,8270420.0,1.53
1,2,2,J.B. Holmes,77,1519,10119800.0,1.85
2,3,3,Smylie Kaufman,91,1539,11026190.0,1.99
3,4,4,Steven Bowditch,71,1544,13006790.0,2.34
4,5,5,Andrew Loupe,75,1547,12310230.0,2.21
5,6,6,Sean O'Hair,89,1550,13390870.0,2.4
6,T7,T7,Chesson Hadley,81,1553,12079240.0,2.16
7,T7,T7,Louis Oosthuizen,63,1553,6151260.0,1.1
8,T7,T7,Nick Taylor,83,1553,10736670.0,1.92
9,T10,T10,Tom Hoge,81,1554,11191420.0,2.0
10,T10,T10,Andrew Landry,53,1554,4642340.0,0.83
11,T10,T10,Ryan Palmer,86,1554,12197470.0,2.18
12,13,13,Tyler Aldridge,83,1556,11204340.0,2.0
13,14,14,Phil Mickelson,75,1557,7397850.0,1.32
14,15,15,Robert Garrigus,69,1560,8200950.0,1.46
15,16,16,Brooks Koepka,75,1563,9394230.0,1.67
16,17,17,Blayne Barber,84,1567,12413640.0,2.2
17,18,18,Wes Roach,59,1573,7646660.0,1.35
18,T19,T19,Andres Gonzales,80,1574,10880390.0,1.92
19,T19,T19,Luke List,79,1574,10538890.0,1.86
20,21,21,Kelly Kraft,63,1577,6812430.0,1.2
21,22,22,Erik Compton,65,1579,9437290.0,1.66
22,23,23,Ricky Barnes,97,1580,12628380.0,2.22
23,24,24,Francesco Molinari,64,1581,9563630.0,1.68
24,T25,T25,Steve Marino,72,1582,9623040.0,1.69
25,T25,T25,Sam Saunders,69,1582,9397940.0,1.65
26,27,27,Keegan Bradley,82,1583,10141140.0,1.78
27,28,28,Alex Cejka,71,1584,6784570.0,1.19
28,29,29,Matt Jones,83,1585,11070870.0,1.94
29,T30,T30,Luke Guthrie,57,1588,7376180.0,1.29
30,T30,T30,Seung-Yul Noh,85,1588,11890570.0,2.08
31,T32,T32,Charley Hoffman,91,1589,11611410.0,2.03
32,T32,T32,Morgan Hoffmann,71,1589,10412260.0,1.82
33,T32,T32,Jhonattan Vegas,97,1589,11784450.0,2.06
34,35,35,Rory Sabbatini,57,1591,7963330.0,1.39
35,36,36,Russell Knox,92,1593,9805640.0,1.71
36,37,37,Bronson Burgoon,83,1594,11016460.0,1.92
37,T38,T38,Martin Laird,82,1595,11255970.0,1.96
38,T38,T38,Jamie Lovemark,91,1595,13209460.0,2.3
39,T38,T38,Bubba Watson,72,1595,7351810.0,1.28
40,T41,T41,Si Woo Kim,113,1596,15279910.0,2.66
41,T41,T41,Peter Malnati,85,1596,13096770.0,2.28
42,T43,T43,Rickie Fowler,80,1597,7302240.0,1.27
43,T43,T43,Scott Pinckney,87,1597,12881510.0,2.24
