,GIR_Percentage_-__100_yards_RANK THIS WEEK,GIR_Percentage_-__100_yards_RANK LAST WEEK,GIR_Percentage_-__100_yards_PLAYER NAME,GIR_Percentage_-__100_yards_ROUNDS,GIR_Percentage_-__100_yards_%,GIR_Percentage_-__100_yards_GREENS HIT,GIR_Percentage_-__100_yards_TOTAL HOLES,GIR_Percentage_-__100_yards_RELATIVE TO PAR
0,1,1,J.J. Henry,68,92.61,163,176,-0.44
1,2,2,Sergio Garcia,54,91.6,109,119,-0.54
2,3,3,Stewart Cink,61,91.49,129,141,-0.59
3,4,4,Louis Oosthuizen,63,91.27,115,126,-0.54
4,5,5,Rob Oppenheim,67,91.11,123,135,-0.41
5,6,6,Robert Allenby,51,90.63,87,96,-0.46
6,7,7,Colt Knost,90,90.5,162,179,-0.5
7,8,8,David Toms,62,89.76,114,127,-0.43
8,9,9,Tyler Aldridge,83,89.74,175,195,-0.5
9,10,10,Emiliano Grillo,93,89.54,214,239,-0.57
10,11,11,Rickie Fowler,80,89.3,217,243,-0.61
11,T12,T12,Roberto Castro,97,89.12,254,285,-0.56
12,T12,T12,Brendan Steele,88,89.12,213,239,-0.53
13,14,14,Keegan Bradley,82,89.05,179,201,-0.53
14,15,15,Jimmy Walker,85,88.93,225,253,-0.67
15,16,16,Charles Howell III,91,88.89,240,270,-0.6
16,17,17,Tim Wilkinson,72,88.8,111,125,-0.52
17,18,18,Troy Merritt,77,88.79,190,214,-0.55
18,19,19,Hideki Matsuyama,76,88.78,174,196,-0.57
19,20,20,Hudson Swafford,104,88.67,266,300,-0.58
20,21,21,Henrik Norlander,71,88.61,140,158,-0.53
21,T22,T22,Chad Campbell,90,88.58,194,219,-0.54
22,T22,T22,Lucas Glover,75,88.58,194,219,-0.53
23,24,24,Seung-Yul Noh,85,88.56,178,201,-0.63
24,25,25,Matt Jones,83,88.54,170,192,-0.49
25,26,26,Brandt Snedeker,93,88.48,215,243,-0.53
26,27,27,Matt Kuchar,100,88.46,230,260,-0.6
27,28,28,Jason Dufner,105,88.37,190,215,-0.53
28,29,29,Webb Simpson,70,88.36,167,189,-0.49
29,30,30,Adam Scott,79,88.33,159,180,-0.63
30,31,31,Gary Woodland,95,88.24,240,272,-0.6
31,32,32,Billy Horschel,73,88.17,149,169,-0.57
32,33,33,Daniel Summerhays,99,88.16,216,245,-0.61
33,34,34,Bubba Watson,72,88.14,208,236,-0.53
34,35,35,Whee Kim,82,88.07,192,218,-0.46
35,36,36,Bill Haas,86,88.02,169,192,-0.49
36,T37,T37,John Senden,88,87.95,219,249,-0.48
37,T37,T37,Kevin Streelman,82,87.95,197,224,-0.44
38,T39,T39,Jerry Kelly,76,87.93,153,174,-0.48
39,T39,T39,Dicky Pride,55,87.93,102,116,-0.4
40,41,41,Brendon de Jonge,83,87.91,160,182,-0.52
41,42,42,Fabián Gómez,82,87.89,196,223,-0.53
42,43,43,Charl Schwartzel,73,87.88,174,198,-0.53
43,44,44,Brett Stegmaier,87,87.85,217,247,-0.51
44,45,45,Anirban Lahiri,72,87.58,134,153,-0.52
45,T46,T46,Blayne Barber,84,87.56,183,209,-0.59
46,T46,T46,Cameron Tringale,81,87.56,183,209,-0.57
47,T48,T48,Hunter Mahan,61,87.5,161,184,-0.52
48,T48,T48,Robert Streb,87,87.5,175,200,-0.51
49,T48,T48,Mark Wilson,66,87.5,112,128,-0.46
50,51,51,Adam Hadwin,93,87.41,236,270,-0.61
51,52,52,Rory McIlroy,69,87.32,179,205,-0.62
52,53,53,Russell Knox,92,87.25,178,204,-0.47
53,54,54,Graeme McDowell,63,87.22,116,133,-0.53
54,55,55,Jason Day,76,87.19,211,242,-0.62
55,56,56,Kevin Na,96,87.15,156,179,-0.51
56,57,57,Jon Curran,99,87.13,176,202,-0.55
57,58,58,Sung Kang,89,87.04,188,216,-0.6
58,59,59,Morgan Hoffmann,71,86.98,167,192,-0.65
59,60,60,Ryan Moore,86,86.96,160,184,-0.56
60,61,61,Rory Sabbatini,57,86.86,119,137,-0.47
61,T62,T62,Si Woo Kim,113,86.78,315,363,-0.54
62,T62,T62,Spencer Levin,104,86.78,197,227,-0.54
63,64,64,Jhonattan Vegas,97,86.74,242,279,-0.59
64,65,65,Ricky Barnes,97,86.64,201,232,-0.55
65,66,66,Kyle Reifers,115,86.59,284,328,-0.45
66,T67,T67,Daniel Berger,92,86.53,212,245,-0.52
67,T67,T67,Will MacKenzie,84,86.53,167,193,-0.45
68,69,69,Justin Thomas,99,86.3,233,270,-0.55
69,70,70,Geoff Ogilvy,63,86.29,151,175,-0.47
70,71,71,Danny Lee,93,86.27,201,233,-0.62
71,72,72,Kevin Kisner,97,86.24,188,218,-0.58
72,73,73,Scott Piercy,87,86.22,194,225,-0.62
73,74,74,Jim Furyk,52,86.17,81,94,-0.51
74,T75,T75,Alex Cejka,71,86.13,149,173,-0.54
75,T75,T75,Boo Weekley,83,86.13,205,238,-0.59
76,77,77,Ben Martin,92,86.01,209,243,-0.61
77,78,78,Tony Finau,95,85.96,251,292,-0.61
78,79,79,Rod Pampling,54,85.95,104,121,-0.41
79,80,80,Kelly Kraft,63,85.9,134,156,-0.49
80,81,81,Zach Johnson,90,85.85,182,212,-0.54
81,82,82,Tyrone Van Aswegen,105,85.84,200,233,-0.51
82,83,83,K.J. Choi,73,85.8,139,162,-0.49
83,84,84,Steve Marino,72,85.79,157,183,-0.45
84,85,85,Steve Wheatcroft,85,85.78,199,232,-0.52
85,T86,T86,Brooks Koepka,75,85.71,210,245,-0.62
86,T86,T86,D.A. Points,55,85.71,90,105,-0.41
87,88,88,Jamie Lovemark,91,85.63,286,334,-0.54
88,89,89,Justin Rose,65,85.51,177,207,-0.59
89,90,90,Nick Taylor,83,85.42,205,240,-0.48
90,T91,T91,Sam Saunders,69,85.31,122,143,-0.52
91,T91,T91,Cameron Smith,73,85.31,122,143,-0.45
92,93,93,Martin Laird,82,85.17,201,236,-0.57
93,94,94,Robert Garrigus,69,85.11,160,188,-0.55
94,95,95,Jason Bohn,67,85.08,154,181,-0.56
95,96,96,Mark Hubbard,101,85.06,205,241,-0.53
96,T97,T97,Brian Harman,104,85.05,256,301,-0.56
97,T97,T97,Patton Kizzire,93,85.05,182,214,-0.63
98,T97,T97,Scott Stallings,74,85.05,165,194,-0.53
99,100,100,Harold Varner III,92,85.03,250,294,-0.57
100,101,101,Kyle Stanley,92,85.02,176,207,-0.51
101,102,102,Scott Pinckney,87,84.98,198,233,-0.55
102,103,103,David Hearn,95,84.97,164,193,-0.54
103,104,104,Johnson Wagner,86,84.96,192,226,-0.53
104,105,105,Chris Stroud,82,84.93,186,219,-0.52
105,106,106,D.H. Lee,61,84.92,107,126,-0.46
106,107,107,Chris Kirk,90,84.72,194,229,-0.53
107,108,108,Paul Casey,77,84.71,144,170,-0.62
108,109,109,Francesco Molinari,64,84.66,149,176,-0.57
109,110,110,Ben Crane,80,84.49,158,187,-0.47
110,111,111,J.B. Holmes,77,84.48,245,290,-0.48
111,112,112,Retief Goosen,55,84.46,125,148,-0.54
112,113,113,Marc Leishman,89,84.43,179,212,-0.56
113,114,114,Jordan Spieth,80,84.42,168,199,-0.66
114,115,115,Vijay Singh,72,84.39,173,205,-0.51
115,116,116,Greg Owen,85,84.28,193,229,-0.44
116,117,117,Patrick Rodgers,89,84.25,230,273,-0.53
117,118,118,Ryan Palmer,86,84.23,251,298,-0.57
118,119,119,Dustin Johnson,87,84.19,229,272,-0.66
119,120,120,Ken Duke,58,84.06,116,138,-0.54
120,121,121,William McGirt,98,84.05,216,257,-0.55
121,122,122,James Hahn,85,84.02,184,219,-0.51
122,123,123,Chad Collins,73,84.0,147,175,-0.5
123,124,124,Thomas Aiken,70,83.94,115,137,-0.57
124,T125,T125,Ángel Cabrera,62,83.82,145,173,-0.52
125,T125,T125,Derek Ernst,59,83.82,114,136,-0.45
126,127,127,Derek Fathauer,94,83.8,181,216,-0.54
127,128,128,Peter Malnati,85,83.79,212,253,-0.43
128,129,129,Steve Stricker,53,83.76,98,117,-0.53
129,130,130,Luke Donald,81,83.75,134,160,-0.48
130,131,131,Branden Grace,63,83.72,108,129,-0.47
131,132,132,Smylie Kaufman,91,83.68,241,288,-0.61
132,T133,T133,Luke List,79,83.67,210,251,-0.57
133,T133,T133,Dawie van der Walt,72,83.67,164,196,-0.48
134,135,135,Stuart Appleby,71,83.59,163,195,-0.53
135,136,136,David Lingmerth,84,83.58,168,201,-0.49
136,137,137,Bryce Molder,80,83.51,162,194,-0.52
137,138,138,Andres Gonzales,80,83.5,172,206,-0.51
138,139,139,Michael Thompson,71,83.33,130,156,-0.6
139,140,140,Aaron Baddeley,93,83.26,189,227,-0.59
140,141,141,Jason Gore,78,83.16,158,190,-0.42
141,142,142,Sean O'Hair,89,83.07,265,319,-0.54
142,143,143,Brian Stuard,66,83.06,103,124,-0.5
143,144,144,Carlos Ortiz,79,83.02,176,212,-0.51
144,145,145,Kevin Chappell,93,82.98,195,235,-0.56
145,146,146,Jason Kokrak,89,82.95,219,264,-0.58
146,147,147,Jim Herman,93,82.94,175,211,-0.49
147,148,148,Graham DeLaet,70,82.83,164,198,-0.55
148,149,149,Erik Compton,65,82.55,123,149,-0.53
149,150,150,Chez Reavie,90,82.48,193,234,-0.53
150,151,151,George McNeill,51,82.46,94,114,-0.51
151,152,152,Jeff Overton,69,82.45,155,188,-0.39
152,153,153,Harris English,97,82.38,173,210,-0.63
153,154,154,Jonas Blixt,79,82.33,177,215,-0.6
154,T155,T155,Abraham Ancer,51,82.3,93,113,-0.45
155,T155,T155,Patrick Reed,105,82.3,251,305,-0.58
156,157,157,Willy Wilcox,67,82.22,148,180,-0.55
157,158,158,Russell Henley,76,82.21,171,208,-0.5
158,159,159,Vaughn Taylor,72,82.05,160,195,-0.57
159,160,160,Hiroshi Iwata,85,81.97,150,183,-0.59
160,161,161,Scott Langley,65,81.76,139,170,-0.5
161,162,162,Scott Brown,88,81.7,183,224,-0.51
162,T163,T163,Rhein Gibson,58,81.58,124,152,-0.49
163,T163,T163,Freddie Jacobson,86,81.58,155,190,-0.57
164,165,165,Ernie Els,66,81.54,159,195,-0.48
165,166,166,Phil Mickelson,75,81.4,175,215,-0.63
166,167,167,John Huh,86,81.36,179,220,-0.47
167,168,168,Camilo Villegas,83,81.22,160,197,-0.57
168,169,169,Brendon Todd,66,81.21,121,149,-0.49
169,170,170,Andrew Loupe,75,81.17,250,308,-0.52
170,171,171,Zac Blair,99,81.07,197,243,-0.46
171,172,172,Steven Bowditch,71,81.03,141,174,-0.5
172,173,173,Wes Roach,59,80.99,98,121,-0.56
173,174,174,Chesson Hadley,81,80.79,164,203,-0.42
174,175,175,Luke Guthrie,57,80.77,105,130,-0.59
175,176,176,Bronson Burgoon,83,80.6,162,201,-0.57
176,177,177,Billy Hurley III,66,80.36,135,168,-0.52
177,178,178,Michael Kim,100,79.91,187,234,-0.49
178,179,179,Padraig Harrington,54,79.33,119,150,-0.51
179,180,180,Shane Lowry,57,78.95,90,114,-0.52
180,181,181,Charley Hoffman,91,78.71,196,249,-0.54
181,182,182,Martin Piller,59,78.2,104,133,-0.54
182,183,183,Tom Hoge,81,77.97,138,177,-0.57
183,184,184,Andrew Landry,53,77.36,82,106,-0.59
184,185,185,Shawn Stefani,91,76.89,193,251,-0.48
