,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Rory McIlroy,69,-.083
1,2,2,Luke List,79,-.080
2,3,3,Jamie Lovemark,91,-.052
3,4,4,Matt Kuchar,100,-.046
4,5,5,Rickie Fowler,80,-.042
5,6,6,Brandt Snedeker,93,-.032
6,7,7,Sean O'Hair,89,-.023
7,8,8,Adam Scott,79,-.020
8,9,9,Jordan Spieth,80,-.017
9,10,10,Bubba Watson,72,-.010
10,11,11,Vijay Singh,72,E
11,12,12,Jimmy Walker,85,+.005
12,T13,T13,Jason Dufner,105,+.007
13,T13,T13,Dustin Johnson,87,+.007
14,15,15,Gary Woodland,95,+.014
15,16,16,Marc Leishman,89,+.015
16,17,17,Jason Day,76,+.016
17,18,18,Phil Mickelson,75,+.017
18,19,19,Morgan Hoffmann,71,+.024
19,T20,T20,Harris English,97,+.025
20,T20,T20,Webb Simpson,70,+.025
21,T20,T20,Robert Streb,87,+.025
22,23,23,Jerry Kelly,76,+.027
23,T24,T24,Tyler Aldridge,83,+.029
24,T24,T24,Charles Howell III,91,+.029
25,26,26,Ryan Palmer,86,+.031
26,27,27,Freddie Jacobson,86,+.035
27,T28,T28,Luke Donald,81,+.036
28,T28,T28,Kevin Streelman,82,+.036
29,30,30,Patrick Reed,105,+.037
30,31,31,Padraig Harrington,54,+.042
31,32,32,Zach Johnson,90,+.049
32,33,33,Steve Stricker,53,+.050
33,34,34,Roberto Castro,97,+.051
34,35,35,Ricky Barnes,97,+.052
35,36,36,Branden Grace,63,+.053
36,37,37,Bronson Burgoon,83,+.054
37,38,38,Martin Laird,82,+.055
38,T39,T39,Robert Garrigus,69,+.056
39,T39,T39,Vaughn Taylor,72,+.056
40,41,41,Charley Hoffman,91,+.058
41,T42,T42,Kevin Chappell,93,+.061
42,T42,T42,Lucas Glover,75,+.061
43,T42,T42,Hideki Matsuyama,76,+.061
44,45,45,Kevin Na,96,+.062
45,46,46,Charl Schwartzel,73,+.063
46,47,47,D.A. Points,55,+.064
47,T48,T48,Jason Bohn,67,+.065
48,T48,T48,Tony Finau,95,+.065
49,T50,T50,Bill Haas,86,+.068
50,T50,T50,Colt Knost,90,+.068
51,52,52,Patton Kizzire,93,+.069
52,53,53,Chris Kirk,90,+.070
53,T54,T54,Andrew Landry,53,+.071
54,T54,T54,Patrick Rodgers,89,+.071
55,56,56,John Senden,88,+.072
56,57,57,Ben Crane,80,+.073
57,T58,T58,Brooks Koepka,75,+.074
58,T58,T58,William McGirt,98,+.074
59,T58,T58,Brett Stegmaier,87,+.074
60,T61,T61,Francesco Molinari,64,+.075
61,T61,T61,Justin Rose,65,+.075
62,T61,T61,Hudson Swafford,104,+.075
63,T64,T64,Henrik Norlander,71,+.078
64,T64,T64,Rob Oppenheim,67,+.078
65,T66,T66,Alex Cejka,71,+.080
66,T66,T66,Tom Hoge,81,+.080
67,T66,T66,Peter Malnati,85,+.080
68,69,69,Scott Stallings,74,+.083
69,70,70,Scott Langley,65,+.085
70,71,71,John Huh,86,+.088
71,72,72,Will MacKenzie,84,+.090
72,73,73,Brendan Steele,88,+.091
73,T74,T74,Jonas Blixt,79,+.093
74,T74,T74,Brian Harman,104,+.093
75,T74,T74,Hiroshi Iwata,85,+.093
76,T74,T74,David Lingmerth,84,+.093
77,T74,T74,Shawn Stefani,91,+.093
78,T74,T74,Johnson Wagner,86,+.093
79,80,80,Wes Roach,59,+.094
80,81,81,Jason Kokrak,89,+.095
81,T82,T82,Stewart Cink,61,+.096
82,T82,T82,J.B. Holmes,77,+.096
83,T84,T84,Scott Pinckney,87,+.097
84,T84,T84,Jhonattan Vegas,97,+.097
85,T86,T86,Derek Ernst,59,+.099
86,T86,T86,Chris Stroud,82,+.099
87,88,88,Smylie Kaufman,91,+.100
88,89,89,Steve Wheatcroft,85,+.101
89,T90,T90,Derek Fathauer,94,+.102
90,T90,T90,Rhein Gibson,58,+.102
91,T90,T90,Tim Wilkinson,72,+.102
92,T93,T93,Daniel Berger,92,+.104
93,T93,T93,Carlos Ortiz,79,+.104
94,T93,T93,Chez Reavie,90,+.104
95,T96,T96,Paul Casey,77,+.105
96,T96,T96,Ryan Moore,86,+.105
97,T98,T98,Whee Kim,82,+.107
98,T98,T98,Seung-Yul Noh,85,+.107
99,T100,T100,Graham DeLaet,70,+.108
100,T100,T100,Louis Oosthuizen,63,+.108
101,T102,T102,Billy Horschel,73,+.110
102,T102,T102,Tyrone Van Aswegen,105,+.110
103,T102,T102,Mark Wilson,66,+.110
104,T105,T105,Matt Jones,83,+.112
105,T105,T105,Jeff Overton,69,+.112
106,107,107,Spencer Levin,104,+.113
107,108,108,Dicky Pride,55,+.114
108,109,109,Anirban Lahiri,72,+.116
109,110,110,Sam Saunders,69,+.118
110,T111,T111,Brian Stuard,66,+.119
111,T111,T111,Harold Varner III,92,+.119
112,113,113,Erik Compton,65,+.120
113,114,114,Russell Henley,76,+.122
114,115,115,Jason Gore,78,+.123
115,116,116,Aaron Baddeley,93,+.124
116,117,117,Kevin Kisner,97,+.125
117,118,118,Geoff Ogilvy,63,+.127
118,T119,T119,Fabián Gómez,82,+.128
119,T119,T119,Retief Goosen,55,+.128
120,121,121,Billy Hurley III,66,+.129
121,122,122,Steve Marino,72,+.130
122,T123,T123,Kelly Kraft,63,+.131
123,T123,T123,Cameron Smith,73,+.131
124,125,125,Chad Collins,73,+.132
125,126,126,Andrew Loupe,75,+.135
126,T127,T127,Abraham Ancer,51,+.136
127,T127,T127,Nick Taylor,83,+.136
128,129,129,Boo Weekley,83,+.138
129,130,130,Justin Thomas,99,+.142
130,131,131,Danny Lee,93,+.144
131,T132,T132,Emiliano Grillo,93,+.146
132,T132,T132,Ben Martin,92,+.146
133,T134,T134,Chad Campbell,90,+.147
134,T134,T134,Kyle Reifers,115,+.147
135,T134,T134,David Toms,62,+.147
136,137,137,Bryce Molder,80,+.149
137,138,138,Rod Pampling,54,+.150
138,T139,T139,Thomas Aiken,70,+.152
139,T139,T139,Shane Lowry,57,+.152
140,T139,T139,Cameron Tringale,81,+.152
141,142,142,Adam Hadwin,93,+.154
142,143,143,Mark Hubbard,101,+.158
143,T144,T144,K.J. Choi,73,+.159
144,T144,T144,Daniel Summerhays,99,+.159
145,146,146,Sung Kang,89,+.160
146,147,147,D.H. Lee,61,+.162
147,148,148,David Hearn,95,+.164
148,T149,T149,Scott Brown,88,+.167
149,T149,T149,Ken Duke,58,+.167
150,T151,T151,Greg Owen,85,+.168
151,T151,T151,Scott Piercy,87,+.168
152,T151,T151,Willy Wilcox,67,+.168
153,T154,T154,James Hahn,85,+.173
154,T154,T154,Michael Kim,100,+.173
155,T156,T156,Ángel Cabrera,62,+.174
156,T156,T156,Brendon de Jonge,83,+.174
157,158,158,Keegan Bradley,82,+.178
158,T159,T159,Andres Gonzales,80,+.179
159,T159,T159,Jim Herman,93,+.179
160,T159,T159,Martin Piller,59,+.179
161,T162,T162,Blayne Barber,84,+.181
162,T162,T162,Camilo Villegas,83,+.181
163,164,164,Si Woo Kim,113,+.182
164,T165,T165,Hunter Mahan,61,+.187
165,T165,T165,Michael Thompson,71,+.187
166,167,167,Luke Guthrie,57,+.190
167,168,168,Russell Knox,92,+.191
168,169,169,Troy Merritt,77,+.192
169,170,170,Graeme McDowell,63,+.197
170,171,171,Zac Blair,99,+.202
171,172,172,George McNeill,51,+.215
172,173,173,Brendon Todd,66,+.227
173,174,174,Jon Curran,99,+.231
