,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Sergio Garcia,54,80.18,89,22,-44,+2
1,2,2,Rory McIlroy,69,78.57,143,39,-89,-5
2,3,3,Justin Rose,65,73.12,136,50,-83,+2
3,4,4,Bubba Watson,72,72.43,134,51,-77,-12
4,5,5,Tony Finau,95,71.84,199,78,-125,+5
5,6,6,Andrew Loupe,75,71.14,175,71,-96,-5
6,7,7,Dustin Johnson,87,70.8,160,66,-107,-8
7,8,8,Luke List,79,70.64,166,69,-105,+12
8,9,9,Jhonattan Vegas,97,70.41,207,87,-120,+4
9,10,10,Gary Woodland,95,69.26,187,83,-119,-10
10,11,11,Brooks Koepka,75,69.23,153,68,-96,+4
11,12,12,Rickie Fowler,80,69.07,163,73,-101,-10
12,13,13,Jimmy Walker,85,67.9,165,78,-115,E
13,14,14,J.B. Holmes,77,67.23,158,77,-85,+12
14,15,15,Adam Scott,79,67.03,124,61,-74,-11
15,16,16,Jason Day,76,66.34,136,69,-91,-9
16,17,17,Smylie Kaufman,91,65.91,174,90,-103,+2
17,18,18,Ryan Palmer,86,65.57,179,94,-100,-21
18,19,19,Jason Kokrak,89,65.17,174,93,-96,+4
19,20,20,Sean O'Hair,89,64.56,184,101,-103,+1
20,21,21,Si Woo Kim,113,64.52,220,121,-126,+2
21,22,22,Phil Mickelson,75,64.39,132,73,-81,+3
22,T23,T23,Robert Garrigus,69,63.49,120,69,-78,+4
23,T23,T23,Charl Schwartzel,73,63.49,120,69,-69,+3
24,25,25,Patrick Rodgers,89,63.43,170,98,-95,+2
25,26,26,Justin Thomas,99,63.18,163,95,-95,-1
26,27,27,Paul Casey,77,62.05,121,74,-68,-6
27,28,28,Daniel Berger,92,61.78,160,99,-87,-9
28,29,29,Jamie Lovemark,91,61.69,190,118,-113,-6
29,30,30,Graham DeLaet,70,61.57,133,83,-58,E
30,31,31,Harold Varner III,92,61.43,180,113,-112,-1
31,32,32,Scott Piercy,87,61.4,140,88,-84,-6
32,33,33,Greg Owen,85,61.18,145,92,-56,+2
33,34,34,Ángel Cabrera,62,60.34,108,71,-62,+10
34,35,35,Emiliano Grillo,93,60.23,159,105,-89,-6
35,36,36,Hideki Matsuyama,76,60.19,124,82,-64,-22
36,37,37,Hudson Swafford,104,60.13,190,126,-104,-13
37,38,38,Matt Jones,83,59.81,125,84,-65,-10
38,39,39,Jordan Spieth,80,59.22,122,84,-78,-16
39,40,40,Keegan Bradley,82,58.99,128,89,-71,+5
40,41,41,Patrick Reed,105,58.87,166,116,-101,-10
41,T42,T42,Jonas Blixt,79,58.72,138,97,-79,-7
42,T42,T42,Carlos Ortiz,79,58.72,128,90,-61,+9
43,44,44,Scott Pinckney,87,58.43,149,106,-82,+7
44,45,45,Marc Leishman,89,58.37,129,92,-80,-1
45,46,46,Willy Wilcox,67,58.33,119,85,-61,-2
46,47,47,Danny Lee,93,58.3,151,108,-91,-2
47,48,48,Rhein Gibson,58,58.23,92,66,-38,-6
48,49,49,Boo Weekley,83,58.0,145,105,-81,-7
49,50,50,Bronson Burgoon,83,57.85,129,94,-70,-13
50,51,51,Rory Sabbatini,57,57.75,82,60,-36,+1
51,52,52,Steve Marino,72,57.67,109,80,-45,-3
52,53,53,Lucas Glover,75,57.44,139,103,-77,-16
53,54,54,Morgan Hoffmann,71,57.28,118,88,-69,-6
54,55,55,Brendan Steele,88,57.14,148,111,-92,-12
55,56,56,Webb Simpson,70,56.77,109,83,-58,-4
56,57,57,Billy Horschel,73,56.65,115,88,-67,+1
57,58,58,Scott Stallings,74,56.64,128,98,-66,-1
58,59,59,Sam Saunders,69,56.44,92,71,-55,+3
59,60,60,Sung Kang,89,56.25,144,112,-89,+5
60,61,61,Stewart Cink,61,56.05,88,69,-54,-1
61,62,62,Nick Taylor,83,55.65,138,110,-71,-3
62,63,63,Anirban Lahiri,72,55.62,94,75,-44,-5
63,64,64,Daniel Summerhays,99,55.56,160,128,-99,-5
64,65,65,Hiroshi Iwata,85,55.51,126,101,-64,+1
65,66,66,Vijay Singh,72,55.41,123,99,-61,-9
66,67,67,Kevin Chappell,93,55.12,156,127,-96,-1
67,68,68,Steve Wheatcroft,85,55.02,137,112,-66,-16
68,69,69,Adam Hadwin,93,55.0,176,144,-105,-6
69,70,70,Martin Laird,82,54.72,139,115,-81,+16
70,71,71,Charles Howell III,91,54.61,154,128,-103,-13
71,72,72,Ernie Els,66,54.55,108,90,-47,-14
72,73,73,Charley Hoffman,91,54.37,137,115,-77,-5
73,74,74,Derek Ernst,59,54.27,89,75,-41,+5
74,75,75,Harris English,97,54.17,130,110,-72,-22
75,76,76,Kevin Kisner,97,54.1,132,112,-68,-11
76,77,77,Fabián Gómez,82,54.07,146,124,-81,-8
77,78,78,Hunter Mahan,61,53.93,103,88,-44,-6
78,79,79,Brandt Snedeker,93,53.85,140,120,-78,-16
