,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Adam Scott,79,1.4909999999999999,83.50399999999999,56
1,2,2,Kevin Na,96,0.7879999999999999,54.393,69
2,3,3,Hideki Matsuyama,76,0.774,44.864,58
3,4,4,Webb Simpson,70,0.728,42.216,58
4,5,5,Phil Mickelson,75,0.726,42.839,59
5,6,6,Robert Garrigus,69,0.685,36.972,54
6,7,7,Charl Schwartzel,73,0.652,36.491,56
7,8,8,D.A. Points,55,0.64,24.958000000000002,39
8,9,9,Kevin Chappell,93,0.634,49.443999999999996,78
9,10,10,Alex Cejka,71,0.626,31.906,51
10,11,11,Paul Casey,77,0.616,35.089,57
11,12,12,Vaughn Taylor,72,0.612,40.993,67
12,13,13,Branden Grace,63,0.603,25.314,42
13,14,14,Graham DeLaet,70,0.601,34.832,58
14,15,15,Jimmy Walker,85,0.58,40.576,70
15,16,16,Chez Reavie,90,0.5670000000000001,43.063,76
16,17,17,Tyrone Van Aswegen,105,0.544,47.333,87
17,T18,T18,David Hearn,95,0.532,43.648999999999994,82
18,T18,T18,Greg Owen,85,0.532,36.202,68
19,20,20,Justin Thomas,99,0.494,37.037,75
20,21,21,Billy Horschel,73,0.493,27.629,56
21,22,22,Stewart Cink,61,0.49200000000000005,24.101,49
22,23,23,Daniel Berger,92,0.49,35.251,72
23,24,24,Francesco Molinari,64,0.484,27.599,57
24,25,25,Sergio Garcia,54,0.48200000000000004,14.950999999999999,31
25,26,26,Dustin Johnson,87,0.47700000000000004,29.596,62
26,27,27,Jason Dufner,105,0.469,37.066,79
27,T28,T28,Luke Donald,81,0.465,27.426,59
28,T28,T28,Jim Furyk,52,0.465,20.451,44
29,30,30,Gary Woodland,95,0.46299999999999997,35.623000000000005,77
30,31,31,Rory McIlroy,69,0.447,21.439,48
31,32,32,Roberto Castro,97,0.43700000000000006,38.484,88
32,33,33,Jerry Kelly,76,0.42700000000000005,25.613000000000003,60
33,T34,T34,Jason Day,76,0.426,23.026999999999997,54
34,T34,T34,Jason Kokrak,89,0.426,31.533,74
35,36,36,Tim Wilkinson,72,0.425,21.225,50
36,37,37,Keegan Bradley,82,0.419,26.388,63
37,38,38,Ryan Moore,86,0.418,27.195999999999998,65
38,39,39,Justin Rose,65,0.409,20.057000000000002,49
39,40,40,Bubba Watson,72,0.39299999999999996,20.032,51
40,41,41,Patton Kizzire,93,0.37,27.379,74
41,42,42,Chris Kirk,90,0.369,27.294,74
42,43,43,David Toms,62,0.36,19.417,54
43,44,44,Russell Knox,92,0.35700000000000004,23.174,65
44,45,45,Matt Kuchar,100,0.326,25.11,77
45,46,46,Lucas Glover,75,0.309,20.67,67
46,47,47,Rickie Fowler,80,0.308,19.738,64
47,48,48,Chad Campbell,90,0.306,24.189,79
48,49,49,Louis Oosthuizen,63,0.3,12.612,42
49,50,50,Martin Laird,82,0.297,20.767,70
50,51,51,Danny Lee,93,0.287,20.083,70
51,52,52,Rob Oppenheim,67,0.285,14.238,50
52,53,53,Robert Streb,87,0.27899999999999997,18.151,65
53,T54,T54,Luke List,79,0.278,18.049,65
54,T54,T54,George McNeill,51,0.278,12.772,46
55,56,56,Hudson Swafford,104,0.275,25.017,91
56,T57,T57,Jason Bohn,67,0.272,16.072,59
