,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Jimmy Walker,85,68.26,114,167,-122,E
1,2,2,Jordan Spieth,80,66.39,81,122,-86,-16.00
2,3,3,Steven Bowditch,71,64.84,59,91,-62,+35.00
3,4,4,Steve Stricker,53,64.44,29,45,-31,-20.00
4,5,5,Seung-Yul Noh,85,64.41,76,118,-81,-7.00
5,6,6,Charles Howell III,91,63.92,101,158,-108,-13.00
6,7,7,Rory McIlroy,69,63.89,92,144,-98,-5.00
7,8,8,Harold Varner III,92,63.74,116,182,-123,-1.00
8,T9,T9,Chad Campbell,90,63.64,91,143,-93,-17.00
9,T9,T9,Dustin Johnson,87,63.64,105,165,-117,-8.00
10,11,11,Freddie Jacobson,86,63.46,66,104,-69,-6.00
11,12,12,Matt Kuchar,100,63.43,85,134,-89,-28.00
12,13,13,Rickie Fowler,80,63.41,104,164,-110,-10.00
13,14,14,Camilo Villegas,83,63.39,71,112,-78,+5.00
14,15,15,Luke List,79,63.31,107,169,-111,+12.00
15,16,16,Tim Wilkinson,72,63.27,31,49,-33,-18.00
16,17,17,Gary Woodland,95,63.1,118,187,-126,-10.00
17,18,18,Danny Lee,93,62.91,95,151,-101,-2.00
18,19,19,Phil Mickelson,75,62.88,83,132,-86,+3.00
19,T20,T20,Ken Duke,58,62.86,44,70,-51,-3.00
20,T20,T20,Martin Laird,82,62.86,88,140,-91,+16.00
21,22,22,Chad Collins,73,62.79,54,86,-58,-2.00
22,23,23,Justin Rose,65,62.77,86,137,-91,+2.00
23,24,24,Jason Day,76,62.68,89,142,-99,-9.00
24,25,25,Michael Thompson,71,62.35,53,85,-58,-11.00
25,26,26,Spencer Levin,104,62.2,79,127,-84,-25.00
26,27,27,Vaughn Taylor,72,61.96,57,92,-60,-6.00
27,28,28,Adam Hadwin,93,61.93,109,176,-114,-6.00
28,29,29,Erik Compton,65,61.9,52,84,-53,-2.00
29,30,30,Luke Donald,81,61.84,47,76,-48,-7.00
30,31,31,Adam Scott,79,61.6,77,125,-84,-11.00
31,32,32,Francesco Molinari,64,61.46,59,96,-64,-9.00
32,33,33,Stewart Cink,61,61.36,54,88,-59,-1.00
33,34,34,Tony Finau,95,61.32,130,212,-136,+5.00
34,35,35,Blayne Barber,84,61.29,76,124,-81,-15.00
35,36,36,Thomas Aiken,70,60.92,53,87,-55,-5.00
36,37,37,Cameron Tringale,81,60.53,69,114,-76,-17.00
37,38,38,Marc Leishman,89,60.47,78,129,-83,-1.00
38,T39,T39,Ben Martin,92,60.4,90,149,-105,-19.00
39,T39,T39,Brendan Steele,88,60.4,90,149,-95,-12.00
40,41,41,Smylie Kaufman,91,60.34,105,174,-113,+2.00
41,42,42,Louis Oosthuizen,63,60.27,44,73,-49,-11.00
42,43,43,Brooks Koepka,75,60.26,94,156,-101,+4.00
43,44,44,Daniel Summerhays,99,60.25,97,161,-104,-5.00
44,T45,T45,David Hearn,95,60.0,57,95,-65,-25.00
45,T45,T45,Robert Streb,87,60.0,66,110,-70,-7.00
46,47,47,Paul Casey,77,59.84,73,122,-77,-6.00
47,48,48,Troy Merritt,77,59.66,71,119,-73,E
48,49,49,Scott Piercy,87,59.57,84,141,-92,-6.00
49,50,50,Patrick Reed,105,59.52,100,168,-108,-10.00
50,51,51,Charl Schwartzel,73,59.5,72,121,-76,+3.00
51,52,52,Morgan Hoffmann,71,59.32,70,118,-81,-6.00
52,53,53,Aaron Baddeley,93,59.29,83,140,-90,-13.00
53,54,54,Jon Curran,99,59.21,45,76,-46,-33.00
54,55,55,Billy Horschel,73,59.13,68,115,-71,+1.00
55,56,56,Chris Kirk,90,59.02,72,122,-76,-24.00
56,57,57,Jonas Blixt,79,58.99,82,139,-88,-7.00
57,58,58,Justin Thomas,99,58.9,96,163,-104,-1.00
58,59,59,Tyler Aldridge,83,58.82,60,102,-63,-13.00
59,T60,T60,Ricky Barnes,97,58.78,77,131,-78,-3.00
60,T60,T60,Harris English,97,58.78,77,131,-81,-22.00
61,62,62,Alex Cejka,71,58.76,57,97,-59,-19.00
62,T63,T63,D.H. Lee,61,58.73,37,63,-41,-10.00
63,T63,T63,Sean O'Hair,89,58.73,111,189,-116,+1.00
64,65,65,Patton Kizzire,93,58.7,81,138,-85,-19.00
65,66,66,Brett Stegmaier,87,58.57,82,140,-88,-9.00
66,67,67,Robert Garrigus,69,58.54,72,123,-79,+4.00
67,68,68,Jason Kokrak,89,58.52,103,176,-108,+4.00
68,69,69,Jamie Lovemark,91,58.46,114,195,-120,-6.00
69,70,70,Dawie van der Walt,72,58.42,59,101,-64,-4.00
70,71,71,Sung Kang,89,58.33,84,144,-94,+5.00
71,72,72,Brandt Snedeker,93,58.16,82,141,-85,-16.00
72,73,73,Andres Gonzales,80,58.12,68,117,-71,-5.00
73,74,74,Colt Knost,90,57.97,40,69,-46,-37.00
74,75,75,Boo Weekley,83,57.93,84,145,-88,-7.00
75,76,76,Emiliano Grillo,93,57.86,92,159,-95,-6.00
76,77,77,Brian Harman,104,57.83,96,166,-102,-10.00
77,78,78,Keegan Bradley,82,57.81,74,128,-77,+5.00
78,79,79,Si Woo Kim,113,57.73,127,220,-135,+2.00
79,80,80,Roberto Castro,97,57.52,88,153,-94,-35.00
80,81,81,David Toms,62,57.5,23,40,-23,-34.00
81,82,82,Kevin Chappell,93,57.32,90,157,-102,-1.00
82,83,83,Mark Hubbard,101,57.14,80,140,-86,-16.00
83,84,84,Ryan Moore,86,57.0,57,100,-60,-29.00
84,85,85,Sam Saunders,69,56.99,53,93,-58,+3.00
85,86,86,Retief Goosen,55,56.98,49,86,-51,-4.00
86,87,87,Luke Guthrie,57,56.94,41,72,-45,-8.00
87,88,88,Russell Knox,92,56.88,62,109,-65,-4.00
88,89,89,Zach Johnson,90,56.86,58,102,-61,-33.00
89,90,90,Matt Jones,83,56.8,71,125,-71,-10.00
90,91,91,Jason Dufner,105,56.69,72,127,-78,-11.00
91,92,92,Daniel Berger,92,56.52,91,161,-96,-9.00
92,93,93,Ryan Palmer,86,56.42,101,179,-109,-21.00
93,94,94,Ángel Cabrera,62,56.36,62,110,-65,+10.00
94,95,95,Bubba Watson,72,56.34,80,142,-87,-12.00
95,96,96,Andrew Loupe,75,56.28,103,183,-107,-5.00
96,97,97,James Hahn,85,56.2,68,121,-71,+2.00
97,98,98,Jerry Kelly,76,56.18,50,89,-56,-14.00
98,99,99,Graeme McDowell,63,55.95,47,84,-49,-2.00
99,100,100,Shane Lowry,57,55.93,33,59,-36,+4.00
100,101,101,Jhonattan Vegas,97,55.77,116,208,-127,+4.00
101,102,102,Stuart Appleby,71,55.68,49,88,-53,-37.00
102,103,103,Hideki Matsuyama,76,55.65,69,124,-71,-22.00
103,104,104,Scott Pinckney,87,55.63,84,151,-90,+7.00
104,105,105,Padraig Harrington,54,55.56,50,90,-52,-6.00
105,106,106,Fabián Gómez,82,55.48,81,146,-87,-8.00
106,107,107,Scott Stallings,74,55.47,71,128,-73,-1.00
107,108,108,Lucas Glover,75,55.4,77,139,-81,-16.00
108,109,109,Martin Piller,59,55.38,36,65,-38,+1.00
109,110,110,Kevin Kisner,97,55.3,73,132,-78,-11.00
110,111,111,K.J. Choi,73,55.26,42,76,-47,-22.00
111,112,112,Billy Hurley III,66,55.22,37,67,-40,-22.00
112,113,113,Webb Simpson,70,55.05,60,109,-66,-4.00
113,114,114,Bronson Burgoon,83,55.04,71,129,-77,-13.00
114,115,115,Patrick Rodgers,89,54.91,95,173,-104,+2.00
115,116,116,Branden Grace,63,54.67,41,75,-42,-3.00
116,117,117,J.B. Holmes,77,54.6,89,163,-92,+12.00
117,118,118,Cameron Smith,73,54.1,33,61,-34,-2.00
118,119,119,Steve Wheatcroft,85,54.01,74,137,-80,-16.00
119,T120,T120,J.J. Henry,68,54.0,54,100,-56,-17.00
120,T120,T120,Scott Langley,65,54.0,54,100,-57,-4.00
121,122,122,Chez Reavie,90,53.9,76,141,-83,-12.00
122,123,123,Hudson Swafford,104,53.85,105,195,-115,-13.00
123,124,124,Kyle Stanley,92,53.78,64,119,-70,-6.00
124,T125,T125,Shawn Stefani,91,53.73,72,134,-77,-3.00
125,T125,T125,Brian Stuard,66,53.73,36,67,-36,-16.00
126,127,127,Wes Roach,59,53.42,39,73,-42,+2.00
127,128,128,Ben Crane,80,53.41,47,88,-48,-17.00
128,129,129,Graham DeLaet,70,53.38,71,133,-77,E
129,130,130,William McGirt,98,53.01,88,166,-94,-12.00
130,131,131,Charley Hoffman,91,52.9,73,138,-81,-5.00
131,132,132,Sergio Garcia,54,52.81,47,89,-51,+2.00
132,133,133,Zac Blair,99,52.73,58,110,-59,-7.00
133,134,134,Brendon de Jonge,83,52.63,60,114,-63,-12.00
134,135,135,Willy Wilcox,67,52.5,63,120,-67,-2.00
135,136,136,David Lingmerth,84,52.38,55,105,-58,-12.00
136,T137,T137,John Huh,86,52.27,69,132,-71,-2.00
137,T137,T137,Dicky Pride,55,52.27,23,44,-25,-16.00
138,139,139,Johnson Wagner,86,52.21,71,136,-78,-12.00
139,140,140,Russell Henley,76,52.14,61,117,-67,-5.00
140,141,141,Anirban Lahiri,72,52.13,49,94,-53,-5.00
141,142,142,Vijay Singh,72,52.03,64,123,-67,-9.00
