,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Lucas Glover,75,71.63,967,1350,-0.27
1,2,2,Paul Casey,77,70.8,943,1332,-0.25
2,3,3,Adam Scott,79,70.76,968,1368,-0.29
3,4,4,Stewart Cink,61,70.4,773,1098,-0.25
4,5,5,Thomas Aiken,70,70.2,834,1188,-0.21
5,T6,T6,Jason Dufner,105,70.15,1288,1836,-0.25
6,T6,T6,Sergio Garcia,54,70.15,644,918,-0.26
7,8,8,Greg Owen,85,69.75,1017,1458,-0.23
8,9,9,Russell Knox,92,69.73,1117,1602,-0.24
9,10,10,Jhonattan Vegas,97,69.71,1167,1674,-0.26
10,11,11,Rory McIlroy,69,69.62,777,1116,-0.32
11,12,12,Keegan Bradley,82,69.58,1027,1476,-0.24
12,13,13,Johnson Wagner,86,69.38,1074,1548,-0.25
13,14,14,Robert Garrigus,69,69.32,811,1170,-0.29
14,15,15,Rickie Fowler,80,69.26,960,1386,-0.28
15,16,16,Patrick Rodgers,89,69.22,1059,1530,-0.26
16,17,17,Kevin Streelman,82,69.17,1021,1476,-0.25
17,18,18,Bubba Watson,72,69.16,859,1242,-0.28
18,19,19,Roberto Castro,97,69.13,1207,1746,-0.27
19,20,20,Scott Pinckney,87,69.02,1056,1530,-0.25
20,21,21,John Senden,88,68.86,1066,1548,-0.25
21,22,22,Hudson Swafford,104,68.8,1288,1872,-0.28
22,23,23,Gary Woodland,95,68.74,1126,1638,-0.27
23,24,24,Charl Schwartzel,73,68.73,866,1260,-0.26
24,25,25,Brendan Steele,88,68.72,1039,1512,-0.26
25,26,26,Jason Kokrak,89,68.66,1100,1602,-0.26
