,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Hideki Matsuyama,82,"14' 4""",257.66700000000003,18,+1
1,2,2,Gary Woodland,93,"15' 6""",494.75,32,-8
2,3,3,William McGirt,96,"17' 2""",549.9169999999999,32,-2
3,4,4,Seung-Yul Noh,92,"17' 4""",570.8330000000001,33,-1
4,5,5,Jonathan Byrd,76,"17' 8""",388.333,22,+1
5,6,6,Chad Campbell,57,"17' 9""",230.833,13,E
6,T7,T7,Tim Clark,75,"17' 11""",358.417,20,+8
7,T7,T7,Phil Mickelson,71,"17' 11""",501.25,28,-2
8,9,9,Ian Poulter,57,"18' 0""",233.667,13,+2
9,10,10,Matt Jones,83,"18' 1""",487.417,27,+6
10,11,11,Y.E. Yang,79,"18' 2""",418.167,23,+4
11,12,12,Brian Harman,111,"18' 5""",827.4169999999999,45,+7
12,13,13,Tommy Gainey,73,"18' 6""",444.5,24,-4
13,T14,T14,Gonzalo Fernandez-Castaño,83,"19' 0""",417.417,22,+2
14,T14,T14,Danny Lee,84,"19' 0""",513.9169999999999,27,-2
15,16,16,Ben Curtis,77,"19' 1""",344.0,18,+1
16,17,17,Erik Compton,88,"19' 3""",770.5830000000001,40,+2
17,18,18,Sangmoon Bae,76,"19' 4""",444.0,23,-2
18,19,19,Bryce Molder,77,"19' 7""",450.583,23,+5
19,20,20,Zach Johnson,97,"20' 1""",603.4169999999999,30,+6
20,21,21,Billy Hurley III,86,"20' 4""",487.583,24,-1
21,22,22,Bill Haas,107,"20' 5""",1019.0830000000001,50,+10
22,T23,T23,Marc Leishman,81,"20' 6""",656.4169999999999,32,+8
23,T23,T23,Webb Simpson,87,"20' 6""",656.25,32,+4
24,T25,T25,Stewart Cink,91,"20' 7""",659.5,32,+4
25,T25,T25,Rory McIlroy,66,"20' 7""",391.75,19,-4
26,T25,T25,Ryan Moore,86,"20' 7""",267.66700000000003,13,+4
27,28,28,Scott Langley,95,"20' 8""",455.167,22,+8
28,29,29,Woody Austin,63,"20' 9""",580.5830000000001,28,+7
29,T30,T30,Luke Donald,57,"20' 10""",354.75,17,+1
30,T30,T30,John Huh,87,"20' 10""",458.917,22,-2
31,T32,T32,Michael Putnam,106,"21' 0""",630.8330000000001,30,+5
32,T32,T32,Cameron Tringale,111,"21' 0""",967.75,46,+6
33,T34,T34,George McNeill,79,"21' 1""",441.917,21,+1
34,T34,T34,Charl Schwartzel,64,"21' 1""",757.75,36,-3
35,36,36,Vijay Singh,83,"21' 2""",720.3330000000001,34,+2
36,T37,T37,Aaron Baddeley,74,"21' 6""",601.5830000000001,28,+6
37,T37,T37,Kevin Kisner,85,"21' 6""",559.5,26,+6
38,T37,T37,Brian Stuard,91,"21' 6""",364.917,17,+5
39,40,40,Ángel Cabrera,69,"21' 7""",668.0830000000001,31,+6
40,T41,T41,John Rollins,84,"21' 8""",779.3330000000001,36,+4
41,T41,T41,Adam Scott,68,"21' 8""",498.5,23,-2
42,43,43,Jonas Blixt,64,"21' 9""",804.25,37,+3
43,T44,T44,Martin Kaymer,65,"22' 0""",549.3330000000001,25,+1
44,T44,T44,Kevin Tway,64,"22' 0""",352.5,16,E
45,46,46,Lee Westwood,57,"22' 1""",265.25,12,+5
46,T47,T47,Justin Leonard,75,"22' 2""",488.333,22,+5
47,T47,T47,Boo Weekley,73,"22' 2""",420.417,19,+2
48,T49,T49,David Toms,64,"22' 4""",312.5,14,E
49,T49,T49,Camilo Villegas,95,"22' 4""",624.9169999999999,28,+8
50,51,51,Bo Van Pelt,83,"22' 5""",561.0830000000001,25,+5
51,T52,T52,Retief Goosen,94,"22' 8""",906.4169999999999,40,+8
52,T52,T52,Martin Laird,66,"22' 8""",431.0,19,-1
53,54,54,Justin Rose,70,"22' 9""",568.25,25,+3
54,55,55,Troy Merritt,62,"23' 2""",694.0830000000001,30,+10
55,56,56,Rory Sabbatini,82,"23' 3""",929.25,40,+7
56,T57,T57,Brian Davis,93,"23' 4""",1211.167,52,+2
57,T57,T57,Martin Flores,85,"23' 4""",654.0830000000001,28,+5
58,T57,T57,Hudson Swafford,75,"23' 4""",303.58299999999997,13,E
59,60,60,Justin Hicks,103,"23' 5""",515.3330000000001,22,+2
60,61,61,Steven Bowditch,93,"23' 6""",987.0830000000001,42,+15
61,62,62,Bubba Watson,76,"23' 7""",871.9169999999999,37,+12
62,T63,T63,Patrick Reed,92,"23' 8""",1181.333,50,+20
63,T63,T63,John Senden,99,"23' 8""",661.5830000000001,28,+1
64,T65,T65,Stuart Appleby,92,"23' 9""",687.75,29,+2
65,T65,T65,Matt Every,85,"23' 9""",570.5830000000001,24,E
66,T65,T65,Tyrone Van Aswegen,79,"23' 9""",736.1669999999999,31,+10
67,68,68,Henrik Stenson,56,"23' 10""",405.0,17,-2
68,69,69,Graham DeLaet,80,"23' 11""",622.75,26,+2
69,T70,T70,K.J. Choi,80,"24' 0""",335.75,14,+3
70,T70,T70,Tim Wilkinson,86,"24' 0""",865.25,36,+4
71,72,72,Rickie Fowler,91,"24' 1""",699.25,29,+10
72,T73,T73,Brian Gay,81,"24' 3""",727.9169999999999,30,+2
73,T73,T73,Ryo Ishikawa,75,"24' 3""",872.9169999999999,36,+12
74,T73,T73,Johnson Wagner,69,"24' 3""",291.25,12,+8
75,T76,T76,Jason Day,54,"24' 4""",559.0830000000001,23,+1
76,T76,T76,Ken Duke,80,"24' 4""",583.3330000000001,24,+7
77,T76,T76,Ernie Els,85,"24' 4""",949.3330000000001,39,+5
78,T79,T79,Jamie Lovemark,64,"24' 5""",928.5830000000001,38,+6
79,T79,T79,Kyle Stanley,87,"24' 5""",537.3330000000001,22,+4
80,T79,T79,Daniel Summerhays,98,"24' 5""",611.4169999999999,25,+6
81,82,82,Chris Kirk,105,"24' 6""",588.25,24,+5
82,T83,T83,Robert Garrigus,80,"24' 8""",788.5830000000001,32,+13
83,T83,T83,Will MacKenzie,82,"24' 8""",813.8330000000001,33,+10
84,T85,T85,Andres Romero,81,"24' 9""",1165.167,47,-3
85,T85,T85,Charlie Wi,72,"24' 9""",470.333,19,+7
86,T87,T87,Russell Knox,92,"24' 10""",570.3330000000001,23,+4
87,T87,T87,Troy Matteson,62,"24' 10""",720.4169999999999,29,+15
88,T87,T87,Geoff Ogilvy,84,"24' 10""",1218.333,49,+4
89,T90,T90,Briny Baird,50,"24' 11""",597.5,24,+9
90,T90,T90,Matt Kuchar,91,"24' 11""",721.5830000000001,29,+5
91,T90,T90,Mike Weir,69,"24' 11""",447.75,18,+4
92,93,93,Pat Perez,84,"25' 1""",853.4169999999999,34,+6
93,94,94,Kevin Streelman,79,"25' 2""",806.3330000000001,32,+7
94,95,95,Jimmy Walker,98,"25' 4""",1265.0,50,-2
95,96,96,Heath Slocum,71,"25' 5""",380.833,15,+3
96,97,97,Dustin Johnson,58,"25' 6""",943.5,37,-1
97,98,98,Sean O'Hair,77,"25' 7""",1023.25,40,+14
98,T99,T99,Harris English,95,"25' 9""",668.5830000000001,26,+3
99,T99,T99,Brad Fritsch,50,"25' 9""",283.25,11,+3
100,T99,T99,Jim Renner,61,"25' 9""",644.25,25,+6
101,T102,T102,David Hearn,97,"25' 10""",593.5,23,+9
102,T102,T102,John Merrick,87,"25' 10""",543.0,21,+4
103,104,104,Bronson La'Cassie,51,"26' 0""",572.1669999999999,22,+2
104,105,105,Kevin Stadler,90,"26' 1""",547.6669999999999,21,+7
105,T106,T106,Andrew Loupe,65,"26' 2""",1047.167,40,+3
106,T106,T106,Jordan Spieth,102,"26' 2""",1230.083,47,+8
107,T108,T108,Scott Brown,100,"26' 3""",920.0,35,+16
108,T108,T108,Chesson Hadley,84,"26' 3""",683.1669999999999,26,+9
109,110,110,Brandt Snedeker,89,"26' 4""",736.3330000000001,28,+1
110,T111,T111,Chad Collins,78,"26' 5""",792.5830000000001,30,+11
111,T111,T111,Ben Crane,81,"26' 5""",845.3330000000001,32,+8
112,T111,T111,Charley Hoffman,93,"26' 5""",1057.083,40,+4
113,114,114,Freddie Jacobson,91,"26' 6""",1114.333,42,+9
114,T115,T115,Hunter Mahan,88,"26' 7""",1170.333,44,+7
115,T115,T115,Shawn Stefani,60,"26' 7""",930.25,35,+13
116,117,117,Jim Furyk,84,"26' 8""",640.25,24,-3
117,118,118,Jeff Overton,80,"26' 9""",1017.0830000000001,38,+13
118,119,119,Brendon Todd,108,"27' 1""",920.5830000000001,34,+6
119,120,120,Bud Cauley,56,"27' 2""",679.1669999999999,25,+13
120,T121,T121,Kevin Chappell,100,"27' 3""",1035.25,38,-1
121,T121,T121,J.B. Holmes,86,"27' 3""",1444.9170000000001,53,+6
122,T121,T121,Josh Teater,90,"27' 3""",681.5,25,+1
123,T124,T124,Brendon de Jonge,109,"27' 5""",1070.5,39,+7
124,T124,T124,Louis Oosthuizen,50,"27' 5""",549.0830000000001,20,+7
125,T126,T126,Greg Chalmers,85,"27' 6""",1263.583,46,+9
126,T126,T126,Nicholas Thompson,85,"27' 6""",823.8330000000001,30,+7
127,T128,T128,Charlie Beljan,76,"27' 7""",992.8330000000001,36,+1
128,T128,T128,Carl Pettersson,91,"27' 7""",1129.5,41,-2
129,T130,T130,Charles Howell III,106,"27' 8""",1715.1670000000001,62,-1
130,T130,T130,Davis Love III,74,"27' 8""",498.667,18,+6
131,132,132,Brooks Koepka,56,"27' 9""",471.917,17,+4
132,133,133,Russell Henley,92,"27' 10""",1031.25,37,+6
133,T134,T134,Jeff Maggert,54,"27' 11""",502.833,18,+9
134,T134,T134,Robert Streb,75,"27' 11""",585.6669999999999,21,+6
135,T136,T136,Morgan Hoffmann,103,"28' 0""",1961.75,70,+22
136,T136,T136,Mark Wilson,69,"28' 0""",420.5,15,+3
137,138,138,Andrew Svoboda,77,"28' 2""",815.9169999999999,29,+5
138,139,139,J.J. Henry,91,"28' 4""",651.3330000000001,23,+7
139,140,140,D.A. Points,75,"28' 5""",682.25,24,+11
140,T141,T141,Ricky Barnes,92,"28' 7""",543.5830000000001,19,+6
141,T141,T141,Luke Guthrie,85,"28' 7""",1143.167,40,-4
142,T141,T141,Michael Thompson,74,"28' 7""",514.5,18,+5
143,144,144,Jason Kokrak,65,"28' 10""",1152.167,40,+2
144,145,145,Lucas Glover,68,"28' 11""",405.25,14,+4
145,146,146,"Ted Potter, Jr.",68,"29' 2""",554.6669999999999,19,+7
146,147,147,Jason Bohn,81,"29' 3""",1083.75,37,+14
147,T148,T148,James Driscoll,71,"29' 7""",710.4169999999999,24,+11
148,T148,T148,Scott Stallings,77,"29' 7""",768.5,26,+19
