,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Chad Campbell,57,76.09,630,828,-120.0
1,2,2,Graham DeLaet,80,75.17,866,1152,-216.0
2,3,3,Jim Furyk,84,74.75,888,1188,-200.0
3,4,4,Justin Hicks,103,74.63,1209,1620,-250.0
4,5,5,J.J. Henry,91,74.07,1040,1404,-185.0
5,6,6,Sergio Garcia,61,73.89,532,720,-142.0
6,7,7,Billy Horschel,92,73.75,916,1242,-227.0
7,8,8,Rory McIlroy,66,73.73,637,864,-224.0
8,9,9,Kevin Stadler,90,73.68,862,1170,-217.0
9,10,10,Nick Watney,80,73.61,742,1008,-175.0
10,11,11,Russell Knox,92,73.43,1097,1494,-240.0
11,12,12,Hudson Swafford,75,73.18,764,1044,-165.0
12,T13,T13,Adam Scott,68,73.02,736,1008,-235.0
13,T13,T13,Boo Weekley,73,73.02,736,1008,-131.0
14,T15,T15,Bill Haas,107,72.97,1077,1476,-261.0
15,T15,T15,Bo Van Pelt,83,72.97,880,1206,-199.0
16,17,17,Bubba Watson,76,72.92,735,1008,-225.0
17,18,18,Matt Kuchar,91,72.88,997,1368,-274.0
18,19,19,John Merrick,87,72.84,944,1296,-194.0
19,20,20,Henrik Stenson,56,72.81,498,684,-141.0
20,21,21,Heath Slocum,71,72.76,812,1116,-163.0
21,22,22,Robert Allenby,83,72.62,915,1260,-179.0
22,23,23,Jimmy Walker,98,72.53,953,1314,-285.0
23,24,24,John Senden,99,72.5,1057,1458,-270.0
24,25,25,Jhonattan Vegas,77,72.48,835,1152,-172.0
25,26,26,Harris English,95,72.3,963,1332,-254.0
26,T27,T27,Ken Duke,80,72.22,858,1188,-183.0
27,T27,T27,Dustin Johnson,58,72.22,533,738,-168.0
28,T27,T27,Andrew Svoboda,77,72.22,858,1188,-197.0
29,T30,T30,Kevin Chappell,100,72.16,1130,1566,-302.0
30,T30,T30,Zach Johnson,97,72.16,1091,1512,-290.0
31,32,32,Bud Cauley,56,72.1,597,828,-133.0
32,33,33,Shawn Stefani,60,72.03,739,1026,-169.0
33,34,34,David Toms,64,72.02,700,972,-164.0
34,35,35,Kyle Stanley,87,71.91,932,1296,-159.0
35,T36,T36,Jason Dufner,57,71.83,543,756,-138.0
36,T36,T36,Brooks Koepka,56,71.83,543,756,-149.0
37,T36,T36,George McNeill,79,71.83,905,1260,-238.0
38,T36,T36,Brendan Steele,89,71.83,905,1260,-232.0
39,40,40,Charles Howell III,106,71.81,1228,1710,-313.0
40,41,41,Billy Hurley III,86,71.76,930,1296,-201.0
41,42,42,Lucas Glover,68,71.75,607,846,-113.0
42,43,43,Gary Woodland,93,71.61,941,1314,-239.0
43,T44,T44,Daniel Summerhays,98,71.53,1133,1584,-293.0
44,T44,T44,Willy Wilcox,51,71.53,515,720,-122.0
45,46,46,Ryan Moore,86,71.42,797,1116,-215.0
46,47,47,Hunter Mahan,88,71.22,923,1296,-219.0
47,48,48,Justin Rose,70,71.15,666,936,-184.0
48,T49,T49,Keegan Bradley,89,71.14,858,1206,-230.0
49,T49,T49,Stewart Cink,91,71.14,922,1296,-216.0
50,51,51,Camilo Villegas,95,71.1,1075,1512,-275.0
51,52,52,Michael Putnam,106,71.0,1163,1638,-259.0
52,53,53,Cameron Tringale,111,70.92,1251,1764,-306.0
53,54,54,Martin Laird,66,70.91,702,990,-178.0
54,55,55,Charley Hoffman,93,70.83,969,1368,-274.0
55,56,56,Martin Flores,85,70.75,866,1224,-195.0
56,57,57,Webb Simpson,87,70.72,942,1332,-258.0
57,58,58,John Peterson,62,70.71,700,990,-137.0
58,59,59,Carl Pettersson,91,70.59,1080,1530,-252.0
59,60,60,Ángel Cabrera,69,70.58,775,1098,-195.0
60,61,61,Ryan Palmer,85,70.56,851,1206,-255.0
61,62,62,Scott Brown,100,70.55,1054,1494,-278.0
62,63,63,Seung-Yul Noh,92,70.44,951,1350,-236.0
63,T64,T64,Robert Streb,75,70.4,811,1152,-205.0
64,T64,T64,Nicholas Thompson,85,70.4,887,1260,-164.0
65,66,66,Jason Kokrak,65,70.13,770,1098,-222.0
66,67,67,Jeff Overton,80,70.03,832,1188,-202.0
67,68,68,"Ted Potter, Jr.",68,70.0,756,1080,-153.0
68,69,69,Vijay Singh,83,69.96,957,1368,-209.0
69,70,70,David Hearn,97,69.92,1032,1476,-265.0
70,T71,T71,Robert Garrigus,80,69.86,918,1314,-249.0
71,T71,T71,Charl Schwartzel,64,69.86,679,972,-202.0
72,73,73,Kevin Kisner,85,69.76,879,1260,-236.0
73,74,74,Brice Garnett,92,69.73,979,1404,-234.0
74,75,75,Scott Langley,95,69.69,991,1422,-248.0
75,76,76,Chris Stroud,88,69.68,903,1296,-243.0
76,77,77,Marc Leishman,81,69.57,864,1242,-230.0
77,78,78,Tim Clark,75,69.53,776,1116,-186.0
78,79,79,Ricky Barnes,92,69.52,976,1404,-243.0
79,80,80,Ben Martin,80,69.49,788,1134,-202.0
80,81,81,Jason Bohn,81,69.48,913,1314,-218.0
81,T82,T82,Brendon de Jonge,109,69.44,1150,1656,-279.0
82,T82,T82,Hideki Matsuyama,82,69.44,800,1152,-232.0
83,84,84,Pat Perez,84,69.41,937,1350,-221.0
84,85,85,Troy Merritt,62,69.39,687,990,-165.0
85,T86,T86,Kevin Streelman,79,69.35,749,1080,-205.0
86,T86,T86,Michael Thompson,74,69.35,749,1080,-195.0
87,T88,T88,James Hahn,82,69.31,910,1313,-201.0
88,T88,T88,Brian Harman,111,69.31,1260,1818,-339.0
89,90,90,Kevin Na,94,69.3,973,1404,-263.0
90,91,91,Jerry Kelly,80,69.28,823,1188,-214.0
91,92,92,Will MacKenzie,82,69.25,910,1314,-236.0
92,93,93,Charlie Beljan,76,69.24,835,1206,-209.0
93,94,94,Martin Kaymer,65,69.21,598,864,-153.0
94,95,95,Geoff Ogilvy,84,69.18,909,1314,-195.0
95,96,96,Tommy Gainey,73,69.17,747,1080,-174.0
96,97,97,John Huh,87,69.13,871,1260,-178.0
97,98,98,Josh Teater,90,69.11,933,1350,-213.0
98,99,99,Paul Casey,56,69.07,547,792,-163.0
99,100,100,Trevor Immelman,84,69.05,832,1205,-175.0
100,T101,T101,Davis Love III,74,68.96,782,1134,-169.0
101,T101,T101,Graeme McDowell,66,68.96,571,828,-159.0
102,103,103,Brad Fritsch,50,68.95,484,702,-116.0
103,104,104,Brian Stuard,91,68.92,918,1332,-236.0
104,T105,T105,Jonathan Byrd,76,68.8,805,1170,-182.0
105,T105,T105,Chris Kirk,105,68.8,1065,1548,-305.0
106,107,107,Danny Lee,84,68.76,854,1242,-204.0
107,108,108,Jim Herman,62,68.75,594,864,-122.0
108,109,109,Louis Oosthuizen,50,68.7,371,540,-75.0
109,110,110,Kevin Tway,64,68.68,581,846,-114.0
110,111,111,Jeff Maggert,54,68.56,543,792,-96.0
111,112,112,Briny Baird,50,68.52,555,810,-114.0
112,T113,T113,Rickie Fowler,91,68.46,764,1116,-223.0
113,T113,T113,Ryo Ishikawa,75,68.46,764,1116,-223.0
114,115,115,Retief Goosen,94,68.45,961,1404,-236.0
115,116,116,John Rollins,84,68.41,825,1206,-163.0
116,117,117,Jim Renner,61,68.38,640,936,-128.0
117,118,118,Jamie Lovemark,64,68.32,578,846,-140.0
118,119,119,Stuart Appleby,92,68.25,1032,1512,-264.0
119,120,120,Mark Wilson,69,68.23,700,1026,-131.0
120,121,121,Sangmoon Bae,76,68.21,798,1170,-221.0
121,122,122,Brendon Todd,108,68.13,1116,1638,-285.0
122,123,123,Spencer Levin,59,68.11,613,900,-131.0
123,124,124,Rory Sabbatini,82,68.03,796,1170,-167.0
124,125,125,David Lingmerth,80,67.99,820,1206,-199.0
125,126,126,Luke Donald,57,67.93,538,792,-138.0
126,127,127,William McGirt,96,67.92,1027,1512,-269.0
127,T128,T128,Wes Roach,67,67.78,610,900,-141.0
128,T128,T128,Tyrone Van Aswegen,79,67.78,793,1170,-194.0
129,130,130,Brandt Snedeker,89,67.76,805,1188,-216.0
130,T131,T131,Derek Ernst,80,67.72,768,1134,-154.0
131,T131,T131,Johnson Wagner,69,67.72,707,1044,-152.0
132,133,133,Troy Matteson,62,67.69,597,882,-131.0
133,134,134,Ben Crane,81,67.66,950,1404,-220.0
134,T135,T135,Ben Curtis,77,67.62,779,1152,-179.0
135,T135,T135,Luke Guthrie,85,67.62,925,1368,-247.0
136,137,137,Chesson Hadley,84,67.61,864,1278,-218.0
137,138,138,Matt Jones,83,67.59,730,1080,-208.0
138,139,139,Scott Stallings,77,67.55,766,1134,-170.0
139,140,140,Steven Bowditch,93,67.52,948,1404,-230.0
140,141,141,Jason Day,54,67.51,401,594,-114.0
141,142,142,Sean O'Hair,77,67.41,813,1206,-186.0
142,143,143,Patrick Reed,92,67.34,897,1332,-243.0
143,144,144,Erik Compton,88,67.33,909,1350,-221.0
144,145,145,Lee Westwood,57,67.31,521,774,-148.0
145,146,146,Russell Henley,92,67.26,908,1350,-260.0
146,147,147,Morgan Hoffmann,103,67.1,1087,1620,-299.0
147,148,148,Ian Poulter,57,66.94,494,738,-119.0
148,149,149,Phil Mickelson,71,66.89,602,900,-170.0
149,T150,T150,Brian Davis,93,66.8,974,1458,-255.0
150,T150,T150,Freddie Jacobson,91,66.8,974,1458,-256.0
151,152,152,Bryce Molder,77,66.75,769,1152,-181.0
152,T153,T153,Matt Every,85,66.67,780,1170,-222.0
153,T153,T153,Andres Romero,81,66.67,864,1296,-237.0
154,155,155,Woody Austin,63,66.47,682,1026,-147.0
155,156,156,Roberto Castro,76,66.38,705,1062,-168.0
156,157,157,Charlie Wi,72,66.32,776,1170,-185.0
157,158,158,J.B. Holmes,86,66.02,915,1386,-254.0
158,159,159,Andrew Loupe,65,65.89,593,900,-152.0
159,160,160,D.A. Points,75,65.86,652,990,-143.0
160,161,161,K.J. Choi,80,65.84,794,1206,-205.0
161,162,162,Jordan Spieth,102,65.75,935,1422,-272.0
162,163,163,Ernie Els,85,65.52,743,1134,-192.0
163,164,164,Y.E. Yang,79,65.39,718,1098,-171.0
164,165,165,Gonzalo Fernandez-Castaño,83,65.38,812,1242,-202.0
165,166,166,Greg Chalmers,85,65.07,855,1314,-230.0
166,167,167,Tim Wilkinson,86,64.87,829,1278,-202.0
167,168,168,Bronson La'Cassie,51,64.51,418,648,-91.0
168,169,169,D.H. Lee,54,64.44,522,810,-104.0
169,170,170,Justin Leonard,75,64.25,717,1116,-165.0
170,171,171,Jonas Blixt,64,64.21,497,774,-138.0
171,172,172,James Driscoll,71,64.18,670,1044,-155.0
172,173,173,Brian Gay,81,63.49,720,1134,-157.0
173,174,174,Richard Lee,80,63.48,697,1098,-157.0
174,175,175,Chad Collins,78,63.3,695,1098,-163.0
175,176,176,Aaron Baddeley,74,62.99,669,1062,-187.0
176,177,177,Mike Weir,69,61.53,587,954,-130.0
