,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Chad Campbell,57,84.06,406,483
1,2,2,Graham DeLaet,80,81.73,559,684
2,3,3,Adam Scott,68,81.63,480,588
3,4,4,Rory McIlroy,66,81.19,436,537
4,5,5,Jimmy Walker,98,81.18,565,696
5,6,6,Bud Cauley,56,80.89,364,450
6,7,7,Dustin Johnson,58,80.57,369,458
7,8,8,Charles Howell III,106,80.13,625,780
8,9,9,Brendan Steele,89,80.06,566,707
9,T10,T10,Billy Horschel,92,80.02,677,846
10,T10,T10,John Senden,99,80.02,709,886
11,12,12,Camilo Villegas,95,80.0,636,795
12,13,13,Bo Van Pelt,83,79.78,580,727
13,14,14,Bill Haas,107,79.65,736,924
14,15,15,Brice Garnett,92,79.56,576,724
15,16,16,Ryo Ishikawa,75,79.5,442,556
16,17,17,Harris English,95,79.38,612,771
17,18,18,Jeff Overton,80,79.11,481,608
18,19,19,Martin Flores,85,79.02,531,672
19,20,20,J.J. Henry,91,79.0,617,781
20,21,21,Kevin Stadler,90,78.97,631,799
21,22,22,Jhonattan Vegas,77,78.94,506,641
22,23,23,Matt Kuchar,91,78.8,654,830
23,T24,T24,George McNeill,79,78.69,539,685
24,T24,T24,Carl Pettersson,91,78.69,587,746
25,26,26,Justin Hicks,103,78.58,796,1013
26,27,27,Robert Allenby,83,78.53,545,694
27,28,28,Martin Laird,66,78.42,418,533
28,29,29,Davis Love III,74,78.34,463,591
29,30,30,Chesson Hadley,84,78.11,521,667
30,31,31,Boo Weekley,73,78.06,548,702
31,32,32,Robert Garrigus,80,78.02,497,637
32,33,33,Jason Kokrak,65,77.93,392,503
33,34,34,Michael Putnam,106,77.88,676,868
34,35,35,Robert Streb,75,77.87,461,592
