,GIR_Percentage_-_75-100_yards_RANK THIS WEEK,GIR_Percentage_-_75-100_yards_RANK LAST WEEK,GIR_Percentage_-_75-100_yards_PLAYER NAME,GIR_Percentage_-_75-100_yards_ROUNDS,GIR_Percentage_-_75-100_yards_%,GIR_Percentage_-_75-100_yards_GREENS HIT,GIR_Percentage_-_75-100_yards_TOTAL HOLES,GIR_Percentage_-_75-100_yards_RELATIVE TO PAR
0,1,1,Vijay Singh,83,91.11,82,90,-0.32
1,2,2,Lucas Glover,68,90.48,38,42,-0.03
2,T3,T3,Tim Clark,75,89.83,53,59,-0.34
3,T3,T3,Seung-Yul Noh,92,89.83,53,59,-0.4
4,5,5,Gary Woodland,93,88.73,63,71,-0.25
5,6,6,Ryo Ishikawa,75,88.0,44,50,-0.52
6,7,7,Bud Cauley,56,87.8,36,41,-0.39
7,8,8,Charl Schwartzel,64,87.69,57,65,-0.37
8,9,9,Heath Slocum,71,87.67,64,73,-0.33
9,T10,T10,Zach Johnson,97,87.5,70,80,-0.37
10,T10,T10,Charlie Wi,72,87.5,42,48,-0.4
11,12,12,Andres Romero,81,87.01,67,77,-0.31
12,13,13,Martin Laird,66,86.54,45,52,-0.4
13,14,14,Luke Donald,57,86.49,32,37,-0.31
14,15,15,Martin Flores,85,86.42,70,81,-0.24
15,T16,T16,Michael Putnam,106,86.15,56,65,-0.32
16,T16,T16,John Rollins,84,86.15,56,65,-0.32
17,18,18,J.J. Henry,91,85.48,53,62,-0.38
18,19,19,Robert Allenby,83,85.42,41,48,-0.37
19,20,20,Brandt Snedeker,89,85.29,58,68,-0.33
20,21,21,Trevor Immelman,84,85.19,46,54,-0.3
21,22,22,Troy Merritt,62,85.14,63,74,-0.32
22,T23,T23,Marc Leishman,81,85.0,51,60,-0.33
23,T23,T23,David Lingmerth,80,85.0,68,80,-0.25
24,25,25,Brian Gay,81,84.95,79,93,-0.27
25,26,26,John Merrick,87,84.85,56,66,-0.3
26,27,27,Justin Hicks,103,84.75,100,118,-0.36
27,T28,T28,David Hearn,97,84.62,77,91,-0.36
28,T28,T28,Justin Leonard,75,84.62,55,65,-0.42
29,30,30,John Huh,87,84.48,49,58,-0.18
30,T31,T31,Chad Collins,78,84.0,42,50,-0.4
31,T31,T31,Gonzalo Fernandez-Castaño,83,84.0,42,50,-0.36
32,T31,T31,John Senden,99,84.0,63,75,-0.29
33,34,34,Cameron Tringale,111,83.96,89,106,-0.3
34,35,35,Jonathan Byrd,76,83.93,47,56,-0.34
35,36,36,Charles Howell III,106,83.9,99,118,-0.35
36,37,37,Kevin Na,94,83.82,57,68,-0.35
