,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,T1,T1,Paul Casey,56,"34' 10""",78,2714.333,+4.00
1,T1,T1,Ken Duke,80,"34' 10""",107,3728.0,+18.00
2,3,3,Bubba Watson,76,"36' 5""",116,4224.833,+15.00
3,4,4,David Toms,64,"37' 11""",78,2958.917,+4.00
4,5,5,Brooks Koepka,56,"38' 5""",85,3262.5,+6.00
5,6,6,Kevin Streelman,79,"38' 6""",95,3655.0,+20.00
6,T7,T7,Billy Hurley III,86,"38' 7""",89,3433.667,+2.00
7,T7,T7,Vijay Singh,83,"38' 7""",151,5828.8330000000005,+10.00
8,9,9,Jamie Lovemark,64,"38' 8""",126,4876.083,+7.00
9,T10,T10,Jim Furyk,84,"38' 9""",88,3406.75,+13.00
10,T10,T10,Phil Mickelson,71,"38' 9""",88,3412.083,+2.00
11,12,12,Louis Oosthuizen,50,"38' 10""",50,1940.5829999999999,+8.00
12,13,13,Freddie Jacobson,91,"39' 2""",156,6115.5,+15.00
13,T14,T14,Jason Bohn,81,"39' 3""",116,4554.833,+11.00
14,T14,T14,Nick Watney,80,"39' 3""",100,3923.0,+7.00
15,T16,T16,Retief Goosen,94,"39' 5""",173,6823.25,+18.00
16,T16,T16,Jeff Maggert,54,"39' 5""",73,2877.833,+6.00
17,18,18,Marc Leishman,81,"39' 6""",151,5965.5,+27.00
18,19,19,Brendan Steele,89,"39' 7""",127,5022.583,+20.00
19,T20,T20,Brian Harman,111,"39' 9""",187,7440.5830000000005,+14.00
20,T20,T20,Justin Rose,70,"39' 9""",119,4729.75,E
21,22,22,Tyrone Van Aswegen,79,"40' 0""",123,4919.833,+25.00
22,23,23,Brian Davis,93,"40' 1""",127,5089.333,+9.00
23,24,24,Carl Pettersson,91,"40' 4""",169,6812.9169999999995,+22.00
24,25,25,Chesson Hadley,84,"40' 5""",117,4724.833,+24.00
25,26,26,John Peterson,62,"40' 7""",91,3694.667,+15.00
26,T27,T27,Briny Baird,50,"40' 11""",78,3192.417,+9.00
27,T27,T27,Troy Matteson,62,"40' 11""",105,4300.333,+27.00
28,29,29,Martin Flores,85,"41' 1""",147,6035.5830000000005,+20.00
29,30,30,Boo Weekley,73,"41' 2""",95,3907.917,+12.00
30,31,31,Seung-Yul Noh,92,"41' 3""",171,7059.0830000000005,+9.00
31,T32,T32,Ryan Moore,86,"41' 4""",80,3308.75,+10.00
32,T32,T32,Charl Schwartzel,64,"41' 4""",124,5128.083,+17.00
33,34,34,Davis Love III,74,"41' 5""",104,4310.167,+8.00
34,T35,T35,Luke Guthrie,85,"41' 6""",147,6097.0830000000005,+14.00
35,T35,T35,Charley Hoffman,93,"41' 6""",166,6887.75,+10.00
36,37,37,Brandt Snedeker,89,"41' 7""",100,4156.167,+9.00
37,T38,T38,Graham DeLaet,80,"41' 10""",103,4306.167,+2.00
38,T38,T38,William McGirt,96,"41' 10""",144,6021.25,+15.00
39,T38,T38,Kyle Stanley,87,"41' 10""",145,6061.3330000000005,+22.00
40,T38,T38,Jimmy Walker,98,"41' 10""",166,6951.0830000000005,+2.00
41,42,42,Hunter Mahan,88,"41' 11""",134,5612.0830000000005,+11.00
42,T43,T43,Kevin Chappell,100,"42' 0""",130,5458.1669999999995,+19.00
43,T43,T43,"Ted Potter, Jr.",68,"42' 0""",98,4112.417,+2.00
44,T45,T45,Charlie Beljan,76,"42' 1""",141,5937.8330000000005,+28.00
45,T45,T45,Zach Johnson,97,"42' 1""",124,5217.083,+20.00
46,T45,T45,Sean O'Hair,77,"42' 1""",145,6107.25,+21.00
47,T48,T48,Dustin Johnson,58,"42' 2""",94,3962.5,+10.00
48,T48,T48,Ryan Palmer,85,"42' 2""",129,5434.3330000000005,E
49,T50,T50,Russell Knox,92,"42' 4""",133,5631.0830000000005,+23.00
50,T50,T50,Henrik Stenson,56,"42' 4""",52,2202.083,+4.00
51,T50,T50,Josh Teater,90,"42' 4""",147,6221.3330000000005,+15.00
52,T53,T53,Jonathan Byrd,76,"42' 5""",120,5086.917,+13.00
53,T53,T53,Greg Chalmers,85,"42' 5""",186,7890.5830000000005,+9.00
54,T53,T53,David Lingmerth,80,"42' 5""",127,5384.25,+12.00
