,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Rory McIlroy,66,-.131
1,2,2,Charl Schwartzel,64,-.074
2,3,3,Bubba Watson,76,-.059
3,4,4,Charles Howell III,106,-.046
4,5,5,Ian Poulter,57,-.015
5,6,6,Brooks Koepka,56,-.012
6,T7,T7,Sergio Garcia,61,E
7,T7,T7,John Merrick,87,E
8,T7,T7,Adam Scott,68,E
9,T7,T7,Boo Weekley,73,E
10,11,11,Jimmy Walker,98,+.013
11,12,12,Ryan Palmer,85,+.022
12,13,13,Carl Pettersson,91,+.024
13,14,14,Charley Hoffman,93,+.026
14,15,15,Jason Kokrak,65,+.030
15,T16,T16,Dustin Johnson,58,+.035
16,T16,T16,Jhonattan Vegas,77,+.035
17,18,18,Charlie Wi,72,+.038
18,19,19,Brendon de Jonge,109,+.040
19,20,20,Hideki Matsuyama,82,+.045
20,21,21,Aaron Baddeley,74,+.048
21,22,22,Phil Mickelson,71,+.050
22,23,23,J.J. Henry,91,+.051
23,24,24,Hudson Swafford,75,+.052
24,25,25,Jim Furyk,84,+.053
25,26,26,Heath Slocum,71,+.063
26,T27,T27,Zach Johnson,97,+.064
27,T27,T27,Marc Leishman,81,+.064
28,29,29,Matt Every,85,+.067
29,30,30,Brice Garnett,92,+.069
30,31,31,Jerry Kelly,80,+.070
31,32,32,Freddie Jacobson,91,+.072
32,33,33,Sangmoon Bae,76,+.074
33,T34,T34,Andres Romero,81,+.075
34,T34,T34,Shawn Stefani,60,+.075
35,36,36,Jason Day,54,+.076
36,37,37,Roberto Castro,76,+.078
37,38,38,Matt Kuchar,91,+.079
38,T39,T39,Luke Guthrie,85,+.081
39,T39,T39,Kevin Kisner,85,+.081
40,41,41,Brendon Todd,108,+.082
41,42,42,Ricky Barnes,92,+.084
42,43,43,Martin Flores,85,+.085
43,44,44,Patrick Reed,92,+.087
44,T45,T45,Chad Campbell,57,+.088
45,T45,T45,Lee Westwood,57,+.088
46,T45,T45,Willy Wilcox,51,+.088
47,48,48,Brandt Snedeker,89,+.090
48,49,49,Jonathan Byrd,76,+.091
49,50,50,Martin Laird,66,+.092
50,51,51,Chris Kirk,105,+.094
51,52,52,Brian Gay,81,+.095
52,T53,T53,Charlie Beljan,76,+.098
53,T53,T53,Ben Martin,80,+.098
54,T53,T53,Geoff Ogilvy,84,+.098
55,56,56,Robert Streb,75,+.099
56,57,57,John Rollins,84,+.101
57,T58,T58,Jordan Spieth,102,+.104
58,T58,T58,Henrik Stenson,56,+.104
59,T60,T60,Jeff Overton,80,+.105
60,T60,T60,Josh Teater,90,+.105
61,T60,T60,Tim Wilkinson,86,+.105
62,T63,T63,Tim Clark,75,+.108
63,T63,T63,Troy Merritt,62,+.108
64,T65,T65,Robert Allenby,83,+.109
65,T65,T65,Ángel Cabrera,69,+.109
66,T65,T65,Kevin Chappell,100,+.109
67,68,68,Kevin Na,94,+.110
68,69,69,Bronson La'Cassie,51,+.111
69,T70,T70,Chris Stroud,88,+.113
70,T70,T70,Kevin Tway,64,+.113
71,T72,T72,Bill Haas,107,+.114
72,T72,T72,Matt Jones,83,+.114
73,74,74,William McGirt,96,+.117
74,75,75,Mark Wilson,69,+.118
75,T76,T76,John Senden,99,+.119
76,T76,T76,Cameron Tringale,111,+.119
77,78,78,Graeme McDowell,66,+.121
78,79,79,Scott Langley,95,+.124
79,T80,T80,Trevor Immelman,84,+.125
80,T80,T80,Webb Simpson,87,+.125
81,82,82,Danny Lee,84,+.126
82,83,83,Jamie Lovemark,64,+.128
83,84,84,Harris English,95,+.130
84,85,85,Bryce Molder,77,+.134
85,86,86,Jason Dufner,57,+.136
86,87,87,Pat Perez,84,+.138
87,T88,T88,Ben Crane,81,+.140
88,T88,T88,Jim Herman,62,+.140
89,T88,T88,Andrew Loupe,65,+.140
90,T88,T88,George McNeill,79,+.140
91,T92,T92,Rickie Fowler,91,+.141
92,T92,T92,Brad Fritsch,50,+.141
93,94,94,Stewart Cink,91,+.142
94,95,95,Bo Van Pelt,83,+.145
95,96,96,Stuart Appleby,92,+.147
96,97,97,Retief Goosen,94,+.149
97,98,98,Chesson Hadley,84,+.150
98,T99,T99,J.B. Holmes,86,+.152
99,T99,T99,Brendan Steele,89,+.152
100,T99,T99,Gary Woodland,93,+.152
101,102,102,Woody Austin,63,+.153
102,103,103,Luke Donald,57,+.154
103,T104,T104,Davis Love III,74,+.155
104,T104,T104,John Peterson,62,+.155
105,T104,T104,Michael Putnam,106,+.155
106,T107,T107,K.J. Choi,80,+.156
107,T107,T107,James Hahn,82,+.156
108,109,109,Ernie Els,85,+.158
109,110,110,David Toms,64,+.159
110,111,111,Steven Bowditch,93,+.160
111,T112,T112,Graham DeLaet,80,+.161
112,T112,T112,Ryo Ishikawa,75,+.161
113,T112,T112,Camilo Villegas,95,+.161
114,115,115,Daniel Summerhays,98,+.163
115,T116,T116,Russell Knox,92,+.164
116,T116,T116,Y.E. Yang,79,+.164
117,T118,T118,Jonas Blixt,64,+.167
118,T118,T118,Gonzalo Fernandez-Castaño,83,+.167
119,120,120,Seung-Yul Noh,92,+.168
120,121,121,Richard Lee,80,+.171
121,T122,T122,Billy Horschel,92,+.173
122,T122,T122,Vijay Singh,83,+.173
123,T122,T122,Mike Weir,69,+.173
124,125,125,Andrew Svoboda,77,+.175
125,T126,T126,Jason Bohn,81,+.177
126,T126,T126,Hunter Mahan,88,+.177
127,T128,T128,Brian Harman,111,+.178
128,T128,T128,Brian Stuard,91,+.178
129,T130,T130,Brian Davis,93,+.181
130,T130,T130,Justin Rose,70,+.181
131,T132,T132,Greg Chalmers,85,+.182
132,T132,T132,Tommy Gainey,73,+.182
133,134,134,Keegan Bradley,89,+.183
134,T135,T135,Billy Hurley III,86,+.184
135,T135,T135,Rory Sabbatini,82,+.184
136,137,137,Ken Duke,80,+.188
137,T138,T138,Scott Brown,100,+.189
138,T138,T138,Kyle Stanley,87,+.189
139,140,140,Michael Thompson,74,+.192
140,141,141,Derek Ernst,80,+.196
141,142,142,Tyrone Van Aswegen,79,+.197
142,143,143,Wes Roach,67,+.198
143,T144,T144,Sean O'Hair,77,+.200
144,T144,T144,Nick Watney,80,+.200
145,146,146,Ben Curtis,77,+.202
146,147,147,Ryan Moore,86,+.205
147,148,148,Robert Garrigus,80,+.208
148,149,149,Chad Collins,78,+.209
149,150,150,Paul Casey,56,+.210
150,151,151,Spencer Levin,59,+.216
151,152,152,Jim Renner,61,+.217
152,153,153,Erik Compton,88,+.222
153,T154,T154,Bud Cauley,56,+.226
154,T154,T154,Morgan Hoffmann,103,+.226
155,T154,T154,Nicholas Thompson,85,+.226
156,157,157,Jeff Maggert,54,+.227
157,158,158,Justin Hicks,103,+.228
158,159,159,Justin Leonard,75,+.229
159,160,160,Johnson Wagner,69,+.235
160,161,161,Lucas Glover,68,+.236
161,162,162,Russell Henley,92,+.239
162,T163,T163,David Hearn,97,+.242
163,T163,T163,Will MacKenzie,82,+.242
164,165,165,John Huh,87,+.246
165,166,166,Troy Matteson,62,+.247
166,167,167,Kevin Stadler,90,+.252
167,168,168,Kevin Streelman,79,+.253
