,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Rory McIlroy,66,-.175
1,2,2,Adam Scott,68,-.151
2,3,3,Jason Day,54,-.150
3,T4,T4,Dustin Johnson,58,-.133
4,T4,T4,Webb Simpson,87,-.133
5,6,6,Matt Kuchar,91,-.131
6,7,7,Sergio Garcia,61,-.125
7,8,8,Paul Casey,56,-.123
8,9,9,Justin Rose,70,-.122
9,10,10,Jimmy Walker,98,-.121
10,T11,T11,Keegan Bradley,89,-.120
11,T11,T11,Zach Johnson,97,-.120
12,13,13,Hideki Matsuyama,82,-.119
13,14,14,Ryan Moore,86,-.118
14,T15,T15,Jim Furyk,84,-.117
15,T15,T15,Jordan Spieth,102,-.117
16,17,17,Charl Schwartzel,64,-.115
17,18,18,Billy Horschel,92,-.114
18,19,19,Rickie Fowler,91,-.113
19,T20,T20,Graeme McDowell,66,-.112
20,T20,T20,Bubba Watson,76,-.112
21,T22,T22,Bill Haas,107,-.111
22,T22,T22,John Senden,99,-.111
23,24,24,Harris English,95,-.106
24,25,25,Ryo Ishikawa,75,-.105
25,T26,T26,Robert Garrigus,80,-.104
26,T26,T26,Kevin Stadler,90,-.104
27,28,28,Kevin Na,94,-.103
28,29,29,Kevin Chappell,100,-.102
29,30,30,Graham DeLaet,80,-.101
30,31,31,Brooks Koepka,56,-.100
31,32,32,David Hearn,97,-.098
32,33,33,Jeff Overton,80,-.097
33,T34,T34,Jason Dufner,57,-.096
34,T34,T34,Patrick Reed,92,-.096
35,T36,T36,Bud Cauley,56,-.095
36,T36,T36,Ernie Els,85,-.095
37,T36,T36,Charles Howell III,106,-.095
38,T36,T36,George McNeill,79,-.095
39,T36,T36,Chris Stroud,88,-.095
40,T36,T36,Willy Wilcox,51,-.095
41,42,42,Shawn Stefani,60,-.094
42,T43,T43,Brian Harman,111,-.093
43,T43,T43,Morgan Hoffmann,103,-.093
44,T43,T43,Jason Kokrak,65,-.093
45,T46,T46,Chad Campbell,57,-.092
46,T46,T46,Matt Every,85,-.092
47,T46,T46,Russell Knox,92,-.092
48,T46,T46,Camilo Villegas,95,-.092
49,T50,T50,Retief Goosen,94,-.091
50,T50,T50,Kevin Kisner,85,-.091
51,T50,T50,Marc Leishman,81,-.091
52,T50,T50,Gary Woodland,93,-.091
53,T54,T54,Chris Kirk,105,-.090
54,T54,T54,Cameron Tringale,111,-.090
55,56,56,Bo Van Pelt,83,-.089
56,57,57,Luke Donald,57,-.087
57,T58,T58,Charley Hoffman,93,-.085
58,T58,T58,Troy Merritt,62,-.085
59,T58,T58,Ryan Palmer,85,-.085
60,T58,T58,Henrik Stenson,56,-.085
61,T62,T62,Scott Langley,95,-.084
62,T62,T62,Brendon Todd,108,-.084
63,T62,T62,Nick Watney,80,-.084
64,T65,T65,Scott Brown,100,-.083
65,T65,T65,Jerry Kelly,80,-.083
66,T65,T65,Ben Martin,80,-.083
67,68,68,Martin Kaymer,65,-.082
68,T69,T69,Michael Putnam,106,-.081
69,T69,T69,Brendan Steele,89,-.081
70,T71,T71,Ricky Barnes,92,-.080
71,T71,T71,Daniel Summerhays,98,-.080
72,T71,T71,Johnson Wagner,69,-.080
73,74,74,Andrew Svoboda,77,-.078
74,75,75,Brad Fritsch,50,-.077
75,T76,T76,Brice Garnett,92,-.076
76,T76,T76,David Toms,64,-.076
77,78,78,Kevin Streelman,79,-.075
78,79,79,Will MacKenzie,82,-.074
79,T80,T80,Luke Guthrie,85,-.073
80,T80,T80,Freddie Jacobson,91,-.073
81,82,82,Tyrone Van Aswegen,79,-.072
82,T83,T83,J.B. Holmes,86,-.071
83,T83,T83,Brian Stuard,91,-.071
84,T83,T83,Michael Thompson,74,-.071
85,T86,T86,Martin Flores,85,-.070
86,T86,T86,Matt Jones,83,-.070
87,T86,T86,Brandt Snedeker,89,-.070
88,89,89,Ian Poulter,57,-.069
89,T90,T90,Justin Leonard,75,-.067
90,T90,T90,Seung-Yul Noh,92,-.067
91,T92,T92,Stewart Cink,91,-.066
92,T92,T92,Erik Compton,88,-.066
93,T92,T92,Martin Laird,66,-.066
94,T95,T95,Phil Mickelson,71,-.065
95,T95,T95,Robert Streb,75,-.065
96,T97,T97,Aaron Baddeley,74,-.064
97,T97,T97,Ken Duke,80,-.064
98,T99,T99,Billy Hurley III,86,-.063
99,T99,T99,William McGirt,96,-.063
100,101,101,Brian Davis,93,-.061
101,T102,T102,Hunter Mahan,88,-.060
102,T102,T102,Lee Westwood,57,-.060
103,104,104,Steven Bowditch,93,-.059
104,105,105,Heath Slocum,71,-.058
105,T106,T106,Sangmoon Bae,76,-.057
106,T106,T106,Sean O'Hair,77,-.057
107,T106,T106,Hudson Swafford,75,-.057
108,T106,T106,Josh Teater,90,-.057
109,T110,T110,Stuart Appleby,92,-.056
110,T110,T110,Andres Romero,81,-.056
111,T112,T112,Robert Allenby,83,-.055
112,T112,T112,Russell Henley,92,-.055
113,T112,T112,Vijay Singh,83,-.055
114,T115,T115,Charlie Beljan,76,-.054
115,T115,T115,K.J. Choi,80,-.054
116,T115,T115,Carl Pettersson,91,-.054
117,T118,T118,Jonas Blixt,64,-.053
118,T118,T118,Greg Chalmers,85,-.053
119,T118,T118,Jamie Lovemark,64,-.053
120,T121,T121,Gonzalo Fernandez-Castaño,83,-.052
121,T121,T121,Danny Lee,84,-.052
122,T121,T121,David Lingmerth,80,-.052
123,T124,T124,Spencer Levin,59,-.050
124,T124,T124,Bryce Molder,77,-.050
125,126,126,Tim Wilkinson,86,-.049
126,T127,T127,Tommy Gainey,73,-.047
127,T127,T127,Jhonattan Vegas,77,-.047
128,T129,T129,Brendon de Jonge,109,-.046
129,T129,T129,Richard Lee,80,-.046
130,131,131,Tim Clark,75,-.045
131,132,132,John Huh,87,-.044
132,133,133,Jason Bohn,81,-.042
133,134,134,Ben Crane,81,-.041
134,T135,T135,Chad Collins,78,-.039
135,T135,T135,"Ted Potter, Jr.",68,-.039
136,T135,T135,Y.E. Yang,79,-.039
137,138,138,Rory Sabbatini,82,-.038
138,T139,T139,Woody Austin,63,-.037
139,T139,T139,James Hahn,82,-.037
140,141,141,J.J. Henry,91,-.035
141,T142,T142,James Driscoll,71,-.034
142,T142,T142,Andrew Loupe,65,-.034
143,T144,T144,Ben Curtis,77,-.033
144,T144,T144,Justin Hicks,103,-.033
145,T144,T144,Louis Oosthuizen,50,-.033
146,T147,T147,Chesson Hadley,84,-.032
147,T147,T147,Charlie Wi,72,-.032
148,149,149,Pat Perez,84,-.031
149,T150,T150,Ángel Cabrera,69,-.030
150,T150,T150,Wes Roach,67,-.030
151,152,152,John Peterson,62,-.029
152,153,153,Briny Baird,50,-.028
153,T154,T154,Jonathan Byrd,76,-.027
154,T154,T154,Trevor Immelman,84,-.027
155,T154,T154,Scott Stallings,77,-.027
156,157,157,Roberto Castro,76,-.024
157,158,158,Geoff Ogilvy,84,-.023
158,159,159,Davis Love III,74,-.021
159,T160,T160,Jim Renner,61,-.020
160,T160,T160,Nicholas Thompson,85,-.020
161,162,162,D.A. Points,75,-.018
162,163,163,Jim Herman,62,-.016
163,164,164,John Merrick,87,-.015
164,165,165,Mark Wilson,69,-.014
165,166,166,Kevin Tway,64,-.013
166,T167,T167,Troy Matteson,62,-.008
167,T167,T167,Boo Weekley,73,-.008
168,169,169,Brian Gay,81,-.006
169,170,170,Derek Ernst,80,-.004
170,171,171,Lucas Glover,68,-.003
171,172,172,D.H. Lee,54,E
172,173,173,Jeff Maggert,54,+.002
173,174,174,Bronson La'Cassie,51,+.004
174,175,175,Kyle Stanley,87,+.006
175,176,176,Mike Weir,69,+.011
176,177,177,John Rollins,84,+.014
