,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Jim Furyk,84,1.175,77.564,66
1,2,2,Sergio Garcia,61,1.15,46.0,40
2,3,3,Hideki Matsuyama,82,1.022,65.391,64
3,4,4,Graham DeLaet,80,0.895,57.292,64
4,5,5,Paul Casey,56,0.762,33.507,44
5,6,6,Justin Rose,70,0.7440000000000001,38.674,52
6,7,7,Nick Watney,80,0.648,36.293,56
7,8,8,Chad Campbell,57,0.6409999999999999,29.503,46
8,9,9,Kyle Stanley,87,0.623,44.868,72
9,10,10,Adam Scott,68,0.61,34.134,56
10,11,11,Jimmy Walker,98,0.608,44.36600000000001,73
11,12,12,Rory McIlroy,66,0.602,28.906,48
12,13,13,Brooks Koepka,56,0.598,25.101,42
13,14,14,Jason Dufner,57,0.59,24.769000000000002,42
14,15,15,Henrik Stenson,56,0.575,21.857,38
15,16,16,Robert Allenby,83,0.552,38.663000000000004,70
16,17,17,Marc Leishman,81,0.546,37.677,69
17,18,18,John Peterson,62,0.539,29.631999999999998,55
18,19,19,George McNeill,79,0.537,37.558,70
19,20,20,Dustin Johnson,58,0.5329999999999999,21.858,41
20,21,21,Matt Kuchar,91,0.527,40.045,76
21,22,22,Kevin Chappell,100,0.526,45.74,87
22,23,23,Zach Johnson,97,0.513,43.088,84
23,24,24,Russell Knox,92,0.502,41.699,83
24,25,25,Keegan Bradley,89,0.5,33.484,67
25,26,26,Ryan Moore,86,0.499,30.956999999999997,62
26,27,27,Jason Kokrak,65,0.47600000000000003,29.061999999999998,61
27,T28,T28,Lucas Glover,68,0.469,22.034000000000002,47
28,T28,T28,Michael Putnam,106,0.469,42.659,91
29,30,30,Bo Van Pelt,83,0.46799999999999997,31.361,67
30,31,31,Harris English,95,0.465,34.433,74
31,32,32,Seung-Yul Noh,92,0.447,33.535,75
32,33,33,Stewart Cink,91,0.442,31.829,72
33,34,34,Camilo Villegas,95,0.413,34.726,84
34,35,35,Ricky Barnes,92,0.396,30.924,78
35,36,36,Ryo Ishikawa,75,0.395,24.497,62
36,37,37,Martin Flores,85,0.391,26.6,68
37,38,38,Kevin Stadler,90,0.386,25.076,65
38,39,39,Bill Haas,107,0.382,31.294,82
39,40,40,Gary Woodland,93,0.381,27.801,73
40,41,41,Graeme McDowell,66,0.379,17.410999999999998,46
41,42,42,Martin Kaymer,65,0.37,17.744,48
42,43,43,Jim Renner,61,0.36700000000000005,19.093,52
43,44,44,Kevin Na,94,0.341,26.631,78
44,45,45,Webb Simpson,87,0.33299999999999996,24.622,74
45,46,46,Ken Duke,80,0.32899999999999996,21.683000000000003,66
46,47,47,Bubba Watson,76,0.324,18.156,56
47,48,48,Andrew Svoboda,77,0.32299999999999995,21.326999999999998,66
48,49,49,Cameron Tringale,111,0.322,31.596999999999998,98
49,T50,T50,Luke Donald,57,0.315,13.879000000000001,44
50,T50,T50,Charl Schwartzel,64,0.315,17.009,54
51,T52,T52,Charley Hoffman,93,0.301,22.91,76
52,T52,T52,Nicholas Thompson,85,0.301,21.101,70
53,54,54,Brian Harman,111,0.29600000000000004,29.89,101
54,55,55,Tyrone Van Aswegen,79,0.29100000000000004,18.906,65
55,56,56,Chris Kirk,105,0.287,24.711,86
56,57,57,Jordan Spieth,102,0.28600000000000003,22.604,79
57,58,58,Troy Merritt,62,0.261,14.375,55
58,59,59,Mike Weir,69,0.257,13.625,53
59,60,60,Tim Clark,75,0.253,15.671,62
60,61,61,John Merrick,87,0.252,18.122,72
61,62,62,Billy Hurley III,86,0.25,17.986,72
62,63,63,Chesson Hadley,84,0.242,17.147000000000002,71
63,64,64,Brendan Steele,89,0.222,15.555,70
64,65,65,Jerry Kelly,80,0.218,14.364,66
65,66,66,Rickie Fowler,91,0.213,13.2,62
66,T67,T67,David Toms,64,0.203,10.960999999999999,54
67,T67,T67,Willy Wilcox,51,0.203,8.107000000000001,40
68,69,69,Jeff Maggert,54,0.2,8.798,44
69,70,70,Brian Stuard,91,0.195,14.408,74
70,71,71,Jason Bohn,81,0.185,13.479000000000001,73
71,72,72,Jason Day,54,0.17600000000000002,5.814,33
72,73,73,Justin Hicks,103,0.172,15.504000000000001,90
73,74,74,Phil Mickelson,71,0.166,8.307,50
74,75,75,Robert Garrigus,80,0.156,11.41,73
75,76,76,Retief Goosen,94,0.151,11.739,78
76,77,77,Scott Langley,95,0.15,11.814,79
77,78,78,David Hearn,97,0.146,11.966,82
78,79,79,Brandt Snedeker,89,0.14300000000000002,9.426,66
79,80,80,Ernie Els,85,0.141,8.894,63
80,81,81,Daniel Summerhays,98,0.138,12.175999999999998,88
