,Approaches_from_200-225_yards_Rgh_RANK THIS WEEK,Approaches_from_200-225_yards_Rgh_RANK LAST WEEK,Approaches_from_200-225_yards_Rgh_PLAYER NAME,Approaches_from_200-225_yards_Rgh_ROUNDS,Approaches_from_200-225_yards_Rgh_AVG,Approaches_from_200-225_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_200-225_yards_Rgh_# OF ATTEMPTS,Approaches_from_200-225_yards_Rgh_RELATIVE TO PAR
0,1,1,Kevin Na,94,"46' 5""",1021.6669999999999,22,+1
1,2,2,Brendan Steele,89,"46' 6""",884.1669999999999,19,+3
2,3,3,Vijay Singh,83,"46' 9""",1121.667,24,-3
3,4,4,Brooks Koepka,56,"47' 4""",757.0830000000001,16,+1
4,5,5,Adam Scott,68,"48' 3""",917.0830000000001,19,-5
5,6,6,Paul Casey,56,"48' 9""",536.3330000000001,11,+3
6,7,7,Jamie Lovemark,64,"49' 2""",639.3330000000001,13,+3
7,8,8,Robert Streb,75,"50' 0""",1100.5,22,-1
8,9,9,Scott Stallings,77,"50' 1""",1051.0,21,+7
9,10,10,Brad Fritsch,50,"50' 4""",654.25,13,+1
10,11,11,Matt Kuchar,91,"50' 7""",1264.083,25,+2
11,T12,T12,Rory McIlroy,66,"51' 4""",564.4169999999999,11,-2
12,T12,T12,John Senden,99,"51' 4""",1077.583,21,E
13,14,14,Brendon de Jonge,109,"52' 2""",1357.1670000000001,26,+3
14,15,15,Jimmy Walker,98,"52' 3""",1723.0829999999999,33,-2
15,16,16,Steven Bowditch,93,"52' 5""",1152.833,22,+3
16,T17,T17,Heath Slocum,71,"52' 8""",947.4169999999999,18,+2
17,T17,T17,Hudson Swafford,75,"52' 8""",632.1669999999999,12,E
18,19,19,David Lingmerth,80,"52' 9""",1213.917,23,+7
19,T20,T20,Sergio Garcia,61,"53' 0""",635.5,12,+3
20,T20,T20,Jhonattan Vegas,77,"53' 0""",847.9169999999999,16,+3
21,22,22,Ian Poulter,57,"53' 4""",692.9169999999999,13,+1
22,23,23,Jim Furyk,84,"53' 8""",751.0,14,+3
23,24,24,Rory Sabbatini,82,"54' 9""",1313.4170000000001,24,E
24,25,25,Kevin Tway,64,"54' 10""",822.5,15,+2
25,26,26,Dustin Johnson,58,"54' 11""",824.3330000000001,15,-1
26,27,27,Louis Oosthuizen,50,"55' 0""",439.75,8,E
27,T28,T28,Troy Matteson,62,"55' 1""",991.75,18,+4
28,T28,T28,Y.E. Yang,79,"55' 1""",1211.167,22,+6
29,30,30,William McGirt,96,"55' 2""",2151.917,39,+4
30,T31,T31,Retief Goosen,94,"55' 5""",2160.833,39,+10
31,T31,T31,"Ted Potter, Jr.",68,"55' 5""",1274.167,23,+4
32,33,33,Phil Mickelson,71,"55' 6""",722.0,13,+3
33,34,34,Russell Knox,92,"55' 8""",1613.75,29,+9
34,35,35,Charlie Beljan,76,"56' 0""",952.4169999999999,17,-1
35,36,36,Andrew Loupe,65,"56' 1""",841.0830000000001,15,+4
36,37,37,Mike Weir,69,"56' 3""",2249.583,40,+7
37,38,38,Gonzalo Fernandez-Castaño,83,"56' 5""",1466.75,26,+5
38,39,39,Chris Kirk,105,"57' 0""",1140.5,20,-3
39,40,40,Spencer Levin,59,"57' 1""",1426.3329999999999,25,+10
40,41,41,Jordan Spieth,102,"57' 5""",1896.0,33,+2
